name,type,x,y
1,97,6.952999999999999,53.123999999999995
2,95,9.269,55.037
3,95,9.39,54.94
4,98,14.478,53.191
5,98,15.117,51.092
6,72,6.996,51.513999999999996
7,72,6.523,51.321999999999996
8,72,6.6739999999999995,51.325
9,72,7.031000000000001,51.61
10,72,7.138999999999999,51.56100000000001
11,72,7.343999999999999,51.613
12,72,7.343999999999999,51.613
13,71,7.371,52.198
14,72,6.732,51.46
15,97,6.917999999999999,52.20399999999999
16,72,7.403,51.645
17,73,7.832000000000001,51.754
18,72,6.952999999999999,51.632
19,72,7.135,51.416000000000004
20,72,6.718999999999999,51.341
21,97,5.917999999999999,51.147
22,96,6.695,49.138000000000005
23,96,6.279,49.199
24,91,6.14,49.669
26,75,6.774,49.291000000000004
27,75,6.843999999999999,49.81100000000001
28,91,6.1129999999999995,49.906000000000006
30,75,8.57,49.498999999999995
31,75,8.537,50.078
32,41,8.273,49.028999999999996
33,75,7.2410000000000005,49.358000000000004
34,75,8.501,49.445
35,73,7.607,51.898
36,73,7.982,51.677
37,73,7.992000000000001,51.684
38,23,10.355,52.176
39,96,7.564,47.925
40,93,7.752000000000001,47.538999999999994
42,42,8.626,48.056000000000004
43,42,8.627,48.056999999999995
44,42,9.241,48.543
45,93,8.048,47.55
46,42,9.371,48.718999999999994
47,42,9.378,48.813
48,92,10.873,47.247
49,76,10.642000000000001,48.027
50,92,9.812000000000001,47.143
51,94,13.244000000000002,50.492
52,94,12.785,49.68
53,92,11.102,47.294
54,92,13.081,48.257
55,81,12.214,54.1
56,23,10.761,52.368
57,22,8.083,52.858000000000004
58,41,8.664,49.36
59,41,9.076,49.363
60,23,8.996,52.38
61,73,8.741,51.7
62,73,7.724,51.409
63,22,9.487,53.637
64,22,9.491,53.658
65,73,7.931,51.673
66,73,7.546,51.97
67,75,6.7410000000000005,49.357
68,74,7.428999999999999,50.437
69,74,6.4879999999999995,50.881
70,74,7.013,50.621
71,74,7.013,50.618
72,24,8.735,50.159
73,24,8.988999999999999,50.06
74,41,9.091000000000001,49.295
75,42,9.218,48.533
76,75,8.068,49.578
77,75,8.352,49.42100000000001
78,41,8.445,48.986000000000004
79,42,7.957000000000001,47.571999999999996
80,42,7.8389999999999995,47.586000000000006
81,25,10.664000000000001,49.98
82,72,7.196000000000001,51.411
83,72,6.657,51.379
84,72,6.872999999999999,51.446000000000005
85,72,6.7410000000000005,51.513000000000005
86,72,6.683,51.576
87,72,6.651,51.553999999999995
88,72,6.542999999999999,51.299
89,72,7.18,51.473
90,72,7.324,51.621
91,72,7.445,51.619
92,72,7.18,51.548
93,72,7.122999999999999,51.526
94,72,6.614,51.619
95,72,6.577000000000001,51.556000000000004
96,72,6.812,51.52
97,72,6.787000000000001,51.505
98,72,6.723,51.48
99,72,6.721,51.391000000000005
100,72,6.724,51.356
101,72,6.709,51.091
102,74,6.27,50.83
103,74,6.928999999999999,50.843999999999994
104,74,6.936,51.032
105,73,7.603,51.345
106,74,6.962999999999999,50.833999999999996
107,74,7.096,50.827
108,74,7.047000000000001,50.906000000000006
109,74,7.023,50.998999999999995
110,74,6.976,51.038000000000004
111,74,6.806,50.966
112,74,6.851,50.983999999999995
113,74,6.5760000000000005,51.058
114,72,6.809,51.268
115,72,6.773,51.147
116,72,6.827999999999999,51.163000000000004
117,72,6.847,51.206
118,72,6.997999999999999,51.248999999999995
119,72,7.122000000000001,51.172
120,73,7.718999999999999,51.534
121,72,7.5,51.535
122,72,7.279,51.472
123,72,7.037999999999999,51.598
124,72,6.9670000000000005,51.49100000000001
125,42,8.531,47.915
126,22,8.406,53.235
127,24,9.228,51.813
128,25,9.09,49.97
129,26,12.850999999999999,48.763000000000005
130,81,11.727,52.568999999999996
131,42,8.249,48.846000000000004
132,73,7.994,51.823
133,23,10.505,52.302
134,22,9.068999999999999,53.566
135,84,13.157,51.828
136,81,13.957,53.251999999999995
137,81,13.4,53.794
138,81,12.088,53.251000000000005
139,81,11.699000000000002,53.571999999999996
140,75,6.621,49.748999999999995
141,74,6.167000000000001,50.802
142,72,6.715,51.527
143,83,11.947000000000001,51.401
144,74,6.532,50.39
145,73,7.709,51.676
146,73,7.983,51.673
147,72,6.222,51.695
148,72,7.061,51.696999999999996
149,72,6.68,51.646
150,72,6.907,51.565
151,72,7.024,51.626000000000005
152,72,7.522,51.532
153,72,7.353,51.576
154,72,7.263999999999999,51.574
155,72,7.167999999999999,51.388999999999996
156,72,7.127000000000001,51.45
157,72,6.9479999999999995,51.445
158,72,6.9270000000000005,51.498999999999995
159,72,6.617000000000001,51.476000000000006
160,72,6.869,51.373999999999995
161,72,6.626,51.261
162,72,6.329,51.243
163,74,6.702000000000001,51.00899999999999
164,74,6.612,51.038000000000004
165,74,6.667999999999999,50.993
166,74,6.216,50.912
167,74,6.596,50.953
168,74,6.843,50.864
169,74,6.301,50.82899999999999
170,74,6.457000000000001,50.872
171,72,6.8020000000000005,51.123999999999995
172,72,7.007999999999999,51.175
173,72,6.966,51.07
174,72,7.233,51.233000000000004
175,72,7.313,51.446000000000005
176,72,7.417000000000001,51.457
177,72,7.454,51.411
178,72,7.506,51.401
179,74,7.938,51.011
180,24,9.746,50.917
181,24,8.656,50.606
182,74,8.283999999999999,50.75899999999999
183,74,7.864,50.769
184,74,7.985,50.842
185,74,7.193,50.798
186,74,6.973,50.795
187,74,7.1370000000000005,50.643
188,74,7.449,50.402
189,74,7.593,50.386
190,74,8.066,50.406000000000006
191,24,8.48,50.591
192,24,8.959,50.082
193,24,8.872,50.131
194,24,8.809,50.203
195,24,8.619,50.092
196,75,8.772,49.974
197,75,8.47,50.098
198,75,8.532,50.04600000000001
199,75,8.589,49.815
200,75,8.388,49.982
201,75,7.792999999999999,49.81100000000001
202,71,7.034,52.203
203,23,8.932,52.193000000000005
204,71,7.727,52.277
205,73,8.318999999999999,52.066
206,71,8.104,52.263999999999996
207,71,7.89,52.277
208,24,8.993,51.343
209,73,8.625,51.428000000000004
210,73,8.211,51.178000000000004
211,73,8.363999999999999,51.927
212,73,8.703,51.736000000000004
213,73,8.629,51.994
214,73,8.571,52.105
215,73,8.658999999999999,52.0
216,73,8.814,51.983000000000004
217,23,9.39,52.026
218,23,9.924,51.897
219,24,9.567,51.325
220,24,9.388,51.64
221,23,9.851,51.648999999999994
222,24,9.883,51.516000000000005
223,23,9.797,52.001000000000005
224,24,9.05,51.167
225,24,9.258,51.059
226,24,9.514,51.25899999999999
227,24,9.774,50.528999999999996
228,83,10.385,51.001999999999995
229,81,11.853,53.086000000000006
230,25,10.196,50.028
231,25,10.189,49.981
232,25,10.16,49.989
233,25,9.594,49.798
234,75,6.211,49.958
235,75,6.475,49.922
236,75,6.92,49.971000000000004
237,75,6.702000000000001,49.82899999999999
238,75,7.031000000000001,49.331
239,75,6.766,49.36
240,75,6.755,49.365
241,75,6.75,49.365
242,75,6.996,49.376000000000005
243,75,7.729,49.483000000000004
244,75,7.236000000000001,49.369
245,75,7.32,49.306000000000004
246,41,9.447000000000001,49.59
247,75,8.954,49.567
248,75,8.415,49.708999999999996
249,75,8.419,49.633
250,75,8.408,49.528999999999996
251,75,8.627,49.544
252,75,8.488999999999999,49.446000000000005
253,75,8.547,49.44
254,41,9.695,49.232
255,41,9.208,49.177
256,41,9.151,49.144
257,41,9.177999999999999,49.038999999999994
258,41,9.205,49.042
259,41,8.623,49.357
260,41,8.512,49.294
261,41,8.441,49.251000000000005
262,41,8.674,49.29
263,41,8.349,49.013000000000005
264,41,8.314,49.00899999999999
265,41,8.641,48.89
266,42,8.121,48.705
267,42,7.9110000000000005,48.501000000000005
268,42,7.752999999999999,48.099
269,41,9.046,48.903
270,42,9.195,48.913000000000004
271,42,9.379,48.88
272,41,9.097000000000001,48.828
273,42,9.215,48.853
274,42,9.562999999999999,48.701
275,42,9.402000000000001,48.666000000000004
276,42,8.786,48.583999999999996
277,42,9.275,48.55
278,42,9.704,48.465
279,42,8.873,48.31
280,42,8.465,48.043
281,42,8.617,48.066
282,42,7.937,47.648999999999994
283,42,7.957999999999999,47.596000000000004
284,42,8.259,47.63399999999999
285,42,8.252,47.64
286,42,9.013,47.843999999999994
287,42,8.861,47.806000000000004
288,42,9.426,48.06399999999999
289,42,9.645,47.745
290,42,9.802,47.653
291,42,10.116,48.897
292,42,10.222000000000001,48.736999999999995
293,76,10.232000000000001,48.53
294,76,10.390999999999998,48.518
295,76,10.868,48.538999999999994
296,76,10.937000000000001,48.401
297,42,9.886000000000001,48.303999999999995
298,76,10.841,48.238
299,76,10.083,48.266999999999996
300,76,10.195,47.971000000000004
301,76,10.363,47.738
302,76,10.322000000000001,47.683
303,26,11.294,48.052
304,26,11.277999999999999,47.496
305,26,12.13,47.913000000000004
306,26,11.370999999999999,48.291000000000004
307,26,11.440999999999999,48.172
308,26,11.64,48.178999999999995
309,26,11.812999999999999,48.221000000000004
310,26,11.868,48.207
311,26,11.808,48.455
312,26,11.584000000000001,48.763999999999996
313,26,11.508,48.761
314,26,11.792,48.838
315,26,12.747,48.148999999999994
316,26,12.220999999999998,48.586000000000006
317,26,12.297,48.606
318,26,13.003,48.262
319,26,13.103,48.667
320,25,12.151,49.013000000000005
321,25,12.082,49.298
322,25,10.843,49.379
323,25,11.327,49.393
324,25,10.972999999999999,49.558
325,25,12.113,49.631
326,25,10.835999999999999,49.928999999999995
327,25,11.105,49.979
328,25,11.811,50.183
329,25,11.194,50.162
330,83,10.99,50.574
331,83,11.474,50.604
332,83,11.647,50.534
333,83,11.123,50.998999999999995
334,83,11.470999999999998,50.93
335,83,10.735999999999999,51.44
336,83,11.515999999999998,51.583999999999996
337,83,12.262,51.74100000000001
338,83,11.892999999999999,51.405
339,83,12.045,50.781000000000006
340,83,12.243,50.567
341,84,12.249,51.198
342,84,12.880999999999998,50.518
343,84,12.789000000000001,50.626999999999995
344,84,12.338,51.196999999999996
