,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
0,2914,2901,28,136
1,2914,2901,48,12
2,2914,2901,4,8
3,2914,2901,0,52
4,2914,2901,216,8
5,2914,2901,112,8
6,2914,2901,60,12
7,2914,2901,4,32
8,2914,2901,24,24
9,2914,2901,4,84
10,2914,2901,0,152
11,2914,2901,0,356
12,2914,2901,0,116
13,2914,2901,0,196
14,2914,2901,0,156
15,2914,2901,0,248
16,2708,2767,8,16
17,2708,2767,4,20
18,2708,2767,4,108
19,2708,2767,0,180
20,2708,2767,56,76
21,2708,2767,8,32
22,2708,2767,4,44
23,2708,2767,4,32
24,2708,2767,4,8
25,2708,2767,36,8
26,2708,2767,24,8
27,2708,2767,36,8
28,2708,2767,48,8
29,2708,2767,16,8
30,2708,2767,8,16
31,2708,2767,4,8
32,2745,2919,4,92
33,2745,2919,0,288
34,2745,2919,0,344
35,2745,2919,0,428
36,2745,2919,4,416
37,2745,2919,0,176
38,2745,2919,4,144
39,2745,2919,0,124
40,2745,2919,4,288
41,2745,2919,0,244
42,2745,2919,4,28
43,2745,2919,4,20
44,2745,2919,4,16
45,2745,2919,8,12
46,2745,2919,12,8
47,2745,2919,20,36
48,2892,2805,48,16
49,2892,2805,4,8
50,2892,2805,8,8
51,2892,2805,4,12
52,2892,2805,4,24
53,2892,2805,4,16
54,2892,2805,4,8
55,2892,2805,4,8
56,2892,2805,12,12
57,2892,2805,44,12
58,2892,2805,4,12
59,2892,2805,0,24
60,2892,2805,0,124
61,2892,2805,4,16
62,2892,2805,72,8
63,2892,2805,76,8
64,2950,2971,4,32
65,2950,2971,8,48
66,2950,2971,52,12
67,2950,2971,16,16
68,2950,2971,4,264
69,2950,2971,4,36
70,2950,2971,4,72
71,2950,2971,4,8
72,2950,2971,72,8
73,2950,2971,24,12
74,2950,2971,24,12
75,2950,2971,4,20
76,2950,2971,4,180
77,2950,2971,4,336
78,2950,2971,0,352
79,2950,2971,0,472
80,3029,2733,44,192
81,3029,2733,40,120
82,3029,2733,4,88
83,3029,2733,4,60
84,3029,2733,192,24
85,3029,2733,92,12
86,3029,2733,8,28
87,3029,2733,0,172
88,3029,2733,0,576
89,3029,2733,0,828
90,3029,2733,4,500
91,3029,2733,4,432
92,3029,2733,0,144
93,3029,2733,4,448
94,3029,2733,4,164
95,3029,2733,4,136
96,3186,2567,4,500
97,3186,2567,4,404
98,3186,2567,4,284
99,3186,2567,4,148
100,3186,2567,4,316
101,3186,2567,4,512
102,3186,2567,4,364
103,3186,2567,4,512
104,3186,2567,12,208
105,3186,2567,8,408
106,3186,2567,4,256
107,3186,2567,4,372
108,3186,2567,8,32
109,3186,2567,4,108
110,3186,2567,4,112
111,3186,2567,4,208
112,2824,2484,4,396
113,2824,2484,4,532
114,2824,2484,4,348
115,2824,2484,4,172
116,2824,2484,4,12
117,2824,2484,8,24
118,2824,2484,8,36
119,2824,2484,4,8
120,2824,2484,4,244
