,Import,Export
0,2023.0,2110.0
1,2023.0,2110.0
2,2023.0,2110.0
3,2023.0,2110.0
4,1902.0,2155.0
5,1902.0,2155.0
6,1902.0,2155.0
7,1902.0,2155.0
8,1915.0,2401.0
9,1915.0,2401.0
10,1915.0,2401.0
11,1915.0,2401.0
12,1722.0,1746.0
13,1722.0,1746.0
14,1722.0,1746.0
15,1722.0,1746.0
16,1790.0,1455.0
17,1790.0,1455.0
18,1791.0,1455.0
19,1789.0,1455.0
20,1781.0,1865.0
21,1781.0,1867.0
22,1781.0,1864.0
23,1781.0,1864.0
24,1765.0,2242.0
25,1765.0,2241.0
26,1765.0,2241.0
27,1765.0,2241.0
28,1762.0,2184.0
29,1756.0,2185.0
30,1755.0,2184.0
31,1755.0,2184.0
32,1790.0,2080.0
33,1791.0,2080.0
34,1790.0,2080.0
35,1790.0,2080.0
36,1741.0,1949.0
37,1737.0,1949.0
38,1735.0,1950.0
39,1734.0,1950.0
40,2073.0,2176.0
41,2079.0,2177.0
42,2081.0,2180.0
43,2080.0,2178.0
44,2202.0,2059.0
45,2200.0,2059.0
46,2200.0,2059.0
47,2199.0,2060.0
48,2190.0,2183.0
49,2195.0,2183.0
50,2199.0,2183.0
51,2198.0,2183.0
52,2297.0,2158.0
53,2305.0,2158.0
54,2311.0,2158.0
55,2301.0,2158.0
56,2218.0,1881.0
57,2214.0,1881.0
58,2213.0,1881.0
59,2212.0,1881.0
60,2239.0,1702.0
61,2233.0,1702.0
62,2228.0,1703.0
63,2225.0,1703.0
64,2238.0,1505.0
65,2231.0,1505.0
66,2200.0,1507.0
67,2191.0,1528.0
68,2354.0,1564.0
69,2333.0,1564.0
70,2298.0,1564.0
71,2307.0,1569.0
72,2295.0,1715.0
73,2306.0,1716.0
74,2309.0,1715.0
75,2310.0,1717.0
76,2183.0,2076.0
77,2185.0,2072.0
78,2198.0,2071.0
79,2201.0,2070.0
80,2243.0,2134.0
81,2267.0,2119.0
82,2281.0,2118.0
83,2281.0,2118.0
84,2182.0,2245.0
85,2212.0,2236.0
86,2211.0,2236.0
87,2214.0,2236.0
88,2271.0,2366.0
89,2289.0,2365.0
90,2296.0,2365.0
91,2286.0,2365.0
92,2504.0,2624.0
93,2514.0,2610.0
94,2524.0,2609.0
95,2527.0,2609.0
96,2131.0,2011.0
97,2131.0,2011.0
98,2131.0,2011.0
99,2131.0,2011.0
100,2118.0,2081.0
101,2118.0,2081.0
102,2118.0,2081.0
103,2118.0,2081.0
104,2315.0,2083.0
105,2315.0,2083.0
106,2315.0,2083.0
107,2315.0,2083.0
108,2178.0,2033.0
109,2178.0,2033.0
110,2178.0,2033.0
111,2178.0,2033.0
112,2129.0,1954.0
113,2131.0,1952.0
114,2133.0,1951.0
115,2131.0,1951.0
116,2004.0,2117.0
117,2003.0,2120.0
118,2003.0,2121.0
119,2003.0,2122.0
120,1839.0,2147.0
121,1835.0,2147.0
122,1834.0,2148.0
123,1835.0,2149.0
124,1869.0,2144.0
125,1870.0,2146.0
126,1858.0,2147.0
127,1885.0,2145.0
128,1979.0,1808.0
129,1973.0,1807.0
130,1965.0,1807.0
131,1972.0,1812.0
132,1872.0,1868.0
133,1872.0,1869.0
134,1872.0,1870.0
135,1877.0,1869.0
136,1715.0,1716.0
137,1719.0,1715.0
138,1719.0,1716.0
139,1720.0,1715.0
140,1802.0,1632.0
141,1802.0,1632.0
142,1802.0,1631.0
143,1802.0,1632.0
144,1954.0,1362.0
145,1959.0,1362.0
146,1959.0,1362.0
147,1962.0,1362.0
148,1948.0,1318.0
149,1944.0,1316.0
150,1949.0,1315.0
151,1944.0,1312.0
152,1832.0,1232.0
153,1832.0,1233.0
154,1832.0,1234.0
155,1832.0,1237.0
156,1905.0,874.0
157,1905.0,875.0
158,1903.0,876.0
159,1901.0,876.0
160,2061.0,938.0
161,2044.0,947.0
162,2027.0,954.0
163,2006.0,965.0
164,1912.0,1196.0
165,1906.0,1201.0
166,1906.0,1200.0
167,1913.0,1202.0
168,2078.0,1526.0
169,2077.0,1521.0
170,2083.0,1520.0
171,2084.0,1520.0
172,2159.0,1955.0
173,2166.0,1954.0
174,2173.0,1963.0
175,2178.0,1963.0
176,1855.0,2065.0
177,1855.0,2065.0
178,1868.0,2064.0
179,1869.0,2064.0
180,1852.0,2127.0
181,1851.0,2126.0
182,1866.0,2141.0
183,1863.0,2139.0
184,1783.0,2136.0
185,1783.0,2136.0
186,1783.0,2134.0
187,1784.0,2135.0
188,2060.0,2593.0
189,2060.0,2593.0
190,2064.0,2596.0
191,2063.0,2596.0
192,1957.0,2888.0
193,1957.0,2888.0
194,1957.0,2888.0
195,1957.0,2888.0
196,2045.0,3096.0
197,2045.0,3096.0
198,2045.0,3096.0
199,2045.0,3096.0
200,1930.0,3063.0
201,1930.0,3063.0
202,1930.0,3063.0
203,1930.0,3063.0
204,1862.0,2628.0
205,1862.0,2628.0
206,1862.0,2628.0
207,1862.0,2628.0
208,1852.0,2533.0
209,1852.0,2533.0
