nextBatch,powerBatch,production,shutDown,SOC,discharge
0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,400.0,400.0,-0.0,25.0,1.0
0.0,0.0,400.0,-0.0,50.0,1.0
0.0,0.0,400.0,-0.0,75.0,1.0
0.0,0.0,400.0,-0.0,100.0,1.0
1.0,400.0,400.0,-0.0,125.0,1.0
-0.0,0.0,400.0,-0.0,150.0,1.0
0.0,0.0,400.0,-0.0,175.0,1.0
0.0,0.0,400.0,-0.0,200.0,1.0
1.0,400.0,400.0,-0.0,225.0,1.0
0.0,0.0,400.0,-0.0,250.0,1.0
-0.0,0.0,400.0,-0.0,275.0,1.0
-0.0,0.0,400.0,-0.0,300.0,1.0
1.0,400.0,400.0,0.0,325.0,1.0
0.0,0.0,400.0,-0.0,350.0,1.0
0.0,0.0,400.0,0.0,375.0,1.0
-0.0,0.0,400.0,0.0,400.0,1.0
1.0,400.0,400.0,-0.0,425.0,1.0
0.0,0.0,400.0,-0.0,450.0,1.0
0.0,0.0,400.0,-0.0,475.0,1.0
-0.0,0.0,400.0,-0.0,500.0,1.0
1.0,400.0,400.0,0.0,525.0,1.0
0.0,0.0,400.0,-0.0,550.0,1.0
0.0,0.0,400.0,-0.0,575.0,1.0
-0.0,0.0,400.0,-0.0,600.0,1.0
-0.0,0.0,0.0,-0.0,225.0,1.0
1.0,400.0,400.0,0.0,250.0,1.0
0.0,0.0,400.0,0.0,275.0,1.0
0.0,0.0,400.0,0.0,300.0,1.0
0.0,0.0,400.0,0.0,325.0,1.0
1.0,400.0,400.0,0.0,350.0,1.0
0.0,0.0,400.0,0.0,374.9999999999999,1.0
0.0,0.0,400.0,0.0,399.9999999999999,1.0
0.0,0.0,400.0,0.0,425.0,1.0
1.0,400.0,400.0,0.0,450.0,1.0
0.0,0.0,400.0,0.0,475.0,1.0
0.0,0.0,400.0,0.0,500.0,1.0
0.0,0.0,400.0,0.0,525.0,1.0
1.0,400.0,400.0,0.0,550.0,1.0
-0.0,0.0,400.0,0.0,575.0,1.0
0.0,0.0,400.0,0.0,600.0,1.0
0.0,0.0,400.0,0.0,625.0,1.0
1.0,400.0,400.0,0.0,650.0,1.0
-0.0,0.0,400.0,0.0,675.0,1.0
0.0,0.0,400.0,0.0,700.0,1.0
0.0,0.0,400.0,0.0,725.0,1.0
0.0,0.0,0.0,-0.0,350.0,1.0
1.0,400.0,400.0,0.0,375.0,1.0
0.0,0.0,400.0,0.0,400.0,1.0
0.0,0.0,400.0,0.0,425.0,1.0
0.0,0.0,400.0,0.0,450.0,1.0
1.0,400.0,400.0,0.0,475.0,1.0
0.0,0.0,400.0,0.0,500.0,1.0
0.0,0.0,400.0,0.0,525.0,1.0
0.0,0.0,400.0,0.0,550.0,1.0
1.0,400.0,400.0,0.0,575.0,1.0
-0.0,0.0,400.0,0.0,600.0,1.0
0.0,0.0,400.0,0.0,625.0,1.0
0.0,0.0,400.0,0.0,650.0,1.0
1.0,400.0,400.0,0.0,675.0,1.0
-0.0,0.0,400.0,0.0,700.0,1.0
0.0,0.0,400.0,0.0,725.0,1.0
0.0,0.0,400.0,0.0,750.0,1.0
0.0,0.0,0.0,-0.0,375.0,1.0
1.0,400.0,400.0,0.0,400.0,1.0
-0.0,0.0,400.0,0.0,425.0,1.0
0.0,0.0,400.0,0.0,450.0,1.0
0.0,0.0,400.0,0.0,475.0,1.0
1.0,400.0,400.0,0.0,500.0,1.0
-0.0,0.0,400.0,0.0,525.0,1.0
0.0,0.0,400.0,0.0,550.0,1.0
0.0,0.0,400.0,0.0,575.0,1.0
1.0,400.0,400.0,0.0,600.0,1.0
0.0,0.0,400.0,0.0,625.0,1.0
0.0,0.0,400.0,0.0,650.0,1.0
0.0,0.0,400.0,0.0,675.0,1.0
0.0,0.0,0.0,0.0,300.0,1.0
1.0,400.0,400.0,0.0,325.0,1.0
0.0,0.0,400.0,0.0,350.0,1.0
0.0,0.0,400.0,0.0,375.0,1.0
0.0,0.0,400.0,0.0,400.0,1.0
1.0,400.0,400.0,0.0,425.0,1.0
0.0,0.0,400.0,0.0,450.0,1.0
0.0,0.0,400.0,0.0,475.0,1.0
0.0,0.0,400.0,0.0,500.0,1.0
1.0,400.0,400.0,0.0,525.0,1.0
0.0,0.0,400.0,0.0,550.0,1.0
0.0,0.0,400.0,0.0,575.0,1.0
0.0,0.0,400.0,0.0,600.0,1.0
1.0,400.0,400.0,0.0,625.0,1.0
0.0,0.0,400.0,0.0,650.0,1.0
0.0,0.0,400.0,0.0,675.0,1.0
0.0,0.0,400.0,0.0,700.0,1.0
0.0,0.0,0.0,0.0,325.0,1.0
1.0,400.0,400.0,0.0,350.0,1.0
0.0,0.0,400.0,0.0,374.9999999999999,1.0
0.0,0.0,400.0,0.0,399.9999999999999,1.0
0.0,0.0,400.0,0.0,425.0,1.0
1.0,400.0,400.0,-0.0,450.0,1.0
-0.0,0.0,400.0,-0.0,475.0,1.0
0.0,0.0,400.0,0.0,500.0,1.0
0.0,0.0,400.0,0.0,525.0,1.0
1.0,400.0,400.0,-0.0,550.0,1.0
-0.0,0.0,400.0,-0.0,575.0,1.0
0.0,0.0,400.0,0.0,600.0,1.0
0.0,0.0,400.0,0.0,625.0,1.0
1.0,400.0,400.0,-0.0,650.0,1.0
-0.0,0.0,400.0,-0.0,675.0,1.0
-0.0,0.0,400.0000000000007,-0.0,700.0000000000015,1.0
0.0,0.0,400.0000000000007,0.0,725.0000000000027,1.0
-0.0,0.0,0.0,-0.0,350.00000000000273,1.0
1.0,400.0,400.0000000000007,-0.0,375.00000000000375,1.0
-0.0,0.0,400.0,-0.0,400.00000000000466,1.0
-0.0,0.0,400.0,-0.0,425.00000000000585,1.0
0.0,0.0,400.0,-0.0,450.00000000000693,1.0
1.0,374.9999999999971,374.9999999999971,-0.0,450.00000000000404,1.0
-0.0,0.0,374.9999999999971,-0.0,450.00000000000125,1.0
-0.0,0.0,374.9999999999971,-0.0,449.99999999999835,1.0
-0.0,0.0,374.9999999999971,-0.0,449.99999999999545,1.0
1.0,400.0,400.00000000000114,-0.0,474.9999999999966,1.0
-0.0,0.0,400.00000000000114,-0.0,499.9999999999977,1.0
0.0,0.0,400.00000000000114,-0.0,524.9999999999989,1.0
-0.0,0.0,400.00000000000114,-0.0,550.0,1.0
1.0,400.0,400.0,-0.0,575.0,1.0
-0.0,0.0,400.0,-0.0,600.0,1.0
0.0,0.0,400.0,-0.0,625.0,1.0
0.0,0.0,400.0,-0.0,650.0,1.0
1.0,400.0,400.0,-0.0,675.0,1.0
-0.0,0.0,400.0,-0.0,700.0,1.0
0.0,0.0,400.0,-0.0,725.0,1.0
-0.0,0.0,400.0,-0.0,750.0,1.0
0.0,0.0,0.0,-0.0,375.0,1.0
1.0,400.0,400.0,-0.0,400.0,1.0
-0.0,0.0,400.0,-0.0,425.0,1.0
0.0,0.0,400.0,-0.0,450.0,1.0
0.0,0.0,400.0,-0.0,475.0,1.0
1.0,400.0,400.00000000000114,-0.0,500.00000000000114,1.0
-0.0,0.0,400.00000000000114,-0.0,525.0000000000023,1.0
-0.0,0.0,400.00000000000114,-0.0,550.0000000000034,1.0
-0.0,0.0,400.00000000000114,-0.0,575.0000000000045,1.0
0.0,1.1368683772161603e-12,1.1368683772161603e-12,-0.0,200.00000000000568,1.0
1.0,400.0,400.00000000000114,-0.0,225.00000000000682,1.0
-0.0,0.0,400.00000000000114,-0.0,250.00000000000796,1.0
0.0,0.0,400.00000000000114,-0.0,275.0000000000091,1.0
0.0,0.0,400.0,-0.0,300.0000000000091,1.0
1.0,400.0,400.0,-0.0,325.0000000000091,1.0
0.0,0.0,400.0,-0.0,350.0000000000091,1.0
0.0,0.0,400.0,-0.0,375.0000000000091,1.0
0.0,0.0,400.0,-0.0,400.0000000000091,1.0
1.0,400.0,400.0,-0.0,425.0000000000091,1.0
-0.0,0.0,400.0,-0.0,450.0000000000091,1.0
0.0,0.0,400.0,-0.0,475.0000000000091,1.0
0.0,0.0,400.0,-0.0,500.0000000000091,1.0
1.0,400.0,400.0,-0.0,525.0000000000091,1.0
-0.0,0.0,400.0,-0.0,550.0000000000091,1.0
0.0,0.0,400.0,-0.0,575.0000000000091,1.0
-0.0,0.0,400.0,-0.0,600.0000000000091,1.0
0.0,0.0,0.0,-0.0,225.0000000000091,1.0
1.0,318.7499999999977,318.7499999999977,-0.0,168.75000000000682,1.0
0.0,0.0,318.7499999999977,-0.0,112.50000000000455,1.0
0.0,0.0,318.7499999999977,-0.0,56.250000000002274,1.0
0.0,0.0,318.7499999999977,-0.0,0.0,1.0
1.0,400.0,400.0,-0.0,25.0,1.0
-0.0,0.0,400.0,-0.0,50.0,1.0
0.0,0.0,400.0,-0.0,75.0,1.0
0.0,0.0,400.0,-0.0,100.0,1.0
1.0,350.0,350.0,-0.0,75.0,1.0
-0.0,0.0,350.0,-0.0,50.0,1.0
-0.0,0.0,350.0,-0.0,25.0,1.0
0.0,0.0,350.0,-0.0,0.0,1.0
1.0,375.0,375.0,-0.0,0.0,1.0
-0.0,0.0,375.0,-0.0,0.0,1.0
-0.0,0.0,375.0,-0.0,0.0,1.0
-0.0,0.0,375.0,-0.0,0.0,1.0
-0.0,0.0,0.0,1.0,0.0,0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
-0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,-0.0,0.0,-0.0
