tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
0,0.9,1.8,8.506820597,23,21.67,20.7,25.33
1,0.9,1.8,8.50697864,23,21.67,20.7,25.33
2,0.9,1.8,8.507136682,23,21.67,20.7,25.33
3,0.9,1.8,8.507294725,23,21.67,20.7,25.33
4,0.9,1.8,8.507452767,23,21.67,20.7,25.33
5,0.9,1.8,8.507610809,23,21.67,20.7,25.33
6,0.9,1.8,8.507768852,23,21.67,20.7,25.33
7,0.9,1.8,8.507926894,23,21.67,20.7,25.33
8,0.9,1.8,8.508084937,23,21.67,20.7,25.33
9,0.9,1.8,8.508242979,23,21.67,20.7,25.33
10,0.9,1.8,8.508401022,23,21.67,20.7,25.33
11,0.9,1.8,8.508559064,23,21.67,20.7,25.33
12,0.9,1.8,8.508717107,23,21.67,20.7,25.33
13,0.9,1.8,8.508875149,23,21.67,20.7,25.33
14,0.9,1.8,8.509033191,23,21.67,20.7,25.33
15,0.9,1.8,8.509191234,23,21.67,20.7,25.33
16,0.9,1.8,8.509349276,23,21.67,20.7,25.33
17,0.9,1.8,8.509533659,23,21.67,20.7,25.33
18,0.9,1.8,8.509718042,23,21.67,20.7,25.33
19,0.9,1.8,8.509902425,23,21.67,20.7,25.33
20,0.9,1.8,8.510086808,23,21.67,20.7,25.33
21,0.9,1.8,8.51027119,23,21.67,20.7,25.33
22,0.9,1.8,8.510455573,23,21.67,20.7,25.33
23,0.9,1.8,8.510639956,23,21.67,20.7,25.33
24,0.9,1.8,8.510824339,23,21.67,20.7,25.33
25,0.9,1.8,8.511008722,23,21.67,20.7,25.33
26,0.9,1.8,8.511193105,23,21.67,20.7,25.33
27,0.9,1.8,8.511377487,23,21.67,20.7,25.33
28,0.9,1.8,8.51156187,23,21.67,20.7,25.33
29,0.9,1.8,8.511746253,23,21.67,20.7,25.33
30,0.9,1.8,8.511930636,23,21.67,20.7,25.33
31,0.9,1.8,8.512115019,23,21.67,20.7,25.33
