,Import,Export
01/01/2020 00:00,1277,1106
01/01/2020 00:15,1277,1106
01/01/2020 00:30,1277,1106
01/01/2020 00:45,1277,1106
01/01/2020 01:00,1484,1224
01/01/2020 01:15,1484,1224
01/01/2020 01:30,1484,1224
01/01/2020 01:45,1484,1224
01/01/2020 02:00,1460,1159
01/01/2020 02:15,1460,1159
01/01/2020 02:30,1460,1159
01/01/2020 02:45,1460,1159
01/01/2020 03:00,1492,1425
01/01/2020 03:15,1492,1425
01/01/2020 03:30,1492,1425
01/01/2020 03:45,1492,1425
01/01/2020 04:00,1400,1265
01/01/2020 04:15,1400,1265
01/01/2020 04:30,1400,1265
01/01/2020 04:45,1400,1265
01/01/2020 05:00,1448,1451
01/01/2020 05:15,1448,1451
01/01/2020 05:30,1448,1451
01/01/2020 05:45,1448,1451
01/01/2020 06:00,1097,1707
01/01/2020 06:15,1097,1707
01/01/2020 06:30,1097,1707
01/01/2020 06:45,1097,1707
01/01/2020 07:00,1249,2089
01/01/2020 07:15,1249,2089
01/01/2020 07:30,1249,2089
01/01/2020 07:45,1249,2089
01/01/2020 08:00,1343,2021
01/01/2020 08:15,1343,2021
01/01/2020 08:30,1343,2021
01/01/2020 08:45,1343,2021
01/01/2020 09:00,1289,2252
01/01/2020 09:15,1289,2252
01/01/2020 09:30,1289,2252
01/01/2020 09:45,1289,2252
01/01/2020 10:00,1110,2173
01/01/2020 10:15,1110,2173
01/01/2020 10:30,1110,2173
01/01/2020 10:45,1110,2173
01/01/2020 11:00,1270,2332
01/01/2020 11:15,1270,2332
01/01/2020 11:30,1270,2332
01/01/2020 11:45,1270,2332
01/01/2020 12:00,1266,2513
01/01/2020 12:15,1266,2513
01/01/2020 12:30,1266,2513
01/01/2020 12:45,1266,2513
01/01/2020 13:00,1247,2721
01/01/2020 13:15,1247,2721
01/01/2020 13:30,1247,2721
01/01/2020 13:45,1247,2721
01/01/2020 14:00,1204,2575
01/01/2020 14:15,1204,2575
01/01/2020 14:30,1204,2575
01/01/2020 14:45,1204,2575
01/01/2020 15:00,1500,2093
01/01/2020 15:15,1500,2093
01/01/2020 15:30,1500,2093
01/01/2020 15:45,1500,2093
01/01/2020 16:00,2552,2331
01/01/2020 16:15,2552,2331
01/01/2020 16:30,2552,2331
01/01/2020 16:45,2552,2331
01/01/2020 17:00,2454,2192
01/01/2020 17:15,2454,2192
01/01/2020 17:30,2454,2192
01/01/2020 17:45,2454,2192
01/01/2020 18:00,1957,2208
01/01/2020 18:15,1957,2208
01/01/2020 18:30,1957,2208
01/01/2020 18:45,1957,2208
01/01/2020 19:00,2182,2563
01/01/2020 19:15,2182,2563
01/01/2020 19:30,2182,2563
01/01/2020 19:45,2182,2563
01/01/2020 20:00,2012,3045
01/01/2020 20:15,2012,3045
01/01/2020 20:30,2012,3045
01/01/2020 20:45,2012,3045
01/01/2020 21:00,1966,2835
01/01/2020 21:15,1966,2835
01/01/2020 21:30,1966,2835
01/01/2020 21:45,1966,2835
01/01/2020 22:00,2382,3490
01/01/2020 22:15,2382,3490
01/01/2020 22:30,2382,3490
01/01/2020 22:45,2382,3490
01/01/2020 23:00,2329,3628
01/01/2020 23:15,2329,3628
01/01/2020 23:30,2329,3628
01/01/2020 23:45,2329,3628
02/01/2020 00:00,1540,2297
02/01/2020 00:15,1540,2297
02/01/2020 00:30,1540,2297
02/01/2020 00:45,1540,2297
02/01/2020 00:59,1282,2241
02/01/2020 01:14,1282,2241
02/01/2020 01:29,1282,2241
02/01/2020 01:44,1282,2241
02/01/2020 01:59,1396,2162
02/01/2020 02:14,1396,2162
02/01/2020 02:29,1396,2162
02/01/2020 02:44,1396,2162
02/01/2020 02:59,1505,1965
02/01/2020 03:14,1505,1965
02/01/2020 03:29,1505,1965
02/01/2020 03:44,1505,1965
02/01/2020 03:59,1777,1859
02/01/2020 04:14,1777,1859
02/01/2020 04:29,1777,1859
02/01/2020 04:44,1777,1859
02/01/2020 04:59,1483,1927
02/01/2020 05:14,1483,1927
02/01/2020 05:29,1483,1927
02/01/2020 05:44,1483,1927
02/01/2020 05:59,2134,1861
02/01/2020 06:14,2134,1861
02/01/2020 06:29,2134,1861
02/01/2020 06:44,2134,1861
02/01/2020 06:59,1995,1808
02/01/2020 07:14,1995,1808
02/01/2020 07:29,1995,1808
02/01/2020 07:44,1995,1808
02/01/2020 07:59,1807,2088
02/01/2020 08:14,1807,2088
02/01/2020 08:29,1807,2088
02/01/2020 08:44,1807,2088
02/01/2020 08:59,1331,1745
02/01/2020 09:14,1331,1745
02/01/2020 09:29,1331,1745
02/01/2020 09:44,1331,1745
02/01/2020 09:59,1342,2082
02/01/2020 10:14,1342,2082
02/01/2020 10:29,1342,2082
02/01/2020 10:44,1342,2082
02/01/2020 10:59,1557,2093
02/01/2020 11:14,1557,2093
02/01/2020 11:29,1557,2093
02/01/2020 11:44,1557,2093
02/01/2020 11:59,1622,2039
02/01/2020 12:14,1622,2039
02/01/2020 12:29,1622,2039
