,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
0,3261,2999,15,11
1,3261,2999,9,9
2,3261,2999,6,3
3,3261,2999,0,6
4,3261,2999,12,3
5,3261,2999,7,0
6,3261,2999,0,1
7,3261,2999,2,1
8,3261,2999,36,1
9,3261,2999,9,1
10,3261,2999,16,0
11,3261,2999,12,1
12,3261,2999,46,0
13,3261,2999,4,0
14,3261,2999,4,0
15,3261,2999,0,3
16,3210,2984,5,6
17,3210,2984,12,1
18,3210,2984,0,1
19,3210,2984,1,1
20,3210,2984,9,1
21,3210,2984,3,1
22,3210,2984,9,1
23,3210,2984,41,1
24,3210,2984,78,1
25,3210,2984,63,0
26,3210,2984,82,0
27,3210,2984,47,1
28,3210,2984,50,1
29,3210,2984,24,2
30,3210,2984,7,1
31,3210,2984,1,1
32,3209,2995,0,71
33,3209,2995,0,131
34,3209,2995,0,86
35,3209,2995,0,100
36,3209,2995,0,51
37,3209,2995,0,84
38,3209,2995,0,107
39,3209,2995,0,117
40,3209,2995,0,203
41,3209,2995,0,253
42,3209,2995,0,312
43,3209,2995,0,259
44,3209,2995,0,341
45,3209,2995,0,308
46,3209,2995,0,337
47,3209,2995,0,308
48,3334,2944,1,110
49,3334,2944,0,333
50,3334,2944,0,349
51,3334,2944,0,304
52,3334,2944,6,96
53,3334,2944,0,90
54,3334,2944,0,59
55,3334,2944,9,8
56,3334,2944,18,51
57,3334,2944,23,4
58,3334,2944,56,1
59,3334,2944,44,0
60,3334,2944,3,1
61,3334,2944,40,1
62,3334,2944,47,1
63,3334,2944,27,1
64,3350,2973,1,1
65,3350,2973,1,1
66,3350,2973,4,1
67,3350,2973,13,1
68,3350,2973,4,68
69,3350,2973,0,85
70,3350,2973,0,50
71,3350,2973,1,4
72,3350,2973,1,75
73,3350,2973,0,87
74,3350,2973,0,130
75,3350,2973,0,123
76,3350,2973,0,50
77,3350,2973,0,147
78,3350,2973,0,162
79,3350,2973,0,155
80,3322,2955,0,61
81,3322,2955,1,59
82,3322,2955,0,83
83,3322,2955,0,83
84,3322,2955,13,34
85,3322,2955,5,1
86,3322,2955,14,0
87,3322,2955,6,22
88,3322,2955,65,8
89,3322,2955,61,0
90,3322,2955,105,0
91,3322,2955,87,0
92,3322,2955,3,1
93,3322,2955,19,1
94,3322,2955,9,3
95,3322,2955,1,18
96,3232,2968,1,24
97,3232,2968,0,64
98,3232,2968,1,26
99,3232,2968,2,4
100,3232,2968,1,3
101,3232,2968,6,1
102,3232,2968,2,2
103,3232,2968,1,1
104,3232,2968,26,1
105,3232,2968,25,14
106,3232,2968,6,8
107,3232,2968,1,8
108,3232,2968,1,58
109,3232,2968,0,158
110,3232,2968,2,60
111,3232,2968,2,2
112,3011,3058,40,1
113,3011,3058,12,2
114,3011,3058,8,2
115,3011,3058,16,2
116,3011,3058,13,39
117,3011,3058,0,98
118,3011,3058,0,56
119,3011,3058,0,44
120,3011,3058,0,353
121,3011,3058,0,475
122,3011,3058,0,441
123,3011,3058,0,254
124,3011,3058,0,367
125,3011,3058,0,247
126,3011,3058,0,162
127,3011,3058,0,88
128,3197,2990,1,47
129,3197,2990,0,53
130,3197,2990,0,2
131,3197,2990,0,8
132,3197,2990,18,2
133,3197,2990,20,2
134,3197,2990,0,4
135,3197,2990,8,2
136,3197,2990,65,1
137,3197,2990,2,9
138,3197,2990,1,16
139,3197,2990,0,38
140,3197,2990,5,10
141,3197,2990,1,2
142,3197,2990,1,1
143,3197,2990,17,1
144,3322,2950,85,1
145,3322,2950,63,1
146,3322,2950,72,1
147,3322,2950,74,1
148,3322,2950,17,1
149,3322,2950,45,1
150,3322,2950,100,1
151,3322,2950,58,3
152,3322,2950,45,1
153,3322,2950,174,1
154,3322,2950,183,1
155,3322,2950,31,1
156,3322,2950,73,2
157,3322,2950,12,1
158,3322,2950,1,13
159,3322,2950,0,64
160,3249,2948,0,108
161,3249,2948,0,52
162,3249,2948,2,25
163,3249,2948,15,2
164,3249,2948,22,17
165,3249,2948,0,45
166,3249,2948,0,75
167,3249,2948,2,46
168,3249,2948,29,5
169,3249,2948,2,32
170,3249,2948,0,99
171,3249,2948,0,33
172,3249,2948,1,7
173,3249,2948,1,22
174,3249,2948,0,57
175,3249,2948,0,50
176,3299,2932,107,2
177,3299,2932,22,12
178,3299,2932,1,7
179,3299,2932,0,66
180,3299,2932,0,94
181,3299,2932,4,55
182,3299,2932,2,69
183,3299,2932,1,44
184,3299,2932,5,19
185,3299,2932,9,35
186,3299,2932,6,5
187,3299,2932,12,2
188,3299,2932,120,0
189,3299,2932,49,2
190,3299,2932,14,2
191,3299,2932,1,64
192,3265,2968,9,15
193,3265,2968,0,25
194,3265,2968,4,36
195,3265,2968,0,59
196,3265,2968,28,3
197,3265,2968,1,18
198,3265,2968,1,12
199,3265,2968,0,52
200,3265,2968,107,4
201,3265,2968,27,2
202,3265,2968,1,3
203,3265,2968,1,39
204,3265,2968,1,21
205,3265,2968,0,63
206,3265,2968,0,163
207,3265,2968,0,213
208,3087,3058,0,131
209,3087,3058,0,284
210,3087,3058,0,241
211,3087,3058,0,192
212,3087,3058,0,98
213,3087,3058,0,112
214,3087,3058,0,59
215,3087,3058,0,144
216,3087,3058,0,218
217,3087,3058,0,312
218,3087,3058,0,305
219,3087,3058,0,256
220,3087,3058,0,232
221,3087,3058,0,292
222,3087,3058,0,277
223,3087,3058,0,239
224,3197,2990,0,316
225,3197,2990,0,201
226,3197,2990,0,79
227,3197,2990,0,106
228,3197,2990,0,38
229,3197,2990,0,12
230,3197,2990,16,3
231,3197,2990,4,40
232,3197,2990,0,35
233,3197,2990,0,69
234,3197,2990,0,149
235,3197,2990,0,156
236,3197,2990,0,29
237,3197,2990,0,34
238,3197,2990,1,7
239,3197,2990,0,6
240,3322,2950,5,4
241,3322,2950,1,2
242,3322,2950,59,1
243,3322,2950,1,33
244,3322,2950,2,71
245,3322,2950,0,131
246,3322,2950,0,90
