tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
0,0.9,1.6,9.52,24.9,33.39,20.7,8.07
1,0.9,1.6,9.52,24.9,33.39,20.7,8.07
2,0.9,1.6,9.52,24.9,33.39,20.7,8.07
3,0.9,1.6,9.52,24.9,33.39,20.7,8.07
4,0.9,1.6,9.52,24.9,33.39,20.7,8.07
5,0.9,1.6,9.52,24.9,33.39,20.7,8.07
6,0.9,1.6,9.52,24.9,33.39,20.7,8.07
7,0.9,1.6,9.52,24.9,33.39,20.7,8.07
8,0.9,1.6,9.52,24.9,33.39,20.7,8.07
9,0.9,1.6,9.52,24.9,33.39,20.7,8.07
10,0.9,1.6,9.52,24.9,33.39,20.7,8.07
11,0.9,1.6,9.52,24.9,33.39,20.7,8.07
12,0.9,1.6,9.52,24.9,33.39,20.7,8.07
13,0.9,1.6,9.52,24.9,33.39,20.7,8.07
14,0.9,1.6,9.52,24.9,33.39,20.7,8.07
15,0.9,1.6,9.52,24.9,33.39,20.7,8.07
16,0.9,1.6,9.52,24.9,33.39,20.7,8.07
17,0.9,1.6,9.52,24.9,33.39,20.7,8.07
18,0.9,1.6,9.52,24.9,33.39,20.7,8.07
19,0.9,1.6,9.52,24.9,33.39,20.7,8.07
20,0.9,1.6,9.52,24.9,33.39,20.7,8.07
21,0.9,1.6,9.52,24.9,33.39,20.7,8.07
22,0.9,1.6,9.52,24.9,33.39,20.7,8.07
23,0.9,1.6,9.52,24.9,33.39,20.7,8.07
24,0.9,1.6,9.52,24.9,33.39,20.7,8.07
25,0.9,1.6,9.52,24.9,33.39,20.7,8.07
26,0.9,1.6,9.52,24.9,33.39,20.7,8.07
27,0.9,1.6,9.52,24.9,33.39,20.7,8.07
28,0.9,1.6,9.52,24.9,33.39,20.7,8.07
29,0.9,1.6,9.52,24.9,33.39,20.7,8.07
30,0.9,1.6,9.52,24.9,33.39,20.7,8.07
31,0.9,1.6,9.52,24.9,33.39,20.7,8.07
32,0.9,1.6,9.52,24.9,33.39,20.7,8.07
33,0.9,1.6,9.52,24.9,33.39,20.7,8.07
34,0.9,1.6,9.52,24.9,33.39,20.7,8.07
35,0.9,1.6,9.52,24.9,33.39,20.7,8.07
36,0.9,1.6,9.52,24.9,33.39,20.7,8.07
37,0.9,1.6,9.52,24.9,33.39,20.7,8.07
38,0.9,1.6,9.52,24.9,33.39,20.7,8.07
39,0.9,1.6,9.52,24.9,33.39,20.7,8.07
40,0.9,1.6,9.52,24.9,33.39,20.7,8.07
41,0.9,1.6,9.52,24.9,33.39,20.7,8.07
42,0.9,1.6,9.52,24.9,33.39,20.7,8.07
43,0.9,1.6,9.52,24.9,33.39,20.7,8.07
44,0.9,1.6,9.52,24.9,33.39,20.7,8.07
45,0.9,1.6,9.52,24.9,33.39,20.7,8.07
46,0.9,1.6,9.52,24.9,33.39,20.7,8.07
47,0.9,1.6,9.52,24.9,33.39,20.7,8.07
48,0.9,1.6,9.52,24.9,33.39,20.7,8.07
49,0.9,1.6,9.52,24.9,33.39,20.7,8.07
50,0.9,1.6,9.52,24.9,33.39,20.7,8.07
51,0.9,1.6,9.52,24.9,33.39,20.7,8.07
52,0.9,1.6,9.52,24.9,33.39,20.7,8.07
53,0.9,1.6,9.52,24.9,33.39,20.7,8.07
54,0.9,1.6,9.52,24.9,33.39,20.7,8.07
55,0.9,1.6,9.52,24.9,33.39,20.7,8.07
56,0.9,1.6,9.52,24.9,33.39,20.7,8.07
57,0.9,1.6,9.52,24.9,33.39,20.7,8.07
58,0.9,1.6,9.52,24.9,33.39,20.7,8.07
