,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
0,3091,2994,52.0,32.0
1,3091,2994,132.0,32.0
2,3091,2994,24.0,36.0
3,3091,2994,60.0,20.0
4,3091,2994,876.0,4.0
5,3091,2994,576.0,8.0
6,3091,2994,124.0,4.0
7,3091,2994,8.0,12.0
8,3091,2994,712.0,4.0
9,3091,2994,84.0,8.0
10,3091,2994,324.0,4.0
11,3091,2994,8.0,12.0
12,3091,2994,228.0,4.0
13,3091,2994,140.0,4.0
14,3091,2994,28.0,16.0
15,3091,2994,4.0,52.0
16,3091,2994,12.0,64.0
17,3091,2994,28.0,8.0
18,3091,2994,32.0,8.0
19,3091,2994,4.0,24.0
20,3091,2994,228.0,4.0
21,3091,2994,172.0,4.0
22,3091,2994,132.0,4.0
23,3091,2994,44.0,8.0
24,3091,2994,8.0,512.0
25,3091,2994,0.0,304.0
26,3091,2994,36.0,40.0
27,3091,2994,0.0,96.0
28,3091,2994,0.0,1064.0
29,3091,2994,0.0,836.0
30,3091,2994,0.0,204.0
31,3091,2994,0.0,340.0
32,3091,2994,0.0,1104.0
33,3091,2994,0.0,1032.0
34,3091,2994,0.0,848.0
35,3091,2994,0.0,420.0
36,3091,2994,0.0,556.0
37,3091,2994,0.0,812.0
38,3091,2994,0.0,668.0
39,3091,2994,0.0,600.0
40,3091,2994,0.0,220.0
41,3091,2994,0.0,560.0
42,3091,2994,0.0,944.0
43,3091,2994,0.0,720.0
44,3091,2994,0.0,812.0
45,3091,2994,0.0,800.0
46,3091,2994,0.0,320.0
47,3091,2994,4.0,100.0
48,3091,2994,4.0,60.0
49,3091,2994,8.0,16.0
50,3091,2994,404.0,4.0
51,3091,2994,560.0,4.0
52,3091,2994,20.0,384.0
53,3091,2994,16.0,96.0
54,3091,2994,104.0,4.0
55,3091,2994,4.0,56.0
56,3091,2994,0.0,664.0
57,3091,2994,4.0,168.0
58,3091,2994,16.0,24.0
59,3091,2994,208.0,8.0
60,3091,2994,40.0,12.0
61,3091,2994,236.0,4.0
62,3091,2994,300.0,4.0
63,3091,2994,20.0,56.0
64,3091,2994,156.0,4.0
65,3091,2994,532.0,4.0
66,3091,2994,840.0,4.0
67,3091,2994,992.0,4.0
68,3091,2994,688.0,4.0
69,3091,2994,120.0,8.0
70,3091,2994,156.0,8.0
71,3091,2994,288.0,4.0
72,3091,2994,56.0,36.0
73,3091,2994,8.0,16.0
74,3091,2994,4.0,24.0
75,3091,2994,4.0,48.0
76,3091,2994,100.0,16.0
77,3091,2994,8.0,96.0
78,3091,2994,0.0,80.0
79,3091,2994,4.0,44.0
80,3091,2994,0.0,40.0
81,3091,2994,4.0,32.0
82,3091,2994,4.0,36.0
83,3091,2994,4.0,60.0
84,3091,2994,16.0,8.0
85,3091,2994,40.0,8.0
86,3091,2994,4.0,112.0
87,3091,2994,4.0,88.0
88,3091,2994,68.0,48.0
89,3091,2994,4.0,40.0
90,3091,2994,0.0,112.0
91,3091,2994,4.0,116.0
92,3091,2994,152.0,72.0
93,3091,2994,72.0,24.0
94,3091,2994,4.0,36.0
95,3091,2994,4.0,164.0
96,3091,2994,0.0,896.0
97,3091,2994,0.0,708.0
98,3091,2994,0.0,624.0
99,3091,2994,0.0,788.0
100,3091,2994,0.0,444.0
101,3091,2994,0.0,628.0
102,3091,2994,0.0,480.0
103,3091,2994,0.0,724.0
104,3091,2994,0.0,420.0
105,3091,2994,0.0,312.0
106,3091,2994,0.0,220.0
107,3091,2994,0.0,260.0
108,3091,2994,4.0,80.0
109,3091,2994,0.0,488.0
110,3091,2994,0.0,472.0
111,3091,2994,0.0,464.0
112,3091,2994,0.0,368.0
113,3091,2994,0.0,488.0
114,3091,2994,0.0,392.0
115,3091,2994,0.0,316.0
116,3091,2994,0.0,56.0
117,3091,2994,0.0,160.0
118,3091,2994,0.0,144.0
