,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
0,27982.0,2973.0,0.0,1812.0,4779.0
1,28618.0,2991.0,0.0,1795.0,4778.0
2,28953.0,2921.0,0.0,1786.0,4778.0
3,29088.0,2785.0,0.0,1742.0,4782.0
4,29643.0,2895.0,0.0,1680.0,4768.0
5,29813.0,3007.0,0.0,1677.0,4760.0
6,30304.0,3034.0,0.0,1673.0,4764.0
7,30662.0,3061.0,0.0,1675.0,4766.0
8,30793.0,3091.0,0.0,1674.0,4761.0
9,30954.0,3095.0,0.0,1672.0,4766.0
10,30663.0,3105.0,0.0,1670.0,4766.0
11,30681.0,3093.0,0.0,1672.0,4774.0
12,31412.0,3086.0,0.0,1663.0,4765.0
13,31756.0,3133.0,0.0,1661.0,4766.0
14,31638.0,3152.0,0.0,1656.0,4776.0
15,31760.0,3176.0,0.0,1653.0,4777.0
16,31712.0,3217.0,0.0,1657.0,4768.0
17,31596.0,3208.0,0.0,1654.0,4778.0
18,31457.0,3192.0,0.0,1655.0,4787.0
19,31351.0,3231.0,0.0,1650.0,4773.0
20,31968.0,3285.0,0.0,1651.0,4766.0
21,32090.0,3287.0,0.0,1648.0,4770.0
22,32157.0,3275.0,0.0,1649.0,4773.0
23,32037.0,3279.0,0.0,1645.0,4766.0
24,31777.0,3293.0,0.0,1639.0,4767.0
25,31472.0,3292.0,0.0,1638.0,4782.0
26,31194.0,3287.0,0.0,1640.0,4785.0
27,31346.0,3292.0,0.0,1635.0,4790.0
28,31014.0,3281.0,0.0,1627.0,4762.0
29,31223.0,3281.0,0.0,1628.0,4807.0
30,30622.0,3287.0,0.0,1623.0,4804.0
31,30813.0,3278.0,0.0,1614.0,4802.0
32,30283.0,3281.0,2.0,1614.0,4797.0
33,30446.0,3288.0,28.0,1612.0,4806.0
34,30301.0,3287.0,181.0,1618.0,4816.0
35,30214.0,3283.0,483.0,1609.0,4821.0
36,30506.0,3284.0,888.0,1606.0,4826.0
37,30835.0,3274.0,1291.0,1605.0,4842.0
38,30905.0,3273.0,1768.0,1615.0,4856.0
39,31000.0,3278.0,2313.0,1616.0,4871.0
40,31412.0,3196.0,2946.0,1620.0,4872.0
41,31783.0,3210.0,3716.0,1624.0,4869.0
42,31868.0,3187.0,4431.0,1622.0,4860.0
43,31891.0,3189.0,5054.0,1627.0,4865.0
44,32357.0,3251.0,5467.0,1626.0,4868.0
45,32570.0,3288.0,5947.0,1623.0,4865.0
46,32219.0,3261.0,6242.0,1633.0,4858.0
47,32052.0,3211.0,6344.0,1638.0,4863.0
48,31830.0,3286.0,6558.0,1684.0,4847.0
49,31718.0,3290.0,6441.0,1735.0,4849.0
50,31695.0,3296.0,6321.0,1747.0,4851.0
51,31139.0,3280.0,6317.0,1753.0,4854.0
52,30615.0,3283.0,6108.0,1739.0,4849.0
53,29615.0,3285.0,5887.0,1745.0,4847.0
54,28940.0,3288.0,5504.0,1747.0,4851.0
55,27993.0,3286.0,5241.0,1740.0,4855.0
56,26755.0,3290.0,4810.0,1734.0,4853.0
57,26066.0,3286.0,4310.0,1738.0,4862.0
58,25273.0,3273.0,3789.0,1738.0,4866.0
59,24218.0,3271.0,3204.0,1743.0,4862.0
60,23152.0,4037.0,2542.0,1733.0,4862.0
61,22480.0,4267.0,1872.0,1735.0,4867.0
62,21999.0,4319.0,1200.0,1734.0,4868.0
63,21099.0,4302.0,576.0,1730.0,4870.0
64,20438.0,4207.0,146.0,1731.0,4867.0
