tick,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
5976,0,0,136,39
5977,0,0,97,10
5978,0,0,235,4
5979,0,0,192,3
5980,0,0,8,202
5981,0,0,59,15
5982,0,0,270,12
5983,0,0,325,1
5984,4155,4332,115,11
5985,0,0,30,9
5986,0,0,53,4
5987,0,0,250,1
5988,0,0,169,5
5989,0,0,181,6
5990,0,0,426,2
5991,0,0,334,0
5992,0,0,518,0
5993,0,0,705,0
5994,0,0,628,0
5995,0,0,386,0
5996,0,0,317,0
5997,0,0,399,2
5998,0,0,675,0
5999,0,0,302,0
6000,4155,4332,194,2
6001,0,0,36,8
6002,0,0,170,3
6003,0,0,36,9
6004,0,0,247,1
6005,0,0,236,1
6006,0,0,224,1
6007,0,0,61,6
6008,0,0,184,4
6009,0,0,161,1
6010,0,0,215,1
6011,0,0,232,3
6012,0,0,402,2
6013,0,0,338,1
6014,0,0,221,7
6015,0,0,53,39
6016,4155,4332,1,380
6017,0,0,1,216
6018,0,0,8,48
6019,0,0,2,97
6020,0,0,7,192
6021,0,0,9,48
6022,0,0,4,100
6023,0,0,19,40
6024,0,0,8,116
6025,0,0,158,10
6026,0,0,517,0
6027,0,0,813,0
6028,0,0,847,0
6029,0,0,212,4
6030,0,0,62,12
6031,0,0,38,38
6032,4155,4332,99,108
6033,0,0,7,176
6034,0,0,2,140
6035,0,0,3,221
6036,0,0,5,87
6037,0,0,2,109
6038,0,0,4,204
6039,0,0,3,171
6040,0,0,3,152
6041,0,0,23,154
6042,0,0,15,155
6043,0,0,9,58
6044,0,0,82,29
6045,0,0,31,27
6046,0,0,3,77
6047,0,0,9,145
6048,4155,4332,30,87
6049,0,0,45,43
6050,0,0,53,11
6051,0,0,38,12
6052,0,0,297,4
6053,0,0,118,10
6054,0,0,109,4
6055,0,0,33,15
6056,0,0,17,17
6057,0,0,3,84
6058,0,0,7,29
6059,0,0,29,14
6060,0,0,243,12
6061,0,0,149,4
6062,0,0,22,10
6063,0,0,67,6
6064,4155,4332,182,3
6065,0,0,132,2
6066,0,0,279,3
6067,0,0,250,2
6068,0,0,157,6
6069,0,0,30,12
6070,0,0,5,61
6071,0,0,34,30
6072,0,0,21,11
6073,0,0,28,9
6074,0,0,65,38
6075,0,0,71,8
6076,0,0,3,134
6077,0,0,1,243
6078,0,0,1,314
6079,0,0,9,262
6080,4155,4332,12,78
6081,0,0,9,103
6082,0,0,0,342
6083,0,0,4,465
6084,0,0,3,193
6085,0,0,13,141
6086,0,0,1,570
6087,0,0,1,505
6088,0,0,42,62
6089,0,0,231,11
6090,0,0,250,5
6091,0,0,38,38
6092,0,0,236,0
6093,0,0,113,9
6094,0,0,67,27
6095,0,0,217,3
6096,4155,4332,8,119
6097,0,0,35,99
6098,0,0,8,125
6099,0,0,8,189
6100,0,0,146,58
6101,0,0,9,232
6102,0,0,12,244
6103,0,0,2,292
6104,0,0,290,11
6105,0,0,289,0
6106,0,0,163,1
6107,0,0,310,2
6108,0,0,835,1
6109,0,0,957,0
6110,0,0,925,0
6111,0,0,927,1
6112,4155,4332,680,0
6113,0,0,379,0
6114,0,0,214,1
6115,0,0,66,44
6116,0,0,59,2
6117,0,0,8,125
6118,0,0,23,36
6119,0,0,180,5
6120,0,0,14,310
6121,0,0,143,10
6122,0,0,244,2
6123,0,0,213,3
6124,0,0,116,38
6125,0,0,123,22
6126,0,0,48,81
6127,0,0,102,17
6128,4155,4332,228,7
6129,0,0,225,5
6130,0,0,346,1
6131,0,0,169,2
6132,0,0,69,13
6133,0,0,163,36
6134,0,0,49,23
6135,0,0,185,2
6136,0,0,355,5
6137,0,0,272,0
6138,0,0,341,1
6139,0,0,249,0
6140,0,0,292,1
6141,0,0,120,8
6142,0,0,216,8
6143,0,0,29,22
6144,4155,4332,71,35
6145,0,0,163,19
6146,0,0,142,56
6147,0,0,24,16
6148,0,0,302,4
6149,0,0,170,4
6150,0,0,268,1
6151,0,0,51,10
6152,0,0,67,46
6153,0,0,20,66
6154,0,0,283,30
6155,0,0,165,1
6156,0,0,335,1
6157,0,0,138,3
6158,0,0,34,27
6159,0,0,70,10
6160,4155,4332,57,5
6161,0,0,187,10
6162,0,0,235,9
6163,0,0,242,1
6164,0,0,122,5
6165,0,0,163,6
6166,0,0,334,1
6167,0,0,293,1
6168,0,0,121,12
6169,0,0,154,5
6170,0,0,139,4
6171,0,0,542,2
6172,0,0,372,1
6173,0,0,178,1
6174,0,0,178,3
6175,0,0,264,2
6176,4155,4332,32,79
6177,0,0,8,33
6178,0,0,6,31
6179,0,0,95,7
6180,0,0,43,15
6181,0,0,88,12
6182,0,0,256,0
6183,0,0,340,1
6184,0,0,242,1
6185,0,0,241,1
6186,0,0,355,1
6187,0,0,218,1
6188,0,0,83,12
6189,0,0,100,5
6190,0,0,235,1
6191,0,0,201,3
6192,4155,4332,127,4
6193,0,0,193,1
6194,0,0,256,1
6195,0,0,240,1
6196,0,0,514,1
6197,0,0,172,1
6198,0,0,367,0
6199,0,0,53,11
6200,0,0,7,70
6201,0,0,20,36
6202,0,0,9,10
6203,0,0,11,11
6204,0,0,170,3
6205,0,0,268,1
6206,0,0,258,3
6207,0,0,108,4
6208,4155,4332,130,1
6209,0,0,415,1
6210,0,0,163,3
6211,0,0,109,5
6212,0,0,43,10
6213,0,0,23,27
6214,0,0,72,50
6215,0,0,36,40
6216,0,0,11,443
6217,0,0,1,215
6218,0,0,61,43
6219,0,0,133,3
6220,0,0,122,6
6221,0,0,187,3
6222,0,0,295,1
6223,0,0,70,15
6224,4155,4332,587,2
6225,0,0,496,3
6226,0,0,312,3
6227,0,0,292,3
6228,0,0,135,7
6229,0,0,62,19
6230,0,0,73,14
6231,0,0,15,36
6232,0,0,155,6
6233,0,0,156,6
6234,0,0,93,8
6235,0,0,213,4
6236,0,0,380,1
6237,0,0,423,3
6238,0,0,247,1
6239,0,0,149,4
6240,4155,4332,208,5
6241,0,0,128,2
6242,0,0,55,10
6243,0,0,64,5
6244,0,0,279,8
6245,0,0,98,4
6246,0,0,12,13
6247,0,0,40,30
6248,0,0,104,29
6249,0,0,12,61
6250,0,0,1,167
6251,0,0,4,122
6252,0,0,166,5
6253,0,0,53,8
6254,0,0,107,4
6255,0,0,69,7
6256,4155,4332,72,9
6257,0,0,252,2
6258,0,0,248,1
6259,0,0,270,1
6260,0,0,224,5
6261,0,0,100,9
6262,0,0,3,63
6263,0,0,2,76
6264,0,0,98,14
6265,0,0,157,2
6266,0,0,228,2
6267,0,0,101,5
6268,0,0,13,57
6269,0,0,16,19
6270,0,0,124,5
6271,0,0,274,1
6272,4155,4332,61,5
6273,0,0,143,1
6274,0,0,20,43
6275,0,0,79,20
6276,0,0,119,5
6277,0,0,243,2
6278,0,0,28,11
6279,0,0,19,10
6280,0,0,3,59
6281,0,0,1,180
6282,0,0,1,293
6283,0,0,1,406
6284,0,0,3,274
6285,0,0,7,49
6286,0,0,21,27
6287,0,0,22,74
6288,4155,4332,192,2
6289,0,0,137,3
6290,0,0,138,8
6291,0,0,40,16
6292,0,0,91,21
6293,0,0,14,25
6294,0,0,61,7
6295,0,0,9,54
6296,0,0,66,109
6297,0,0,149,3
6298,0,0,44,5
6299,0,0,15,19
6300,0,0,11,34
6301,0,0,24,49
6302,0,0,5,77
6303,0,0,2,227
6304,4155,4332,2,255
6305,0,0,1,299
6306,0,0,10,80
6307,0,0,14,79
6308,0,0,36,52
6309,0,0,66,48
6310,0,0,54,44
6311,0,0,2,158
6312,0,0,1,178
6313,0,0,131,94
6314,0,0,371,1
6315,0,0,666,1
6316,0,0,680,1
6317,0,0,548,1
6318,0,0,332,4
6319,0,0,316,2
6320,4155,4332,132,5
6321,0,0,85,56
6322,0,0,41,66
6323,0,0,30,68
6324,0,0,120,15
6325,0,0,132,8
6326,0,0,109,19
6327,0,0,4,43
6328,0,0,106,44
6329,0,0,119,16
6330,0,0,100,14
6331,0,0,136,5
6332,0,0,413,4
6333,0,0,260,3
6334,0,0,309,3
6335,0,0,58,16
6336,4155,4332,272,2
6337,0,0,123,31
6338,0,0,59,30
6339,0,0,51,30
6340,0,0,57,26
6341,0,0,35,23
6342,0,0,17,81
6343,0,0,22,12
6344,0,0,367,3
6345,0,0,429,2
6346,0,0,308,2
6347,0,0,135,6
6348,0,0,74,5
6349,0,0,12,73
6350,0,0,9,27
6351,0,0,12,18
6352,4155,4332,436,3
6353,0,0,150,4
6354,0,0,91,7
6355,0,0,68,36
6356,0,0,15,63
6357,0,0,14,127
6358,0,0,134,17
6359,0,0,271,2
6360,0,0,288,46
6361,0,0,403,1
6362,0,0,152,3
6363,0,0,123,36
6364,0,0,30,144
6365,0,0,2,111
6366,0,0,33,30
6367,0,0,109,31
6368,4155,4332,11,83
6369,0,0,21,53
6370,0,0,7,133
6371,0,0,5,366
6372,0,0,5,310
6373,0,0,0,260
6374,0,0,22,66
6375,0,0,38,57
6376,0,0,62,17
6377,0,0,109,3
6378,0,0,88,12
6379,0,0,14,3
6380,0,0,82,9
6381,0,0,85,3
6382,0,0,268,1
6383,0,0,244,3
6384,4155,4332,29,52
6385,0,0,52,13
6386,0,0,241,6
6387,0,0,12,39
6388,0,0,175,9
6389,0,0,39,15
6390,0,0,2,223
6391,0,0,0,410
6392,0,0,3,306
6393,0,0,5,88
6394,0,0,4,43
6395,0,0,3,113
6396,0,0,31,24
6397,0,0,20,99
6398,0,0,2,140
6399,0,0,9,22
6400,4155,4332,11,113
6401,0,0,85,6
6402,0,0,137,6
6403,0,0,143,5
6404,0,0,31,31
6405,0,0,83,126
6406,0,0,90,161
6407,0,0,51,59
6408,0,0,4,561
6409,0,0,1,372
6410,0,0,171,27
6411,0,0,801,8
6412,0,0,1256,2
6413,0,0,829,1
6414,0,0,531,0
6415,0,0,415,9
6416,4155,4332,866,2
6417,0,0,629,0
6418,0,0,594,14
6419,0,0,130,16
6420,0,0,579,8
6421,0,0,434,5
6422,0,0,181,69
6423,0,0,49,23
6424,0,0,352,6
6425,0,0,324,14
6426,0,0,206,15
6427,0,0,39,60
6428,0,0,343,14
6429,0,0,98,64
6430,0,0,280,8
6431,0,0,28,23
6432,4155,4332,91,20
6433,0,0,66,21
6434,0,0,136,9
6435,0,0,47,15
6436,0,0,259,9
6437,0,0,99,9
6438,0,0,95,10
6439,0,0,7,69
6440,0,0,75,26
6441,0,0,67,13
6442,0,0,42,9
6443,0,0,50,10
6444,0,0,360,7
6445,0,0,213,2
6446,0,0,412,2
6447,0,0,258,3
6448,4155,4332,248,2
6449,0,0,235,7
6450,0,0,74,6
6451,0,0,276,4
6452,0,0,95,30
6453,0,0,126,14
6454,0,0,288,3
6455,0,0,101,2
6456,0,0,157,33
6457,0,0,403,2
6458,0,0,59,9
6459,0,0,50,9
6460,0,0,49,35
6461,0,0,11,10
6462,0,0,141,5
6463,0,0,436,2
6464,4155,4332,377,2
6465,0,0,431,0
6466,0,0,305,1
6467,0,0,319,1
6468,0,0,443,1
6469,0,0,758,0
6470,0,0,792,0
6471,0,0,552,1
6472,0,0,870,1
6473,0,0,229,3
6474,0,0,227,3
6475,0,0,110,1
6476,0,0,113,3
6477,0,0,56,5
6478,0,0,34,30
6479,0,0,98,8
6480,4155,4332,582,7
6481,0,0,291,1
6482,0,0,253,2
6483,0,0,156,2
6484,0,0,7,114
6485,0,0,11,120
6486,0,0,9,108
6487,0,0,5,137
6488,0,0,124,107
6489,0,0,23,197
6490,0,0,0,173
6491,0,0,0,353
6492,0,0,68,91
6493,0,0,23,16
6494,0,0,30,13
6495,0,0,35,8
6496,4155,4332,5,239
6497,0,0,18,113
6498,0,0,27,29
6499,0,0,18,68
6500,0,0,44,96
6501,0,0,137,5
6502,0,0,82,55
6503,0,0,58,25
6504,0,0,0,568
6505,0,0,38,261
6506,0,0,107,15
6507,0,0,319,2
6508,0,0,198,7
6509,0,0,25,16
6510,0,0,37,68
6511,0,0,8,85
6512,4155,4332,420,41
6513,0,0,325,15
6514,0,0,150,24
6515,0,0,35,114
6516,0,0,11,108
6517,0,0,16,129
6518,0,0,5,272
6519,0,0,9,254
6520,0,0,19,214
6521,0,0,5,241
6522,0,0,2,325
6523,0,0,15,200
6524,0,0,282,6
6525,0,0,217,4
6526,0,0,295,1
6527,0,0,109,17
6528,4155,4332,141,13
6529,0,0,49,49
6530,0,0,34,25
6531,0,0,18,29
6532,0,0,188,6
6533,0,0,11,15
6534,0,0,43,11
6535,0,0,20,14
6536,0,0,189,6
6537,0,0,76,21
6538,0,0,173,4
6539,0,0,119,12
6540,0,0,109,73
6541,0,0,9,83
6542,0,0,9,51
6543,0,0,6,101
6544,4155,4332,9,62
6545,0,0,8,111
6546,0,0,7,93
6547,0,0,15,172
6548,0,0,15,44
6549,0,0,38,7
6550,0,0,22,49
6551,0,0,36,25
6552,0,0,43,69
6553,0,0,53,13
6554,0,0,5,53
6555,0,0,1,321
6556,0,0,5,289
6557,0,0,65,52
6558,0,0,132,4
6559,0,0,218,6
6560,4155,4332,420,1
6561,0,0,540,21
6562,0,0,312,105
6563,0,0,313,11
6564,0,0,90,25
6565,0,0,40,7
6566,0,0,41,39
6567,0,0,3,173
6568,0,0,35,122
6569,0,0,33,54
6570,0,0,142,8
6571,0,0,15,26
6572,0,0,10,139
6573,0,0,1,242
6574,0,0,0,459
6575,0,0,0,333
6576,4155,4332,9,390
6577,0,0,9,91
6578,0,0,0,482
6579,0,0,0,582
6580,0,0,0,300
6581,0,0,0,854
6582,0,0,0,882
6583,0,0,0,1339
6584,0,0,0,1169
6585,0,0,7,600
6586,0,0,0,410
6587,0,0,0,802
6588,0,0,0,865
6589,0,0,0,689
6590,0,0,0,692
6591,0,0,13,515
6592,4155,4332,0,408
6593,0,0,1,463
6594,0,0,68,92
6595,0,0,181,13
6596,0,0,102,49
6597,0,0,49,40
6598,0,0,133,40
6599,0,0,50,39
6600,0,0,0,637
6601,0,0,47,178
6602,0,0,335,6
6603,0,0,899,1
6604,0,0,559,2
6605,0,0,214,2
6606,0,0,310,3
6607,0,0,315,2
6608,4155,4332,180,44
6609,0,0,181,12
6610,0,0,330,6
6611,0,0,179,13
6612,0,0,524,2
6613,0,0,441,1
6614,0,0,272,2
6615,0,0,105,4
6616,0,0,270,4
6617,0,0,452,1
6618,0,0,565,1
6619,0,0,159,1
6620,0,0,174,3
6621,0,0,25,9
6622,0,0,97,9
6623,0,0,3,219
6624,4155,4332,45,219
6625,0,0,23,110
6626,0,0,157,5
6627,0,0,10,35
6628,0,0,267,18
6629,0,0,196,4
6630,0,0,151,11
6631,0,0,13,37
6632,0,0,631,2
6633,0,0,342,2
6634,0,0,486,2
6635,0,0,96,4
6636,0,0,653,2
6637,0,0,288,2
6638,0,0,61,25
6639,0,0,93,9
6640,4155,4332,65,8
6641,0,0,80,8
6642,0,0,141,4
6643,0,0,225,3
6644,0,0,106,6
6645,0,0,120,10
6646,0,0,160,4
6647,0,0,60,16
6648,0,0,252,4
6649,0,0,432,1
6650,0,0,281,2
6651,0,0,129,11
6652,0,0,246,3
6653,0,0,714,2
6654,0,0,379,7
6655,0,0,91,22
6656,4155,4332,6,194
6657,0,0,2,188
6658,0,0,0,371
6659,0,0,0,364
6660,0,0,0,319
6661,0,0,0,357
6662,0,0,0,305
6663,0,0,7,207
6664,0,0,170,101
6665,0,0,8,180
6666,0,0,2,152
6667,0,0,1,151
6668,0,0,20,17
6669,0,0,14,5
6670,0,0,10,5
6671,0,0,12,8
6672,4155,4332,145,4
6673,0,0,50,5
6674,0,0,204,1
6675,0,0,57,11
6676,0,0,1,256
6677,0,0,0,356
6678,0,0,89,187
6679,0,0,6,36
6680,0,0,244,29
6681,0,0,191,4
6682,0,0,99,12
6683,0,0,265,15
6684,0,0,44,32
6685,0,0,19,37
6686,0,0,140,6
6687,0,0,193,5
6688,4155,4332,1,291
6689,0,0,7,139
6690,0,0,28,39
6691,0,0,31,22
6692,0,0,22,123
6693,0,0,26,32
6694,0,0,23,19
6695,0,0,240,2
6696,0,0,68,68
6697,0,0,138,4
6698,0,0,421,1
6699,0,0,923,1
6700,0,0,791,1
6701,0,0,204,8
6702,0,0,10,140
6703,0,0,13,47
6704,4155,4332,231,100
6705,0,0,31,153
6706,0,0,2,249
6707,0,0,3,172
6708,0,0,220,32
6709,0,0,27,38
6710,0,0,8,81
6711,0,0,9,47
6712,0,0,23,98
6713,0,0,91,41
6714,0,0,68,14
6715,0,0,5,145
6716,0,0,42,85
6717,0,0,54,10
6718,0,0,8,26
6719,0,0,5,145
6720,4155,4332,26,114
6721,0,0,85,104
6722,0,0,16,96
6723,0,0,6,116
6724,0,0,61,26
6725,0,0,26,20
6726,0,0,6,56
6727,0,0,4,177
6728,0,0,32,87
6729,0,0,20,146
6730,0,0,19,45
6731,0,0,11,92
6732,0,0,244,19
6733,0,0,140,7
6734,0,0,47,49
6735,0,0,80,11
6736,4155,4332,150,10
6737,0,0,152,27
6738,0,0,63,18
6739,0,0,76,21
6740,0,0,12,50
6741,0,0,7,77
6742,0,0,98,6
6743,0,0,96,34
6744,0,0,467,1
6745,0,0,704,2
6746,0,0,409,1
6747,0,0,150,13
6748,0,0,33,122
6749,0,0,83,7
6750,0,0,111,4
6751,0,0,381,0
6752,4155,4332,410,1
6753,0,0,723,1
6754,0,0,680,7
6755,0,0,528,31
6756,0,0,443,14
6757,0,0,675,3
6758,0,0,394,1
6759,0,0,107,5
6760,0,0,81,8
6761,0,0,13,27
6762,0,0,6,77
6763,0,0,19,50
6764,0,0,101,5
6765,0,0,79,12
6766,0,0,463,2
6767,0,0,268,4
6768,4155,4332,265,2
6769,0,0,505,1
6770,0,0,512,1
6771,0,0,659,0
6772,0,0,757,1
6773,0,0,576,2
6774,0,0,562,7
6775,0,0,451,7
6776,0,0,667,10
6777,0,0,526,0
6778,0,0,295,1
6779,0,0,83,12
6780,0,0,76,16
6781,0,0,23,128
6782,0,0,79,5
6783,0,0,81,21
6784,4155,4332,159,39
6785,0,0,142,3
6786,0,0,94,5
6787,0,0,248,5
6788,0,0,603,0
6789,0,0,586,0
6790,0,0,387,1
6791,0,0,193,2
6792,0,0,4,164
6793,0,0,24,115
6794,0,0,114,8
6795,0,0,511,1
6796,0,0,938,0
6797,0,0,1132,16
6798,0,0,609,70
6799,0,0,67,114
6800,4155,4332,90,174
6801,0,0,13,286
6802,0,0,4,461
6803,0,0,6,321
6804,0,0,351,52
6805,0,0,340,2
6806,0,0,202,3
6807,0,0,87,8
6808,0,0,780,4
6809,0,0,370,1
6810,0,0,438,1
6811,0,0,18,16
6812,0,0,46,18
6813,0,0,37,50
6814,0,0,8,105
6815,0,0,19,56
6816,4155,4332,318,2
6817,0,0,306,1
6818,0,0,222,0
6819,0,0,8,16
6820,0,0,147,3
6821,0,0,30,9
6822,0,0,113,3
6823,0,0,7,104
6824,0,0,124,22
6825,0,0,81,8
6826,0,0,62,12
6827,0,0,24,5
6828,0,0,187,4
6829,0,0,141,5
6830,0,0,128,2
6831,0,0,8,32
6832,4155,4332,173,3
6833,0,0,89,13
6834,0,0,50,4
6835,0,0,132,5
6836,0,0,279,1
6837,0,0,116,3
6838,0,0,27,8
6839,0,0,40,37
6840,0,0,95,4
6841,0,0,64,11
6842,0,0,14,18
6843,0,0,6,52
6844,0,0,76,46
6845,0,0,53,16
6846,0,0,246,2
6847,0,0,369,1
6848,4155,4332,138,8
6849,0,0,110,6
6850,0,0,86,3
6851,0,0,126,3
6852,0,0,6,79
6853,0,0,10,34
6854,0,0,8,33
6855,0,0,6,30
6856,0,0,193,1
6857,0,0,110,19
6858,0,0,55,15
6859,0,0,23,7
6860,0,0,167,2
6861,0,0,314,1
6862,0,0,198,2
6863,0,0,182,3
6864,4155,4332,187,1
6865,0,0,45,5
6866,0,0,90,3
6867,0,0,10,9
6868,0,0,40,6
6869,0,0,20,24
6870,0,0,6,74
6871,0,0,8,65
6872,0,0,53,16
6873,0,0,18,18
6874,0,0,12,21
6875,0,0,9,28
6876,0,0,21,31
6877,0,0,45,11
6878,0,0,90,6
6879,0,0,167,18
6880,4155,4332,62,7
6881,0,0,21,29
6882,0,0,83,24
6883,0,0,172,4
6884,0,0,57,14
6885,0,0,8,84
6886,0,0,2,178
6887,0,0,1,339
6888,0,0,1,580
6889,0,0,4,379
6890,0,0,27,147
6891,0,0,338,2
6892,0,0,483,3
6893,0,0,312,11
6894,0,0,239,8
6895,0,0,232,60
6896,4155,4332,114,100
6897,0,0,58,181
6898,0,0,71,112
6899,0,0,27,24
6900,0,0,263,1
6901,0,0,129,20
6902,0,0,27,39
6903,0,0,11,46
6904,0,0,422,2
6905,0,0,337,0
6906,0,0,335,0
6907,0,0,399,0
6908,0,0,319,3
6909,0,0,200,3
6910,0,0,331,2
6911,0,0,32,25
6912,4155,4332,297,29
6913,0,0,17,57
6914,0,0,65,12
6915,0,0,6,110
6916,0,0,11,162
6917,0,0,3,96
6918,0,0,15,35
6919,0,0,7,67
6920,0,0,108,9
6921,0,0,5,99
6922,0,0,8,70
6923,0,0,13,30
6924,0,0,43,158
6925,0,0,2,373
6926,0,0,9,74
6927,0,0,8,27
6928,4155,4332,413,3
6929,0,0,88,7
6930,0,0,67,6
6931,0,0,217,5
6932,0,0,208,49
6933,0,0,13,24
6934,0,0,14,26
6935,0,0,41,19
6936,0,0,25,54
6937,0,0,14,36
6938,0,0,2,193
6939,0,0,4,158
6940,0,0,6,34
6941,0,0,28,7
6942,0,0,109,3
6943,0,0,409,1
6944,4155,4332,388,1
6945,0,0,582,1
6946,0,0,356,1
6947,0,0,325,1
6948,0,0,121,2
6949,0,0,194,3
6950,0,0,102,6
6951,0,0,44,15
6952,0,0,30,30
6953,0,0,8,20
6954,0,0,13,111
6955,0,0,7,52
6956,0,0,6,112
6957,0,0,4,98
6958,0,0,8,161
6959,0,0,8,162
6960,4155,4332,4,129
6961,0,0,11,207
6962,0,0,5,166
6963,0,0,2,325
6964,0,0,2,388
6965,0,0,3,357
6966,0,0,3,485
6967,0,0,0,482
6968,0,0,138,87
6969,0,0,50,7
6970,0,0,11,59
6971,0,0,6,153
6972,0,0,8,71
6973,0,0,41,21
6974,0,0,45,15
6975,0,0,51,9
6976,4155,4332,374,2
6977,0,0,165,45
6978,0,0,45,11
6979,0,0,294,2
6980,0,0,247,32
6981,0,0,166,1
6982,0,0,143,25
6983,0,0,33,40
6984,0,0,15,54
6985,0,0,27,51
6986,0,0,108,12
6987,0,0,551,1
6988,0,0,324,1
6989,0,0,129,3
6990,0,0,164,1
6991,0,0,145,2
6992,4155,4332,691,0
6993,0,0,513,1
6994,0,0,157,2
6995,0,0,117,5
6996,0,0,72,6
6997,0,0,16,18
6998,0,0,32,22
6999,0,0,15,10
7000,0,0,118,12
7001,0,0,152,3
7002,0,0,118,9
7003,0,0,19,10
7004,0,0,63,17
7005,0,0,83,9
7006,0,0,192,6
7007,0,0,61,12
7008,4155,4332,280,31
7009,0,0,286,2
7010,0,0,211,1
7011,0,0,84,62
7012,0,0,16,110
7013,0,0,21,8
7014,0,0,183,6
7015,0,0,54,4
7016,0,0,159,2
7017,0,0,139,2
7018,0,0,162,1
7019,0,0,247,3
7020,0,0,163,2
7021,0,0,208,2
7022,0,0,192,1
7023,0,0,55,3
7024,4155,4332,121,2
7025,0,0,47,58
7026,0,0,81,4
7027,0,0,8,23
7028,0,0,97,15
7029,0,0,92,13
7030,0,0,144,5
7031,0,0,102,1
7032,0,0,318,9
7033,0,0,555,0
7034,0,0,274,0
7035,0,0,155,2
7036,0,0,53,231
7037,0,0,14,10
7038,0,0,10,13
7039,0,0,11,26
7040,4155,4332,2,168
7041,0,0,5,158
7042,0,0,0,329
7043,0,0,0,294
7044,0,0,110,66
7045,0,0,129,27
7046,0,0,29,3
7047,0,0,5,85
7048,0,0,1,130
7049,0,0,1,181
7050,0,0,1,184
7051,0,0,7,90
7052,0,0,61,50
7053,0,0,21,52
7054,0,0,26,12
7055,0,0,2,101
7056,4155,4332,0,283
7057,0,0,0,440
7058,0,0,1,105
7059,0,0,0,433
7060,0,0,22,140
7061,0,0,13,30
7062,0,0,11,49
7063,0,0,1,117
7064,0,0,35,112
7065,0,0,44,13
7066,0,0,2,64
7067,0,0,1,123
7068,0,0,3,424
7069,0,0,4,268
7070,0,0,6,127
7071,0,0,11,38
7072,4155,4332,0,328
7073,0,0,4,261
7074,0,0,4,92
7075,0,0,1,124
7076,0,0,1,272
7077,0,0,39,68
7078,0,0,141,57
7079,0,0,75,15
7080,0,0,2,325
7081,0,0,10,223
7082,0,0,59,81
7083,0,0,224,1
7084,0,0,474,0
7085,0,0,205,1
7086,0,0,29,30
7087,0,0,71,51
7088,4155,4332,435,35
7089,0,0,121,28
7090,0,0,39,46
7091,0,0,8,72
7092,0,0,203,2
7093,0,0,152,5
7094,0,0,81,28
7095,0,0,11,101
7096,0,0,199,7
7097,0,0,310,1
7098,0,0,185,1
7099,0,0,101,15
7100,0,0,173,6
7101,0,0,119,6
7102,0,0,20,29
7103,0,0,10,11
7104,4155,4332,239,2
7105,0,0,187,2
7106,0,0,85,32
7107,0,0,13,19
7108,0,0,123,3
7109,0,0,42,22
7110,0,0,10,29
7111,0,0,6,70
7112,0,0,164,5
7113,0,0,80,3
7114,0,0,100,3
7115,0,0,56,11
7116,0,0,196,9
7117,0,0,286,2
7118,0,0,120,3
7119,0,0,14,47
7120,4155,4332,202,2
7121,0,0,399,5
7122,0,0,76,16
7123,0,0,299,2
7124,0,0,727,2
7125,0,0,520,1
7126,0,0,362,1
7127,0,0,579,2
7128,0,0,253,117
7129,0,0,331,1
7130,0,0,113,9
7131,0,0,155,3
7132,0,0,171,1
7133,0,0,75,18
7134,0,0,28,26
7135,0,0,191,3
7136,4155,4332,554,0
7137,0,0,515,0
7138,0,0,318,0
7139,0,0,193,3
7140,0,0,99,25
7141,0,0,42,21
7142,0,0,40,8
7143,0,0,23,6
7144,0,0,312,1
7145,0,0,193,0
7146,0,0,165,0
7147,0,0,214,0
7148,0,0,462,0
7149,0,0,716,0
7150,0,0,1044,0
7151,0,0,969,0
7152,4155,4332,938,1
7153,0,0,683,0
7154,0,0,594,0
7155,0,0,361,2
7156,0,0,691,0
7157,0,0,569,1
7158,0,0,637,0
7159,0,0,361,1
7160,0,0,1012,0
7161,0,0,1179,0
7162,0,0,957,0
7163,0,0,834,0
7164,0,0,929,0
7165,0,0,545,7
7166,0,0,167,1
7167,0,0,78,2
7168,4155,4332,421,0
7169,0,0,409,0
7170,0,0,361,7
7171,0,0,599,0
7172,0,0,197,18
7173,0,0,241,12
7174,0,0,88,6
7175,0,0,301,0
7176,0,0,186,3
7177,0,0,269,0
7178,0,0,442,0
7179,0,0,793,0
7180,0,0,338,2
7181,0,0,227,4
7182,0,0,65,7
7183,0,0,36,18
7184,4155,4332,348,17
7185,0,0,230,15
7186,0,0,153,11
7187,0,0,51,24
7188,0,0,274,2
7189,0,0,235,3
7190,0,0,25,113
7191,0,0,5,160
7192,0,0,3,127
7193,0,0,8,116
7194,0,0,13,50
7195,0,0,11,23
7196,0,0,122,27
7197,0,0,188,1
7198,0,0,219,1
7199,0,0,33,9
7200,4155,4332,157,15
7201,0,0,174,18
7202,0,0,191,30
7203,0,0,19,180
7204,0,0,162,100
7205,0,0,30,34
7206,0,0,49,25
7207,0,0,7,153
7208,0,0,16,54
7209,0,0,3,168
7210,0,0,7,62
7211,0,0,17,26
7212,0,0,77,15
7213,0,0,43,18
7214,0,0,5,124
7215,0,0,4,272
7216,4155,4332,2,315
7217,0,0,3,285
7218,0,0,8,15
7219,0,0,12,40
7220,0,0,22,103
7221,0,0,31,40
7222,0,0,14,126
7223,0,0,29,32
7224,0,0,19,29
7225,0,0,6,45
7226,0,0,24,128
7227,0,0,9,94
7228,0,0,8,55
