tick,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
272,4872,4853,782,7
273,4873,0,780,0
274,4874,0,715,0
275,4875,0,599,10
276,4876,0,654,2
277,4877,0,537,2
278,4878,0,304,2
279,4879,0,334,4
280,4880,0,499,33
281,4881,0,310,2
282,4882,0,265,2
283,4883,0,230,14
284,4884,0,769,1
285,4885,0,1032,0
286,4886,0,842,1
287,4887,0,513,13
288,4888,4332,68,4
289,4889,0,61,10
290,4890,0,207,13
291,4891,0,15,37
292,4892,0,23,42
293,4893,0,215,5
294,4894,0,302,1
295,4895,0,39,19
296,4896,0,39,28
297,4897,0,99,5
298,4898,0,115,1
299,4899,0,7,35
300,4900,0,5,335
301,4901,0,4,102
302,4902,0,103,14
303,4903,0,66,13
304,4904,4332,151,3
305,4905,0,146,6
306,4906,0,111,29
307,4907,0,242,0
308,4908,0,75,27
309,4909,0,38,179
310,4910,0,225,38
311,4911,0,264,4
312,4912,0,109,129
313,4913,0,93,229
314,4914,0,34,203
315,4915,0,152,15
316,4916,0,227,24
317,4917,0,219,18
318,4918,0,305,7
319,4919,0,589,0
320,4920,4332,952,5
321,4921,0,452,0
322,4922,0,855,114
323,4923,0,727,2
324,4924,0,705,1
325,4925,0,1022,2
326,4926,0,832,0
327,4927,0,915,0
328,4928,0,1546,0
329,4929,0,1160,0
330,4930,0,925,8
331,4931,0,1155,1
332,4932,0,685,31
333,4933,0,771,0
334,4934,0,578,2
335,4935,0,515,2
336,4936,4332,657,2
337,4937,0,1218,1
338,4938,0,1025,3
339,4939,0,820,3
340,4940,0,933,6
341,4941,0,827,7
342,4942,0,709,2
343,4943,0,656,16
344,0,0,565,19
345,0,0,427,1
346,0,0,368,1
347,0,0,95,33
348,0,0,273,25
349,0,0,541,6
350,0,0,550,56
351,0,0,224,11
352,4155,4332,37,34
353,0,0,15,16
354,0,0,53,39
355,0,0,182,11
356,0,0,509,2
357,0,0,458,4
358,0,0,333,0
359,0,0,386,0
360,0,0,565,1
361,0,0,615,0
362,0,0,642,1
363,0,0,324,0
364,0,0,311,3
365,0,0,107,17
366,0,0,51,18
367,0,0,65,5
368,4155,4332,957,0
369,0,0,485,11
370,0,0,428,16
371,0,0,86,14
372,0,0,255,2
373,0,0,500,2
374,0,0,224,8
375,0,0,76,52
376,0,0,298,7
377,0,0,271,13
378,0,0,118,26
379,0,0,117,13
380,0,0,461,2
381,0,0,499,1
382,0,0,419,5
383,0,0,98,27
384,4155,4332,48,77
385,0,0,239,10
386,0,0,168,2
387,0,0,40,7
388,0,0,259,7
389,0,0,195,2
390,0,0,299,1
391,0,0,242,5
392,0,0,62,5
393,0,0,42,13
394,0,0,30,19
395,0,0,200,3
396,0,0,207,1
397,0,0,339,0
398,0,0,338,2
399,0,0,85,8
400,4155,4332,167,1
401,0,0,106,1
402,0,0,58,5
403,0,0,5,85
404,0,0,330,2
405,0,0,111,58
406,0,0,22,29
407,0,0,3,196
408,0,0,239,67
409,0,0,474,0
410,0,0,319,9
411,0,0,57,68
412,0,0,8,152
413,0,0,86,54
414,0,0,170,1
415,0,0,371,1
416,4155,4332,84,23
417,0,0,40,25
418,0,0,130,1
419,0,0,92,4
420,0,0,107,24
421,0,0,87,1
422,0,0,226,1
423,0,0,365,1
424,0,0,535,0
425,0,0,485,1
426,0,0,587,0
427,0,0,517,0
428,0,0,427,2
429,0,0,557,0
430,0,0,682,0
431,0,0,362,3
432,4155,4332,139,3
433,0,0,35,8
434,0,0,201,1
435,0,0,215,13
436,0,0,304,1
437,0,0,287,1
438,0,0,187,2
439,0,0,53,5
440,0,0,214,6
441,0,0,215,1
442,0,0,346,0
443,0,0,318,0
444,0,0,271,0
445,0,0,530,0
446,0,0,563,0
447,0,0,434,1
448,4155,4332,551,0
449,0,0,522,0
450,0,0,765,0
451,0,0,1012,0
452,0,0,654,29
453,0,0,217,1
454,0,0,79,8
455,0,0,174,1
456,0,0,102,4
457,0,0,193,1
458,0,0,181,1
459,0,0,164,1
460,0,0,392,0
461,0,0,421,1
462,0,0,414,0
463,0,0,318,1
464,4155,4332,212,29
465,0,0,39,70
466,0,0,155,5
467,0,0,46,6
468,0,0,504,2
469,0,0,272,11
470,0,0,32,104
471,0,0,8,167
472,0,0,185,28
473,0,0,197,31
474,0,0,131,46
475,0,0,3,167
476,0,0,189,55
477,0,0,301,5
478,0,0,26,43
479,0,0,20,44
480,4155,4332,402,13
481,0,0,246,5
482,0,0,199,3
483,0,0,48,3
484,0,0,232,2
485,0,0,178,0
486,0,0,112,3
487,0,0,234,13
488,0,0,158,13
489,0,0,23,7
490,0,0,319,1
491,0,0,319,3
492,0,0,150,12
493,0,0,243,2
494,0,0,236,1
495,0,0,57,46
496,4155,4332,224,2
497,0,0,241,1
498,0,0,233,2
499,0,0,212,3
500,0,0,424,1
501,0,0,105,9
502,0,0,40,43
503,0,0,168,55
504,0,0,107,88
505,0,0,109,10
506,0,0,102,16
507,0,0,7,76
508,0,0,10,291
509,0,0,5,78
510,0,0,16,29
511,0,0,133,23
512,4155,4332,94,35
513,0,0,295,1
514,0,0,91,16
515,0,0,21,40
516,0,0,3,101
517,0,0,113,5
518,0,0,146,1
519,0,0,109,4
520,0,0,346,2
521,0,0,312,0
522,0,0,314,1
523,0,0,184,3
524,0,0,272,7
525,0,0,456,0
526,0,0,565,0
527,0,0,368,1
528,4155,4332,47,95
529,0,0,352,2
530,0,0,458,2
531,0,0,236,11
532,0,0,68,20
533,0,0,248,0
534,0,0,305,0
535,0,0,94,6
536,0,0,239,0
537,0,0,411,1
538,0,0,469,1
539,0,0,352,1
540,0,0,467,0
541,0,0,421,0
542,0,0,193,1
543,0,0,252,69
544,4155,4332,49,148
545,0,0,77,6
546,0,0,127,9
547,0,0,238,1
548,0,0,236,2
549,0,0,165,5
550,0,0,46,79
551,0,0,34,21
552,0,0,332,4
553,0,0,264,0
554,0,0,104,7
555,0,0,44,3
556,0,0,63,9
557,0,0,60,25
558,0,0,35,177
559,0,0,6,268
560,4155,4332,241,69
561,0,0,324,12
562,0,0,155,18
563,0,0,64,16
564,0,0,436,7
565,0,0,484,2
566,0,0,195,7
567,0,0,61,12
568,0,0,42,6
569,0,0,161,57
570,0,0,105,15
571,0,0,11,80
572,0,0,22,44
573,0,0,51,69
574,0,0,15,78
575,0,0,10,218
576,4155,4332,11,213
577,0,0,105,22
578,0,0,14,46
579,0,0,6,81
580,0,0,144,46
581,0,0,44,15
582,0,0,26,22
583,0,0,14,83
584,0,0,26,26
585,0,0,28,9
586,0,0,8,45
587,0,0,6,108
588,0,0,46,55
589,0,0,53,4
590,0,0,86,4
591,0,0,185,1
592,4155,4332,141,7
593,0,0,247,2
594,0,0,170,2
595,0,0,297,3
596,0,0,16,69
597,0,0,44,10
598,0,0,313,2
599,0,0,130,24
600,0,0,338,189
601,0,0,538,0
602,0,0,342,2
603,0,0,288,3
604,0,0,192,1
605,0,0,26,113
606,0,0,12,74
607,0,0,50,56
608,4155,4332,31,55
609,0,0,193,16
610,0,0,121,3
611,0,0,13,86
612,0,0,2,203
613,0,0,125,144
614,0,0,403,1132
615,0,0,0,854
616,0,0,158,316
617,0,0,48,44
618,0,0,145,40
619,0,0,53,6
620,0,0,339,3
621,0,0,657,1
622,0,0,922,0
623,0,0,1047,1
624,4155,4332,1107,0
625,0,0,894,0
626,0,0,815,0
627,0,0,538,0
628,0,0,1012,0
629,0,0,919,0
630,0,0,657,0
631,0,0,324,1
632,0,0,404,1
633,0,0,521,1
634,0,0,393,1
635,0,0,529,0
636,0,0,640,0
637,0,0,165,22
638,0,0,53,18
639,0,0,39,3
640,4155,4332,7,37
641,0,0,8,25
642,0,0,244,75
643,0,0,456,0
644,0,0,424,0
645,0,0,644,0
646,0,0,523,38
647,0,0,258,28
648,0,0,265,1
649,0,0,351,1
650,0,0,104,12
651,0,0,43,16
652,0,0,245,1
653,0,0,95,5
654,0,0,13,101
655,0,0,21,55
656,4155,4332,113,68
657,0,0,139,82
658,0,0,6,101
659,0,0,13,238
660,0,0,400,92
661,0,0,207,43
662,0,0,15,33
663,0,0,1,387
664,0,0,119,174
665,0,0,61,21
666,0,0,56,9
667,0,0,24,21
668,0,0,469,6
669,0,0,133,106
670,0,0,5,140
671,0,0,5,237
672,4155,4332,380,14
673,0,0,353,4
674,0,0,102,4
675,0,0,15,10
676,0,0,177,2
677,0,0,86,11
678,0,0,85,2
679,0,0,21,74
680,0,0,3,171
681,0,0,0,163
682,0,0,5,74
683,0,0,3,42
684,0,0,2,346
685,0,0,5,410
686,0,0,4,290
687,0,0,3,126
688,4155,4332,0,346
689,0,0,6,74
690,0,0,7,46
691,0,0,2,344
692,0,0,3,203
693,0,0,0,484
694,0,0,7,460
695,0,0,8,327
696,0,0,8,401
697,0,0,12,42
698,0,0,101,24
699,0,0,142,2
700,0,0,186,13
701,0,0,256,1
702,0,0,610,1
703,0,0,492,1
704,4155,4332,91,89
705,0,0,44,151
706,0,0,37,106
707,0,0,66,66
708,0,0,1,247
709,0,0,25,26
710,0,0,88,8
711,0,0,33,80
712,0,0,51,45
713,0,0,8,230
714,0,0,0,639
715,0,0,0,542
716,0,0,0,517
717,0,0,4,134
718,0,0,2,183
719,0,0,0,209
720,4155,4332,87,127
721,0,0,44,26
722,0,0,194,4
723,0,0,269,7
724,0,0,351,13
725,0,0,267,7
726,0,0,219,10
727,0,0,93,26
728,0,0,8,118
729,0,0,105,9
730,0,0,249,3
731,0,0,167,13
732,0,0,62,43
733,0,0,65,6
734,0,0,17,32
735,0,0,7,246
736,4155,4332,0,655
737,0,0,0,676
738,0,0,15,218
739,0,0,2,300
740,0,0,1,354
741,0,0,8,54
742,0,0,1,119
743,0,0,10,74
744,0,0,69,42
745,0,0,49,11
746,0,0,90,11
747,0,0,16,19
748,0,0,72,21
749,0,0,20,85
750,0,0,19,100
751,0,0,1,119
752,4155,4332,13,124
753,0,0,80,102
754,0,0,5,94
755,0,0,1,268
756,0,0,24,140
757,0,0,33,58
758,0,0,7,139
759,0,0,11,145
760,0,0,152,20
761,0,0,403,1
762,0,0,357,1
763,0,0,204,74
764,0,0,257,20
765,0,0,48,14
766,0,0,63,5
767,0,0,161,4
768,4155,4332,321,23
769,0,0,224,6
770,0,0,222,4
771,0,0,85,3
772,0,0,354,2
773,0,0,238,4
774,0,0,192,2
