name,technology,fuel,maxPower,minPower,efficiency,rampUp,rampDown,variableCosts,hotStartCosts,warmStartCosts,coldStartCosts,minOperatingTime,minDowntime,heatExtraction,maxExtraction,company,heatingDistrict,year
KW BASF LUDWIGSHAFEN MITTE (CCGT),combined cycle gas turbine,natural gas,600,200,0.56,410,410,3.5,24.1,34.2,46.7,20,12,yes,540,BASF AG,BB,0
JAENSCHWALDE C (Lignite),lignite,lignite,600,250,0.388,270,270,1.65,30.4,47.5,69.3,40,28,yes,76,VATTENFALL EUROPE AG,BB,1985
