,demand
0,44712
1,44637
2,44484
3,44214
4,43632
5,43275
6,43087
7,42815
8,42646
9,42386
10,41833
11,41392
12,40845
13,40534
14,40429
15,40283
16,40281
17,39926
18,39659
19,39305
20,39008
21,38662
22,38333
23,38212
24,36933
25,37511
26,37550
27,37598
28,37879
29,37933
30,38098
31,38254
32,38314
33,38232
34,38649
35,39479
36,40460
37,41509
38,42247
39,42880
40,43853
41,44655
42,44987
43,45506
44,46369
45,46992
46,47710
47,47899
48,48066
49,48204
50,42042
51,41278
52,40993
53,40837
54,40917
55,40546
56,40872
57,41195
58,41277
59,40899
60,41434
61,41529
62,41899
63,42074
64,43034
65,43155
66,44058
67,45273
68,46861
69,47867
70,48017
71,48025
72,48322
73,48462
74,48325
75,48016
76,47886
77,47423
78,46871
79,46270
80,45893
81,44985
82,44148
83,43615
84,43199
85,42732
86,42160
87,42105
88,43176
89,42944
90,42466
91,41996
92,41143
93,41088
94,39827
95,39487
96,38813
97,38285
98,37686
99,37052
100,36448
101,36010
102,35931
103,35839
104,35796
105,35872
106,35641
107,35607
108,35651
109,35509
110,36097
111,36153
112,36364
113,36954
114,37309
115,37593
116,38533
117,39144
118,40100
119,41367
120,43454
121,45528
122,47203
123,48986
124,50656
125,51735
126,53095
127,54665
128,56057
129,56262
130,56849
131,57720
132,57969
133,58587
134,64539
135,64626
136,64976
137,65471
138,65843
139,66273
140,66720
141,66783
142,66997
143,67117
144,66919
145,66837
146,66908
147,66378
148,66433
149,65892
150,65077
151,64465
152,64184
153,64129
154,64186
155,63988
156,63927
157,63622
158,63416
159,63456
160,63693
161,63796
162,64790
163,65869
164,67003
165,67488
166,67786
167,67777
168,67432
169,67006
170,66969
171,67181
172,66753
173,66372
174,66016
175,65717
176,63593
177,62755
178,61399
179,60587
180,59650
181,59007
182,58537
183,58277
184,58881
185,58034
186,57136
187,56276
188,55050
189,54532
190,53597
191,52884
192,52167
193,51456
194,50971
195,49880
196,49048
197,48864
198,48585
199,48252
200,47664
201,47625
202,47274
203,47084
204,47262
205,47053
206,47299
207,47524
208,47802
209,48020
210,48293
211,48955
212,49583
213,50098
214,50622
215,51700
216,53605
217,55663
218,56658
219,58066
220,59895
221,61278
222,63009
223,64642
224,65825
225,65860
226,66279
227,66405
228,66926
229,67497
230,67812
231,68079
232,68441
233,68815
234,69541
235,69926
236,70381
237,70771
238,71084
239,71049
240,70764
241,71046
242,71400
243,71097
244,70677
245,70483
246,70655
247,70343
248,70406
249,70230
250,70075
251,69803
252,70009
253,70013
254,69929
255,69674
256,70154
257,70750
258,71597
259,72480
260,73235
261,74063
262,74349
263,74445
264,73978
265,73555
266,73367
267,73101
268,72907
269,72447
270,71921
271,71353
272,70101
273,68839
274,67884
275,66997
276,66258
277,65974
278,65285
279,64743
280,65441
281,63089
282,62405
283,60776
284,59929
285,59044
286,57883
287,56191
288,55049
289,54387
290,53638
291,52988
292,52502
