name,country,region,x,y,ROR,PV,windOn,windOff,BIO,InstalledConCapacity,averageMC
263,DE,41,8.349,49.013,0,72,10,0,0,10000,300
264,DE,41,8.314,49.009,0,0,0,0,0,10000,300
265,DE,41,8.641,48.89,8,104,1,0,19,10000,300
266,DE,42,8.121,48.705,148,78,4,0,11,10000,300
267,DE,42,7.911,48.501,13,204,38,0,30,10000,300
268,DE,42,7.753,48.099,9,221,69,0,14,10000,300
269,DE,41,9.046,48.903,3,70,0,0,8,10000,300
270,DE,42,9.195,48.913,12,72,0,0,18,10000,300
271,DE,42,9.379,48.88,0,45,6,0,4,10000,300
272,DE,41,9.097,48.828,2,26,1,0,4,10000,300
273,DE,42,9.215,48.853,9,37,0,0,4,10000,300
274,DE,42,9.563,48.701,3,164,15,0,13,10000,300
275,DE,42,9.402,48.666,3,45,0,0,2,10000,300
276,DE,42,8.786,48.584,14,256,58,0,37,10000,300
277,DE,42,9.275,48.55,20,105,0,0,8,10000,300
278,DE,42,9.704,48.465,6,65,47,0,9,10000,300
279,DE,42,8.873,48.31,1,134,2,0,12,10000,300
280,DE,42,8.465,48.043,8,155,51,0,23,10000,300
281,DE,42,8.617,48.066,2,127,9,0,18,10000,300
282,DE,42,7.937,47.649,140,84,3,0,1,10000,300
283,DE,42,7.958,47.596,0,0,0,0,0,10000,300
284,DE,42,8.259,47.634,0,0,0,0,0,10000,300
285,DE,42,8.252,47.64,88,125,4,0,14,10000,300
286,DE,42,9.013,47.844,1,177,4,0,24,10000,300
287,DE,42,8.861,47.806,4,55,0,0,13,10000,300
288,DE,42,9.426,48.064,6,160,14,0,40,10000,300
289,DE,42,9.645,47.745,11,350,6,0,47,10000,300
290,DE,42,9.802,47.653,1,56,0,0,1,10000,300
291,DE,42,10.116,48.897,1,169,75,0,16,10000,300
292,DE,42,10.222,48.737,0,0,0,0,0,10000,300
293,DE,76,10.232,48.53,3,145,72,0,49,10000,300
294,DE,76,10.391,48.518,26,271,1,0,30,10000,300
295,DE,76,10.868,48.539,85,437,28,0,98,10000,300
296,DE,76,10.937,48.401,38,219,17,0,51,10000,300
297,DE,42,9.886,48.304,15,462,54,0,86,10000,300
298,DE,76,10.841,48.238,73,312,8,0,32,10000,300
299,DE,76,10.083,48.267,5,124,0,0,20,10000,300
300,DE,76,10.195,47.971,100,265,13,0,28,10000,300
301,DE,76,10.363,47.738,46,0,0,0,0,10000,300
302,DE,76,10.322,47.683,43,191,11,0,13,10000,300
303,DE,26,11.294,48.052,9,198,16,0,11,10000,300
304,DE,26,11.278,47.496,159,111,0,0,22,10000,300
305,DE,26,12.13,47.913,251,274,2,0,54,10000,300
306,DE,26,11.371,48.291,6,185,13,0,27,10000,300
307,DE,26,11.441,48.172,31,79,1,0,14,10000,300
308,DE,26,11.64,48.179,8,64,3,0,5,10000,300
309,DE,26,11.813,48.221,27,0,0,0,0,10000,300
310,DE,26,11.868,48.207,2,99,0,0,15,10000,300
311,DE,26,11.808,48.455,82,191,7,0,57,10000,300
312,DE,26,11.584,48.764,23,0,0,0,0,10000,300
313,DE,26,11.508,48.761,45,198,51,0,20,10000,300
314,DE,26,11.792,48.838,8,166,5,0,13,10000,300
315,DE,26,12.747,48.149,240,426,3,0,59,10000,300
316,DE,26,12.221,48.586,27,478,4,0,52,10000,300
317,DE,26,12.297,48.606,57,332,5,0,32,10000,300
318,DE,26,13.003,48.262,102,253,1,0,33,10000,300
319,DE,26,13.103,48.667,214,865,1,0,42,10000,300
320,DE,25,12.151,49.013,36,277,1,0,17,10000,300
321,DE,25,12.082,49.298,5,224,72,0,37,10000,300
322,DE,25,10.843,49.379,2,750,216,0,157,10000,300
323,DE,25,11.327,49.393,10,336,211,0,59,10000,300
324,DE,25,10.973,49.558,8,200,43,0,29,10000,300
325,DE,25,12.113,49.631,17,352,38,0,61,10000,300
326,DE,25,10.836,49.929,7,219,42,0,26,10000,300
327,DE,25,11.105,49.979,9,79,12,0,11,10000,300
328,DE,25,11.811,50.183,10,257,251,0,37,10000,300
329,DE,25,11.194,50.162,8,243,27,0,18,10000,300
330,DE,83,10.99,50.574,3,220,12,0,36,10000,300
331,DE,83,11.474,50.604,2,35,7,0,49,10000,300
332,DE,83,11.647,50.534,0,21,2,0,2,10000,300
333,DE,83,11.123,50.999,0,98,267,0,20,10000,300
334,DE,83,11.471,50.93,6,114,169,0,11,10000,300
335,DE,83,10.736,51.44,7,142,164,0,21,10000,300
336,DE,83,11.516,51.584,9,593,1386,0,46,10000,300
337,DE,83,12.262,51.741,2,148,200,0,27,10000,300
338,DE,83,11.893,51.405,4,269,980,0,38,10000,300
339,DE,83,12.045,50.781,9,249,151,0,80,10000,300
340,DE,83,12.243,50.567,4,41,8,0,14,10000,300
341,DE,84,12.249,51.198,0,0,0,0,0,10000,300
342,DE,84,12.881,50.518,7,17,14,0,1,10000,300
343,DE,84,12.789,50.627,13,20,4,0,2,10000,300
344,DE,84,12.338,51.197,0,42,10,0,6,10000,300
345,DE,84,12.469,51.371,3,385,243,0,87,10000,300
346,DE,84,12.518,51.156,3,124,79,0,20,10000,300
347,DE,84,12.477,50.753,3,43,20,0,15,10000,300
348,DE,84,12.813,50.858,7,55,57,0,9,10000,300
349,DE,84,13.002,50.866,26,79,106,0,22,10000,300
350,DE,84,13.382,51.356,8,218,281,0,46,10000,300
351,DE,84,13.841,50.99,127,44,25,0,21,10000,300
352,DE,84,14.219,51.121,1,228,151,0,16,10000,300
353,DE,84,14.949,51.062,1,66,94,0,13,10000,300
354,DE,84,14.51,51.413,5,184,70,0,20,10000,300
355,DE,84,14.47,51.554,18,0,0,0,0,10000,300
356,DE,84,14.604,52.174,0,62,95,0,8,10000,300
357,DE,84,14.428,51.889,3,465,229,0,17,10000,300
358,DE,84,13.903,51.874,0,476,1259,0,100,10000,300
359,DE,81,14.034,53.508,0,159,622,0,59,10000,300
360,DE,81,14.271,53.096,0,0,0,0,0,10000,300
361,DE,81,13.494,52.59,0,8,3,0,1,10000,300
362,DE,81,13.71,52.54,0,413,295,0,28,10000,300
363,DE,81,13.524,52.535,0,9,0,0,0,10000,300
364,DE,81,13.506,52.474,0,37,6,0,30,10000,300
365,DE,81,13.304,52.231,0,128,544,0,24,10000,300
366,DE,81,13.206,52.657,1,83,148,0,19,10000,300
367,DE,81,13.211,52.581,0,6,0,0,1,10000,300
368,DE,81,12.941,52.562,0,258,960,0,46,10000,300
369,DE,81,13.457,52.522,0,3,0,0,2,10000,300
370,DE,81,13.369,52.503,0,13,0,0,3,10000,300
371,DE,81,13.249,52.531,0,8,0,0,6,10000,300
372,DE,81,12.5,52.405,0,263,218,0,25,10000,300
373,DE,81,11.644,51.909,4,208,527,0,36,10000,300
374,DE,81,11.562,52.124,0,99,174,0,18,10000,300
375,DE,81,11.638,52.269,0,174,465,0,38,10000,300
376,DE,23,10.999,52.2,7,93,15,0,15,10000,300
377,DE,23,10.369,52.167,12,59,179,0,14,10000,300
