name,bus0,bus1,x,r,s_nom
535,161,8,2.95330528,0.544515661,490
536,72,193,4.145105602,0.764253845,490
537,407,405,10.65625698,1.964747381,490
538,268,285,23.31700388,4.29907259,490
539,152,121,0.653536317,0.120495758,490
540,162,7,7.316219419,1.348927955,490
541,136,362,27.56859555,5.082959805,490
542,192,128,9.457856111,1.743792221,490
543,235,140,7.432136526,1.370300172,490
544,391,206,6.756173511,1.245669491,490
545,400,413,17.12122358,3.156725598,490
546,76,243,10.17698008,1.876380702,490
547,283,79,1.066159992,0.196573249,490
549,400,401,12.48977627,2.3028025,490
550,57,405,17.8391299,3.289089576,490
551,428,427,1.043945124,0.192477382,490
552,348,347,9.712319086,1.790708831,490
553,148,151,2.833553814,0.522436484,490
554,359,136,9.501443643,1.751828672,490
555,397,386,14.28836422,2.634417153,490
556,255,256,1.8229689,0.210342565,1700
557,368,372,17.66663339,3.257285532,490
558,240,241,0.134617425,0.024820088,490
559,333,335,21.18607719,3.906182983,490
560,7,159,6.808206766,1.255263122,490
561,381,377,9.857906405,1.817551493,490
562,223,382,15.58582124,2.873635792,490
563,53,304,10.08677173,1.859748538,490
564,154,12,2.490670481,0.45921737,490
565,434,436,10.22089023,1.884476636,490
566,366,362,14.75594652,2.72062764,490
567,183,184,5.105201567,0.941271539,490
568,168,186,4.228708554,0.77966814,490
569,256,255,2.320350644,0.42781465,490
570,105,178,3.20046099,0.590084995,490
571,89,10,3.733429978,0.688351152,490
572,203,213,10.63409818,1.960661853,490
573,249,250,4.387050339,0.808862406,490
574,270,275,12.33701746,2.274637595,490
575,92,156,5.723487248,1.055267961,490
576,381,382,4.821914581,0.889040501,490
577,266,267,9.287069392,1.712303419,490
578,251,259,8.575235207,1.581058991,490
579,375,420,62.44873856,11.51398617,490
580,379,377,5.145344314,0.948672858,490
581,178,156,12.08348694,2.227892905,490
582,348,349,5.8940833,1.086721608,490
583,111,103,5.78893837,1.067335512,490
584,427,423,15.66013755,2.88733786,490
585,205,211,6.358745376,1.172393679,490
586,413,426,3.705215395,0.683149088,490
587,236,188,23.62582495,4.356011475,490
588,268,267,15.73435313,2.901021358,490
589,400,397,11.07223966,2.041444187,490
590,204,207,4.308036991,0.79429432,490
591,62,178,7.030426844,1.296234949,490
592,309,306,12.64050244,2.330592638,490
593,215,61,12.44381962,2.294329243,490
594,179,105,16.61199197,3.06283602,490
595,108,185,6.67715764,1.23110094,490
