tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
0,0.9,1.8,8.506820597,25.86998717,21.67,20.7,7.05
1,0.9,1.8,8.50697864,25.83966187,21.67,20.7,7.05
2,0.9,1.8,8.507136682,25.80933657,21.67,20.7,7.05
3,0.9,1.8,8.507294725,25.77901126,21.67,20.7,7.05
4,0.9,1.8,8.507452767,25.74868596,21.67,20.7,7.05
5,0.9,1.8,8.507610809,25.71836065,21.67,20.7,7.05
6,0.9,1.8,8.507768852,25.68803535,21.67,20.7,7.05
7,0.9,1.8,8.507926894,25.65771005,21.67,20.7,7.05
8,0.9,1.8,8.508084937,25.62738474,21.67,20.7,7.05
9,0.9,1.8,8.508242979,25.59705944,21.67,20.7,7.05
10,0.9,1.8,8.508401022,25.56673414,21.67,20.7,7.05
11,0.9,1.8,8.508559064,25.53640883,21.67,20.7,7.05
12,0.9,1.8,8.508717107,25.50608353,21.67,20.7,7.05
13,0.9,1.8,8.508875149,25.47575823,21.67,20.7,7.05
14,0.9,1.8,8.509033191,25.44543292,21.67,20.7,7.05
15,0.9,1.8,8.509191234,25.41510762,21.67,20.7,7.05
16,0.9,1.8,8.509349276,25.38478232,21.67,20.7,7.05
17,0.9,1.8,8.509533659,25.35863981,21.67,20.7,7.05
18,0.9,1.8,8.509718042,25.33249731,21.67,20.7,7.05
19,0.9,1.8,8.509902425,25.30635481,21.67,20.7,7.05
20,0.9,1.8,8.510086808,25.28021231,21.67,20.7,7.05
21,0.9,1.8,8.51027119,25.2540698,21.67,20.7,7.05
22,0.9,1.8,8.510455573,25.2279273,21.67,20.7,7.05
23,0.9,1.8,8.510639956,25.2017848,21.67,20.7,7.05
24,0.9,1.8,8.510824339,25.17564229,21.67,20.7,7.05
25,0.9,1.8,8.511008722,25.14949979,21.67,20.7,7.05
26,0.9,1.8,8.511193105,25.12335729,21.67,20.7,7.05
27,0.9,1.8,8.511377487,25.09721478,21.67,20.7,7.05
28,0.9,1.8,8.51156187,25.07107228,21.67,20.7,7.05
29,0.9,1.8,8.511746253,25.04492978,21.67,20.7,7.05
30,0.9,1.8,8.511930636,25.01878728,21.67,20.7,7.05
31,0.9,1.8,8.512115019,24.99264477,21.67,20.7,7.05
32,0.9,1.8,8.512299402,24.96650227,21.67,20.7,7.05
33,0.9,1.8,8.512457444,24.96754797,21.67,20.7,7.05
34,0.9,1.8,8.512615486,24.96859367,21.67,20.7,7.05
35,0.9,1.8,8.512773529,24.96963937,21.67,20.7,7.05
36,0.9,1.8,8.512931571,24.97068507,21.67,20.7,7.05
37,0.9,1.8,8.513089614,24.97173077,21.67,20.7,7.05
38,0.9,1.8,8.513247656,24.97277647,21.67,20.7,7.05
39,0.9,1.8,8.513405699,24.97382217,21.67,20.7,7.05
40,0.9,1.8,8.513563741,24.97486787,21.67,20.7,7.05
41,0.9,1.8,8.513721783,24.97591357,21.67,20.7,7.05
42,0.9,1.8,8.513879826,24.97695927,21.67,20.7,7.05
43,0.9,1.8,8.514037868,24.97800497,21.67,20.7,7.05
44,0.9,1.8,8.514195911,24.97905067,21.67,20.7,7.05
45,0.9,1.8,8.514353953,24.98009637,21.67,20.7,7.05
46,0.9,1.8,8.514511996,24.98114207,21.67,20.7,7.05
47,0.9,1.8,8.514670038,24.98218777,21.67,20.7,7.05
48,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
49,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
50,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
51,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
52,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
53,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
54,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
55,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
56,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
57,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
58,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
59,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
60,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
61,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
62,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
63,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
64,0.9,1.8,8.51482808,24.98323347,21.67,20.7,7.05
65,0.9,1.8,8.514986123,24.9839306,21.67,20.7,7.05
66,0.9,1.8,8.515144165,24.98462774,21.67,20.7,7.05
67,0.9,1.8,8.515302208,24.98532487,21.67,20.7,7.05
68,0.9,1.8,8.51546025,24.98602201,21.67,20.7,7.05
69,0.9,1.8,8.515618293,24.98671914,21.67,20.7,7.05
70,0.9,1.8,8.515776335,24.98741627,21.67,20.7,7.05
71,0.9,1.8,8.515934378,24.98811341,21.67,20.7,7.05
72,0.9,1.8,8.51609242,24.98881054,21.67,20.7,7.05
