,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
0,2756,2827,4,576
1,2756,2827,632,1004
2,2756,2827,12,168
3,2756,2827,8,76
4,2756,2827,8,112
5,2756,2827,0,260
6,2756,2827,0,464
7,2756,2827,0,368
8,2756,2827,28,228
9,2756,2827,0,308
10,2756,2827,0,248
11,2756,2827,0,336
12,2756,2827,24,164
13,2756,2827,8,188
14,2756,2827,0,496
15,2756,2827,0,664
16,2756,2827,8,36
17,2756,2827,156,4
18,2756,2827,0,96
19,2756,2827,0,256
20,2756,2827,12,68
21,2756,2827,0,176
22,2756,2827,0,332
23,2756,2827,0,540
24,2756,2827,4,128
25,2756,2827,0,180
26,2756,2827,4,72
27,2756,2827,4,64
28,2756,2827,36,8
29,2756,2827,4,28
30,2756,2827,4,96
31,2756,2827,0,116
32,2756,2827,0,396
33,2756,2827,0,384
34,2756,2827,0,504
35,2756,2827,0,596
36,2756,2827,0,1164
37,2756,2827,4,852
38,2756,2827,0,308
39,2756,2827,0,252
40,2756,2827,0,256
41,2756,2827,0,184
42,2756,2827,0,164
43,2756,2827,0,368
44,2756,2827,0,1100
45,2756,2827,0,972
46,2756,2827,16,752
47,2756,2827,32,572
48,2756,2827,0,256
49,2756,2827,20,36
50,2756,2827,20,48
51,2756,2827,44,24
52,2756,2827,224,4
53,2756,2827,32,60
54,2756,2827,0,156
55,2756,2827,32,32
56,2756,2827,64,44
57,2756,2827,192,0
58,2756,2827,336,4
59,2756,2827,280,0
60,2756,2827,736,0
61,2756,2827,352,4
62,2756,2827,12,48
63,2756,2827,0,208
64,2756,2827,4,412
65,2756,2827,8,416
66,2756,2827,28,156
67,2756,2827,24,148
68,2756,2827,8,316
69,2756,2827,4,92
70,2756,2827,4,40
71,2756,2827,4,32
72,2756,2827,12,120
73,2756,2827,4,120
74,2756,2827,4,240
75,2756,2827,4,156
76,2756,2827,52,44
77,2756,2827,4,84
78,2756,2827,8,240
79,2756,2827,4,740
80,2756,2827,32,220
81,2756,2827,24,116
82,2756,2827,16,88
83,2756,2827,24,68
84,2756,2827,8,252
85,2756,2827,12,396
86,2756,2827,4,572
87,2756,2827,4,560
88,2756,2827,272,28
89,2756,2827,4,20
90,2756,2827,4,72
91,2756,2827,4,400
92,2756,2827,0,688
93,2756,2827,4,928
94,2756,2827,4,876
95,2756,2827,0,1456
96,2756,2827,0,1216
97,2756,2827,0,1372
98,2756,2827,0,1320
99,2756,2827,0,1624
100,2756,2827,76,1140
101,2756,2827,0,1388
102,2756,2827,4,1412
103,2756,2827,4,1676
104,2756,2827,4,948
105,2756,2827,0,976
106,2756,2827,4,1060
107,2756,2827,4,848
108,2756,2827,4,1028
109,2756,2827,0,1108
110,2756,2827,0,744
111,2756,2827,0,556
112,2756,2827,0,1128
113,2756,2827,0,948
114,2756,2827,4,820
115,2756,2827,0,864
116,2756,2827,0,676
117,2756,2827,0,424
118,2756,2827,0,420
119,2756,2827,4,300
120,2756,2827,0,1044
121,2756,2827,4,908
122,2756,2827,4,828
123,2756,2827,0,700
124,2756,2827,0,1568
125,2756,2827,0,1320
126,2756,2827,12,720
127,2756,2827,4,500
128,2756,2827,4,772
129,2756,2827,4,384
130,2756,2827,20,304
131,2756,2827,4,88
132,2756,2827,4,536
133,2756,2827,12,348
134,2756,2827,8,336
135,2756,2827,0,220
136,2756,2827,0,312
137,2756,2827,0,468
138,2756,2827,0,600
139,2756,2827,0,1052
140,2756,2827,0,976
141,2756,2827,4,600
142,2756,2827,0,376
143,2756,2827,0,1116
144,2756,2827,4,680
145,2756,2827,0,1016
146,2756,2827,4,1020
147,2756,2827,0,848
148,2756,2827,0,428
149,2756,2827,0,652
150,2756,2827,4,412
151,2756,2827,12,248
152,2756,2827,0,1476
153,2756,2827,76,964
154,2756,2827,116,284
155,2756,2827,4,24
156,2756,2827,0,608
157,2756,2827,0,500
158,2756,2827,0,704
159,2756,2827,0,708
160,2756,2827,0,780
161,2756,2827,4,164
162,2756,2827,236,32
163,2756,2827,192,4
164,2756,2827,28,100
165,2756,2827,36,4
166,2756,2827,56,12
167,2756,2827,396,0
168,2756,2827,40,52
169,2756,2827,0,100
170,2756,2827,4,28
171,2756,2827,32,4
172,2756,2827,200,8
173,2756,2827,20,20
174,2756,2827,4,228
175,2756,2827,0,372
176,2756,2827,48,116
177,2756,2827,4,200
178,2756,2827,0,312
179,2756,2827,0,372
180,2756,2827,132,72
181,2756,2827,8,12
182,2756,2827,4,12
183,2756,2827,16,56
184,2756,2827,552,8
185,2756,2827,240,4
186,2756,2827,328,4
187,2756,2827,504,0
188,2756,2827,556,0
189,2756,2827,572,28
190,2756,2827,252,16
191,2756,2827,24,20
192,2756,2827,424,8
193,2756,2827,752,0
194,2756,2827,856,0
195,2756,2827,68,12
196,2756,2827,152,4
197,2756,2827,336,0
198,2756,2827,284,28
199,2756,2827,4,36
200,2756,2827,180,4
201,2756,2827,12,112
202,2756,2827,272,16
203,2756,2827,32,8
204,2756,2827,312,0
205,2756,2827,8,4
206,2756,2827,4,28
207,2756,2827,0,300
208,2756,2827,0,92
