,Import,Export
0,518.0,2698.0
1,522.0,2696.0
2,541.0,2696.0
3,536.0,2696.0
4,464.0,2572.0
5,466.0,2564.0
6,474.0,2563.0
7,480.0,2563.0
8,774.0,2771.0
9,794.0,2772.0
10,817.0,2770.0
11,840.0,2771.0
12,1474.0,3048.0
13,1489.0,3049.0
14,1500.0,3048.0
15,1515.0,3048.0
16,1270.0,2534.0
17,1271.0,2528.0
18,1274.0,2528.0
19,1275.0,2528.0
20,964.0,2071.0
21,965.0,2071.0
22,964.0,2071.0
23,964.0,2071.0
24,800.0,1841.0
25,800.0,1839.0
26,800.0,1839.0
27,804.0,1839.0
28,977.0,1778.0
29,978.0,1771.0
30,978.0,1771.0
31,978.0,1771.0
32,1056.0,1592.0
33,1053.0,1597.0
34,1054.0,1597.0
35,1052.0,1610.0
36,1064.0,1434.0
37,1064.0,1437.0
38,1064.0,1438.0
39,1064.0,1439.0
40,1397.0,1606.0
41,1404.0,1606.0
42,1402.0,1604.0
43,1402.0,1604.0
44,1785.0,1468.0
45,1786.0,1469.0
46,1784.0,1468.0
47,1784.0,1468.0
48,1371.0,1055.0
49,1371.0,1055.0
50,1367.0,1055.0
51,1364.0,1057.0
52,1552.0,1061.0
53,1550.0,1061.0
54,1547.0,1063.0
55,1549.0,1061.0
56,1863.0,1445.0
57,1863.0,1445.0
58,1863.0,1445.0
59,1863.0,1445.0
60,2605.0,2192.0
61,2605.0,2192.0
62,2605.0,2192.0
63,2605.0,2192.0
64,2599.0,2388.0
65,2599.0,2388.0
66,2599.0,2388.0
67,2599.0,2388.0
68,1526.0,1459.0
69,1526.0,1461.0
70,1526.0,1463.0
71,1526.0,1476.0
72,923.0,1498.0
73,920.0,1500.0
74,920.0,1498.0
75,920.0,1498.0
76,499.0,1546.0
77,505.0,1546.0
78,507.0,1587.0
79,512.0,1587.0
80,601.0,1842.0
81,601.0,1827.0
82,601.0,1844.0
83,612.0,1845.0
84,787.0,1751.0
85,788.0,1742.0
86,789.0,1759.0
87,789.0,1760.0
88,794.0,1796.0
89,789.0,1796.0
90,787.0,1802.0
91,788.0,1797.0
92,1208.0,2335.0
93,1204.0,2328.0
94,1212.0,2339.0
95,1216.0,2317.0
96,885.0,1854.0
97,885.0,1854.0
98,885.0,1854.0
99,887.0,1845.0
100,892.0,2081.0
101,892.0,2081.0
102,892.0,2081.0
103,892.0,2081.0
104,994.0,2103.0
105,998.0,2103.0
106,1003.0,2103.0
107,1009.0,2103.0
108,801.0,2222.0
109,801.0,2220.0
110,801.0,2218.0
111,801.0,2218.0
112,727.0,1962.0
113,727.0,1962.0
114,727.0,1962.0
115,727.0,1962.0
116,891.0,2039.0
117,892.0,2039.0
118,891.0,2039.0
119,891.0,2039.0
120,701.0,2083.0
121,701.0,2083.0
122,700.0,2083.0
123,698.0,2084.0
124,490.0,2321.0
125,489.0,2321.0
126,489.0,2323.0
127,488.0,2327.0
128,638.0,2562.0
129,638.0,2562.0
130,636.0,2564.0
131,637.0,2564.0
132,528.0,2428.0
133,524.0,2428.0
134,524.0,2429.0
135,524.0,2430.0
136,308.0,2599.0
137,306.0,2598.0
138,308.0,2596.0
139,308.0,2597.0
140,377.0,2874.0
141,377.0,2874.0
142,377.0,2872.0
143,377.0,2874.0
144,180.0,2973.0
145,181.0,2973.0
146,181.0,2972.0
147,180.0,2973.0
148,342.0,2930.0
149,344.0,2931.0
150,342.0,2930.0
151,350.0,2923.0
152,143.0,2893.0
153,143.0,2893.0
154,143.0,2893.0
155,143.0,2893.0
156,316.0,3134.0
157,316.0,3134.0
158,316.0,3134.0
159,316.0,3134.0
160,400.0,2938.0
161,389.0,2938.0
162,389.0,2938.0
163,389.0,2938.0
164,493.0,2799.0
165,474.0,2799.0
166,474.0,2799.0
167,474.0,2799.0
168,238.0,2845.0
169,238.0,2845.0
170,238.0,2845.0
171,238.0,2845.0
172,66.0,2939.0
173,66.0,2939.0
174,66.0,2939.0
175,66.0,2939.0
176,39.0,2982.0
177,39.0,2982.0
178,39.0,2982.0
179,39.0,2982.0
180,55.0,2779.0
181,55.0,2779.0
182,55.0,2779.0
183,55.0,2779.0
184,105.0,2648.0
185,106.0,2649.0
186,106.0,2649.0
187,106.0,2649.0
188,331.0,2862.0
189,332.0,2860.0
190,336.0,2867.0
191,339.0,2872.0
192,114.0,2666.0
193,114.0,2666.0
194,120.0,2666.0
195,126.0,2666.0
196,382.0,2601.0
197,383.0,2600.0
198,384.0,2591.0
199,384.0,2590.0
200,830.0,2769.0
