tick;SH;HH;NI;HB;NW;HE;RP;BW;BY;SL;BE;BB;MV;SN;ST;TH
4902;3,5152E-05;3,53975E-05;3,5456E-05;3,5445E-05;3,61249E-05;2,98275E-05;3,38843E-05;3,17496E-05;2,51992E-05;3,57284E-05;2,99107E-05;2,99107E-05;3,08872E-05;3,28993E-05;3,0245E-05;3,3003E-05
4903;3,5152E-05;3,53975E-05;3,5456E-05;3,5445E-05;3,61249E-05;2,98275E-05;3,38843E-05;3,17496E-05;2,51992E-05;3,57284E-05;2,99107E-05;2,99107E-05;3,08872E-05;3,28993E-05;3,0245E-05;3,3003E-05
4904;3,23005E-05;3,25261E-05;3,25798E-05;3,25697E-05;3,31943E-05;2,6428E-05;3,11359E-05;2,91748E-05;2,23287E-05;3,283E-05;2,65016E-05;2,65016E-05;2,73665E-05;3,0231E-05;2,67977E-05;3,03263E-05
4905;3,23005E-05;3,25261E-05;3,25798E-05;3,25697E-05;3,31943E-05;2,6428E-05;3,11359E-05;2,91748E-05;2,23287E-05;3,283E-05;2,65016E-05;2,65016E-05;2,73665E-05;3,0231E-05;2,67977E-05;3,03263E-05
4906;3,23005E-05;3,25261E-05;3,25798E-05;3,25697E-05;3,31943E-05;2,6428E-05;3,11359E-05;2,91748E-05;2,23287E-05;3,283E-05;2,65016E-05;2,65016E-05;2,73665E-05;3,0231E-05;2,67977E-05;3,03263E-05
4907;3,23005E-05;3,25261E-05;3,25798E-05;3,25697E-05;3,31943E-05;2,6428E-05;3,11359E-05;2,91748E-05;2,23287E-05;3,283E-05;2,65016E-05;2,65016E-05;2,73665E-05;3,0231E-05;2,67977E-05;3,03263E-05
4908;3,62957E-05;3,65493E-05;3,66097E-05;3,65983E-05;3,73004E-05;2,95093E-05;3,49867E-05;3,27824E-05;2,49305E-05;3,68909E-05;2,95915E-05;2,95915E-05;3,05577E-05;3,39695E-05;2,99223E-05;3,40767E-05
4909;3,62957E-05;3,65493E-05;3,66097E-05;3,65983E-05;3,73004E-05;2,95093E-05;3,49867E-05;3,27824E-05;2,49305E-05;3,68909E-05;2,95915E-05;2,95915E-05;3,05577E-05;3,39695E-05;2,99223E-05;3,40767E-05
4910;3,62957E-05;3,65493E-05;3,66097E-05;3,65983E-05;3,73004E-05;2,95093E-05;3,49867E-05;3,27824E-05;2,49305E-05;3,68909E-05;2,95915E-05;2,95915E-05;3,05577E-05;3,39695E-05;2,99223E-05;3,40767E-05
4911;3,62957E-05;3,65493E-05;3,66097E-05;3,65983E-05;3,73004E-05;2,95093E-05;3,49867E-05;3,27824E-05;2,49305E-05;3,68909E-05;2,95915E-05;2,95915E-05;3,05577E-05;3,39695E-05;2,99223E-05;3,40767E-05
4912;4,10172E-05;4,13039E-05;4,13721E-05;4,13592E-05;4,21529E-05;3,92637E-05;3,95375E-05;3,70457E-05;3,31669E-05;4,169E-05;3,93733E-05;3,93733E-05;4,06597E-05;3,83877E-05;3,98136E-05;3,85088E-05
4913;4,10172E-05;4,13039E-05;4,13721E-05;4,13592E-05;4,21529E-05;3,92637E-05;3,95375E-05;3,70457E-05;3,31669E-05;4,169E-05;3,93733E-05;3,93733E-05;4,06597E-05;3,83877E-05;3,98136E-05;3,85088E-05
4914;4,10172E-05;4,13039E-05;4,13721E-05;4,13592E-05;4,21529E-05;3,92637E-05;3,95375E-05;3,70457E-05;3,31669E-05;4,169E-05;3,93733E-05;3,93733E-05;4,06597E-05;3,83877E-05;3,98136E-05;3,85088E-05
4915;4,10172E-05;4,13039E-05;4,13721E-05;4,13592E-05;4,21529E-05;3,92637E-05;3,95375E-05;3,70457E-05;3,31669E-05;4,169E-05;3,93733E-05;3,93733E-05;4,06597E-05;3,83877E-05;3,98136E-05;3,85088E-05
4916;3,93504E-05;3,96254E-05;3,96908E-05;3,96785E-05;4,04398E-05;4,49322E-05;3,7931E-05;3,55407E-05;3,79531E-05;3,99958E-05;4,50576E-05;4,50576E-05;4,65301E-05;3,6828E-05;4,55617E-05;3,69441E-05
4917;3,93504E-05;3,96254E-05;3,96908E-05;3,96785E-05;4,04398E-05;4,49322E-05;3,7931E-05;3,55407E-05;3,79531E-05;3,99958E-05;4,50576E-05;4,50576E-05;4,65301E-05;3,6828E-05;4,55617E-05;3,69441E-05
4918;3,93504E-05;3,96254E-05;3,96908E-05;3,96785E-05;4,04398E-05;4,49322E-05;3,7931E-05;3,55407E-05;3,79531E-05;3,99958E-05;4,50576E-05;4,50576E-05;4,65301E-05;3,6828E-05;4,55617E-05;3,69441E-05
4919;3,93504E-05;3,96254E-05;3,96908E-05;3,96785E-05;4,04398E-05;4,49322E-05;3,7931E-05;3,55407E-05;3,79531E-05;3,99958E-05;4,50576E-05;4,50576E-05;4,65301E-05;3,6828E-05;4,55617E-05;3,69441E-05
4920;4,18069E-05;4,20991E-05;4,21687E-05;4,21555E-05;4,29645E-05;4,18799E-05;4,02987E-05;3,77588E-05;3,53759E-05;4,24927E-05;4,19967E-05;4,19967E-05;4,33691E-05;3,91267E-05;4,24665E-05;3,92501E-05
4921;4,18069E-05;4,20991E-05;4,21687E-05;4,21555E-05;4,29645E-05;4,18799E-05;4,02987E-05;3,77588E-05;3,53759E-05;4,24927E-05;4,19967E-05;4,19967E-05;4,33691E-05;3,91267E-05;4,24665E-05;3,92501E-05
4922;4,18069E-05;4,20991E-05;4,21687E-05;4,21555E-05;4,29645E-05;4,18799E-05;4,02987E-05;3,77588E-05;3,53759E-05;4,24927E-05;4,19967E-05;4,19967E-05;4,33691E-05;3,91267E-05;4,24665E-05;3,92501E-05
4923;4,18069E-05;4,20991E-05;4,21687E-05;4,21555E-05;4,29645E-05;4,18799E-05;4,02987E-05;3,77588E-05;3,53759E-05;4,24927E-05;4,19967E-05;4,19967E-05;4,33691E-05;3,91267E-05;4,24665E-05;3,92501E-05
4924;3,95628E-05;3,98393E-05;3,99051E-05;3,98927E-05;4,06581E-05;4,0752E-05;3,81357E-05;3,57325E-05;3,44235E-05;4,02117E-05;4,08656E-05;4,08656E-05;4,2201E-05;3,70267E-05;4,13228E-05;3,71435E-05
4925;3,95628E-05;3,98393E-05;3,99051E-05;3,98927E-05;4,06581E-05;4,0752E-05;3,81357E-05;3,57325E-05;3,44235E-05;4,02117E-05;4,08656E-05;4,08656E-05;4,2201E-05;3,70267E-05;4,13228E-05;3,71435E-05
4926;3,95628E-05;3,98393E-05;3,99051E-05;3,98927E-05;4,06581E-05;4,0752E-05;3,81357E-05;3,57325E-05;3,44235E-05;4,02117E-05;4,08656E-05;4,08656E-05;4,2201E-05;3,70267E-05;4,13228E-05;3,71435E-05
4927;3,95628E-05;3,98393E-05;3,99051E-05;3,98927E-05;4,06581E-05;4,0752E-05;3,81357E-05;3,57325E-05;3,44235E-05;4,02117E-05;4,08656E-05;4,08656E-05;4,2201E-05;3,70267E-05;4,13228E-05;3,71435E-05
4928;3,82481E-05;3,85154E-05;3,8579E-05;3,8567E-05;3,93069E-05;3,63995E-05;3,68686E-05;3,45453E-05;3,07484E-05;3,88754E-05;3,6501E-05;3,6501E-05;3,76934E-05;3,57965E-05;3,69092E-05;3,59094E-05
4929;3,82481E-05;3,85154E-05;3,8579E-05;3,8567E-05;3,93069E-05;3,63995E-05;3,68686E-05;3,45453E-05;3,07484E-05;3,88754E-05;3,6501E-05;3,6501E-05;3,76934E-05;3,57965E-05;3,69092E-05;3,59094E-05
4930;3,82481E-05;3,85154E-05;3,8579E-05;3,8567E-05;3,93069E-05;3,63995E-05;3,68686E-05;3,45453E-05;3,07484E-05;3,88754E-05;3,6501E-05;3,6501E-05;3,76934E-05;3,57965E-05;3,69092E-05;3,59094E-05
4931;3,82481E-05;3,85154E-05;3,8579E-05;3,8567E-05;3,93069E-05;3,63995E-05;3,68686E-05;3,45453E-05;3,07484E-05;3,88754E-05;3,6501E-05;3,6501E-05;3,76934E-05;3,57965E-05;3,69092E-05;3,59094E-05
4932;3,73181E-05;3,75788E-05;3,76409E-05;3,76291E-05;3,83511E-05;3,44709E-05;3,59721E-05;3,37055E-05;2,91199E-05;3,79301E-05;3,4567E-05;3,4567E-05;3,5696E-05;3,49262E-05;3,49535E-05;3,50363E-05
