tick;SH;HH;NI;HB;NW;HE;RP;BW;BY;SL;BE;BB;MV;SN;ST;TH
4983;3,21539E-05;3,23785E-05;3,24319E-05;3,24218E-05;3,30436E-05;2,84116E-05;3,09946E-05;2,90424E-05;2,40036E-05;3,2681E-05;2,84908E-05;2,84908E-05;2,94209E-05;3,00938E-05;2,88092E-05;3,01887E-05
4984;3,01407E-05;3,03511E-05;3,04013E-05;3,03918E-05;3,09745E-05;2,6276E-05;2,90542E-05;2,72246E-05;2,22003E-05;3,06347E-05;2,63492E-05;2,63492E-05;2,72091E-05;2,82099E-05;2,66436E-05;2,82988E-05
4985;3,01407E-05;3,03511E-05;3,04013E-05;3,03918E-05;3,09745E-05;2,6276E-05;2,90542E-05;2,72246E-05;2,22003E-05;3,06347E-05;2,63492E-05;2,63492E-05;2,72091E-05;2,82099E-05;2,66436E-05;2,82988E-05
4986;3,01407E-05;3,03511E-05;3,04013E-05;3,03918E-05;3,09745E-05;2,6276E-05;2,90542E-05;2,72246E-05;2,22003E-05;3,06347E-05;2,63492E-05;2,63492E-05;2,72091E-05;2,82099E-05;2,66436E-05;2,82988E-05
4987;3,01407E-05;3,03511E-05;3,04013E-05;3,03918E-05;3,09745E-05;2,6276E-05;2,90542E-05;2,72246E-05;2,22003E-05;3,06347E-05;2,63492E-05;2,63492E-05;2,72091E-05;2,82099E-05;2,66436E-05;2,82988E-05
4988;3,10892E-05;3,13063E-05;3,1358E-05;3,13483E-05;3,19494E-05;2,65716E-05;2,99684E-05;2,80811E-05;2,24499E-05;3,15988E-05;2,66456E-05;2,66456E-05;2,75153E-05;2,90975E-05;2,69433E-05;2,91892E-05
4989;3,10892E-05;3,13063E-05;3,1358E-05;3,13483E-05;3,19494E-05;2,65716E-05;2,99684E-05;2,80811E-05;2,24499E-05;3,15988E-05;2,66456E-05;2,66456E-05;2,75153E-05;2,90975E-05;2,69433E-05;2,91892E-05
4990;3,10892E-05;3,13063E-05;3,1358E-05;3,13483E-05;3,19494E-05;2,65716E-05;2,99684E-05;2,80811E-05;2,24499E-05;3,15988E-05;2,66456E-05;2,66456E-05;2,75153E-05;2,90975E-05;2,69433E-05;2,91892E-05
4991;3,10892E-05;3,13063E-05;3,1358E-05;3,13483E-05;3,19494E-05;2,65716E-05;2,99684E-05;2,80811E-05;2,24499E-05;3,15988E-05;2,66456E-05;2,66456E-05;2,75153E-05;2,90975E-05;2,69433E-05;2,91892E-05
4992;3,58803E-05;3,48247E-05;3,5153E-05;3,49771E-05;3,64497E-05;3,36831E-05;3,47772E-05;3,81458E-05;3,73547E-05;4,02385E-05;3,65074E-05;3,65074E-05;3,70069E-05;4,09412E-05;3,64881E-05;4,0489E-05
4993;3,58803E-05;3,48247E-05;3,5153E-05;3,49771E-05;3,64497E-05;3,36831E-05;3,47772E-05;3,81458E-05;3,73547E-05;4,02385E-05;3,65074E-05;3,65074E-05;3,70069E-05;4,09412E-05;3,64881E-05;4,0489E-05
4994;3,58803E-05;3,48247E-05;3,5153E-05;3,49771E-05;3,64497E-05;3,36831E-05;3,47772E-05;3,81458E-05;3,73547E-05;4,02385E-05;3,65074E-05;3,65074E-05;3,70069E-05;4,09412E-05;3,64881E-05;4,0489E-05
4995;3,58803E-05;3,48247E-05;3,5153E-05;3,49771E-05;3,64497E-05;3,36831E-05;3,47772E-05;3,81458E-05;3,73547E-05;4,02385E-05;3,65074E-05;3,65074E-05;3,70069E-05;4,09412E-05;3,64881E-05;4,0489E-05
4996;3,6651E-05;3,55727E-05;3,5908E-05;3,57284E-05;3,72326E-05;3,44065E-05;3,55242E-05;3,81659E-05;3,73744E-05;4,02597E-05;3,72916E-05;3,72916E-05;3,78019E-05;4,09628E-05;3,72719E-05;4,05104E-05
4997;3,6651E-05;3,55727E-05;3,5908E-05;3,57284E-05;3,72326E-05;3,44065E-05;3,55242E-05;3,81659E-05;3,73744E-05;4,02597E-05;3,72916E-05;3,72916E-05;3,78019E-05;4,09628E-05;3,72719E-05;4,05104E-05
