province,Demand
DH_DE_Ind,1030000
DH_DE_Neckar,1920000
DH_DE_Rem,57900000
DH_DE_Berlin,10360000
DH_DE_Gelsenkirchen,1830000
DH_DE_Dresden,1470000
DH_DE_Saar,1100000
DH_DE_Hamburg,4090000
DH_DE_Ruhr,2110000
DH_DE_Mannheim,2190000
DH_DE_Muenchen,4250000
DH_DE_Nuernberg,1030000
