tick,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
0,8866,0,0,1506,6079
1,8848,0,0,1508.75,6079
2,8830,0,0,1511.5,6079
3,8812,0,0,1514.25,6079
4,8794,0,0,1517,6079
5,8784,0,0,1511.75,6079
6,8774,0,0,1506.5,6079
7,8764,0,0,1501.25,6079
8,8754,0,0,1496,6079
9,8726.25,0,0,1486.5,6079
10,8698.5,0,0,1477,6079
11,8670.75,0,0,1467.5,6079
12,8643,0,0,1458,6079
13,8603,0,0,1452,6079
14,8563,0,0,1446,6079
15,8523,0,0,1440,6079
16,8483,0,0,1434,6079
17,8231.75,0,0,1428.75,6079
18,7980.5,0,0,1423.5,6079
19,7729.25,0,0,1418.25,6079
20,7478,0,0,1413,6079
21,7287,0,0,1407.5,6079
22,7096,0,0,1402,6079
23,6905,0,0,1396.5,6079
24,6714,0,0,1391,6079
25,6471.25,0,0,1388.75,6079
26,6228.5,0,0,1386.5,6079
27,5985.75,0,0,1384.25,6079
28,5743,0,0,1382,6079
29,5493.75,0,37.25,1383.5,6079
30,5244.5,0,74.5,1385,6079
31,4995.25,0,111.75,1386.5,6079
32,4746,0,149,1388,6079
33,4512,0,376.5,1390.5,6079
34,4278,0,604,1393,6079
35,4044,0,831.5,1395.5,6079
36,3810,0,1059,1398,6079
37,3563.75,0,1485.5,1395,6079
38,3317.5,0,1912,1392,6079
39,3071.25,0,2338.5,1389,6079
40,2825,0,2765,1386,6079
41,2582.75,0,3106.25,1390.5,6079
42,2340.5,0,3447.5,1395,6079
43,2098.25,0,3788.75,1399.5,6079
44,1856,0,4130,1404,6079
45,1718,0,4227,1411.5,6079
46,1580,0,4324,1419,6079
47,1442,0,4421,1426.5,6079
48,1304,0,4518,1434,6079
49,1178.25,0,4405.5,1435.5,6079
50,1052.5,0,4293,1437,6079
51,926.75,0,4180.5,1438.5,6079
52,801,0,4068,1440,6079
53,726.75,0,3716.75,1456.75,6079
54,652.5,0,3365.5,1473.5,6079
55,578.25,0,3014.25,1490.25,6079
56,504,0,2663,1507,6079
57,483,0,2225.25,1510,6079
58,462,0,1787.5,1513,6079
59,441,0,1349.75,1516,6079
60,420,0,912,1519,6079
61,489.75,0,697.75,1535.75,6079
62,559.5,0,483.5,1552.5,6079
63,629.25,0,269.25,1569.25,6079
64,699,0,55,1586,6079
65,867.25,0,41.25,1628.25,6079
66,1035.5,0,27.5,1670.5,6079
67,1203.75,0,13.75,1712.75,6079
68,1372,0,0,1755,6079
69,1591.75,0,0,1735.75,6079
