hour,DH_DE_Berlin,DH_DE_Dresden,DH_DE_Gelsenkirchen,DH_DE_Hamburg,DH_DE_Mannheim,DH_DE_Muenchen,DH_DE_Rem,DH_DE_Ind,DH_DE_Neckar,DH_DE_Nuernberg,DH_DE_Ruhr,DH_DE_Saar
t0001," 2,088.87 ", 310.00 , 479.73 , 828.29 , 546.86 , 940.66 ," 11,981.58 "," 11,963.00 ", 437.25 , 230.58 , 576.66 , 242.66 
t0002," 2,120.19 ", 311.93 , 482.71 , 840.77 , 550.26 , 939.54 ," 12,160.25 "," 12,100.59 ", 439.97 , 230.28 , 580.24 , 241.33 
t0003," 2,135.77 ", 315.13 , 487.67 , 846.93 , 555.91 , 946.83 ," 12,249.97 "," 12,309.35 ", 444.49 , 232.06 , 586.20 , 242.85 
t0004," 2,203.40 ", 321.44 , 499.50 , 873.80 , 569.39 , 972.21 ," 12,637.05 "," 13,474.56 ", 455.27 , 238.29 , 600.42 , 248.25 
t0005," 2,286.20 ", 332.37 , 516.05 , 906.67 , 588.26 ," 1,002.93 "," 13,111.43 "," 14,653.33 ", 470.36 , 245.81 , 620.31 , 256.17 
t0006," 2,377.28 ", 344.81 , 536.35 , 942.81 , 609.95 ," 1,038.88 "," 13,633.41 "," 15,507.99 ", 487.70 , 254.62 , 644.77 , 265.41 
t0007," 2,446.03 ", 352.48 , 550.12 , 970.13 , 623.27 ," 1,060.83 "," 14,026.84 "," 15,735.26 ", 498.35 , 259.99 , 661.40 , 271.05 
t0008," 2,487.28 ", 357.45 , 557.28 , 986.52 , 631.87 ," 1,078.89 "," 14,263.02 "," 15,389.81 ", 505.23 , 264.43 , 669.99 , 274.67 
t0009," 2,476.18 ", 355.12 , 554.20 , 982.12 , 628.76 ," 1,072.68 "," 14,199.32 "," 14,676.31 ", 502.74 , 262.91 , 666.28 , 273.23 
t0010," 2,435.03 ", 349.22 , 543.13 , 965.79 , 617.18 ," 1,055.55 "," 13,963.51 "," 14,047.67 ", 494.34 , 258.71 , 652.86 , 268.33 
t0011," 2,363.67 ", 339.02 , 526.66 , 937.45 , 600.05 ," 1,028.34 "," 13,554.80 "," 13,237.80 ", 480.70 , 252.04 , 632.95 , 260.99 
t0012," 2,283.96 ", 328.09 , 508.79 , 905.78 , 582.31 ," 1,000.96 "," 13,098.58 "," 12,531.44 ", 467.17 , 245.32 , 611.31 , 253.69 
t0013," 2,206.20 ", 316.93 , 489.73 , 874.89 , 563.87 , 971.81 ," 12,653.37 "," 12,052.06 ", 453.49 , 238.17 , 588.20 , 246.08 
t0014," 2,188.86 ", 314.45 , 483.36 , 867.98 , 560.63 , 968.42 ," 12,554.57 "," 11,686.19 ", 451.84 , 237.34 , 580.33 , 245.23 
t0015," 2,142.07 ", 308.08 , 471.81 , 849.38 , 549.66 , 952.31 ," 12,286.70 "," 11,344.86 ", 443.82 , 233.39 , 566.30 , 240.92 
t0016," 2,136.33 ", 307.89 , 469.83 , 847.08 , 548.49 , 952.76 ," 12,254.18 "," 11,223.56 ", 443.98 , 233.50 , 563.83 , 240.84 
t0017," 2,150.65 ", 310.51 , 471.86 , 852.75 , 551.86 , 960.83 ," 12,336.52 "," 11,278.89 ", 448.07 , 235.48 , 566.18 , 242.70 
t0018," 2,145.33 ", 310.83 , 469.69 , 850.62 , 550.22 , 959.95 ," 12,306.16 "," 11,501.02 ", 447.95 , 235.26 , 563.50 , 242.32 
t0019," 2,154.31 ", 312.83 , 471.07 , 854.18 , 551.77 , 964.43 ," 12,357.74 "," 11,849.08 ", 450.30 , 236.36 , 565.12 , 243.62 
t0020," 2,140.99 ", 312.05 , 468.04 , 848.89 , 548.17 , 960.44 ," 12,281.48 "," 12,129.02 ", 448.34 , 235.38 , 561.45 , 242.58 
t0021," 2,100.95 ", 307.76 , 460.62 , 832.99 , 539.06 , 946.50 ," 12,052.13 "," 12,126.87 ", 441.42 , 231.97 , 552.55 , 238.86 
t0022," 2,085.60 ", 306.66 , 457.73 , 826.90 , 535.70 , 941.71 ," 11,964.22 "," 12,226.03 ", 438.83 , 230.80 , 549.09 , 237.73 
t0023," 2,056.79 ", 304.37 , 451.94 , 815.46 , 529.63 , 932.05 ," 11,799.21 "," 11,934.12 ", 434.26 , 228.44 , 542.11 , 235.12 
t0024," 2,048.25 ", 304.89 , 450.55 , 812.06 , 528.65 , 931.26 ," 11,750.46 "," 11,858.87 ", 434.34 , 228.25 , 540.41 , 235.00 
t0025," 2,043.32 ", 306.37 , 449.75 , 810.07 , 529.02 , 933.74 ," 11,722.64 "," 11,814.10 ", 436.24 , 228.86 , 539.39 , 235.48 
t0026," 2,051.43 ", 308.70 , 450.25 , 813.27 , 531.94 , 937.80 ," 11,769.43 "," 11,875.79 ", 440.99 , 229.85 , 539.88 , 235.76 
t0027," 2,057.05 ", 312.31 , 452.55 , 815.44 , 537.40 , 948.59 ," 11,802.49 "," 12,049.75 ", 447.58 , 232.50 , 542.54 , 237.94 
t0028," 2,099.06 ", 319.22 , 460.85 , 832.07 , 550.44 , 974.61 ," 12,043.91 "," 13,108.32 ", 461.08 , 238.88 , 552.37 , 243.71 
t0029," 2,160.43 ", 328.55 , 473.36 , 856.37 , 568.68 ," 1,008.64 "," 12,396.51 "," 14,189.82 ", 477.44 , 247.23 , 567.24 , 251.89 
t0030," 2,229.93 ", 338.85 , 487.31 , 883.88 , 590.05 ," 1,047.89 "," 12,795.85 "," 14,954.64 ", 495.05 , 256.86 , 583.80 , 261.47 
t0031," 2,269.75 ", 343.65 , 494.42 , 899.63 , 602.94 ," 1,073.04 "," 13,024.83 "," 15,080.53 ", 505.86 , 263.03 , 592.16 , 267.37 
t0032," 2,287.27 ", 346.47 , 497.07 , 906.53 , 611.25 ," 1,090.88 "," 13,126.09 "," 14,674.37 ", 511.67 , 267.42 , 595.14 , 271.13 
t0033," 2,262.61 ", 343.24 , 490.19 , 896.70 , 608.24 ," 1,087.72 "," 12,985.30 "," 13,944.36 ", 507.40 , 266.65 , 586.70 , 269.75 
t0034," 2,209.14 ", 336.55 , 477.83 , 875.45 , 598.76 ," 1,072.01 "," 12,679.49 "," 13,294.58 ", 498.13 , 262.80 , 571.68 , 265.26 
t0035," 2,133.34 ", 326.41 , 460.92 , 845.33 , 582.87 ," 1,045.30 "," 12,245.53 "," 12,493.64 ", 483.85 , 256.25 , 551.23 , 258.28 
t0036," 2,057.14 ", 316.38 , 444.05 , 815.06 , 566.97 ," 1,017.69 "," 11,809.27 "," 11,815.87 ", 469.62 , 249.48 , 530.82 , 251.29 
t0037," 1,983.45 ", 306.37 , 427.19 , 785.81 , 549.76 , 988.23 ," 11,387.20 "," 11,354.36 ", 455.20 , 242.26 , 510.45 , 244.04 
t0038," 1,964.95 ", 304.36 , 422.12 , 778.42 , 546.81 , 984.23 ," 11,281.76 "," 11,002.42 ", 452.82 , 241.27 , 504.19 , 243.11 
t0039," 1,920.96 ", 298.31 , 411.61 , 760.95 , 536.19 , 965.56 ," 11,029.85 "," 10,676.48 ", 443.77 , 236.68 , 491.46 , 238.72 
t0040," 1,912.36 ", 297.64 , 409.26 , 757.51 , 535.03 , 963.71 ," 10,981.07 "," 10,552.93 ", 442.42 , 236.22 , 488.53 , 238.51 
t0041," 1,920.49 ", 299.75 , 410.29 , 760.69 , 538.22 , 969.54 ," 11,028.18 "," 10,591.46 ", 444.52 , 237.64 , 489.64 , 240.09 
t0042," 1,910.85 ", 298.90 , 407.88 , 756.85 , 536.45 , 966.32 ," 10,973.34 "," 10,785.68 ", 442.71 , 236.84 , 486.66 , 239.32 
t0043," 1,911.44 ", 299.69 , 408.21 , 757.05 , 537.72 , 968.47 ," 10,977.21 "," 11,089.07 ", 443.08 , 237.36 , 486.97 , 239.79 
t0044," 1,894.49 ", 297.51 , 404.69 , 750.30 , 534.29 , 961.16 ," 10,880.34 "," 11,335.00 ", 439.48 , 235.56 , 482.69 , 237.98 
t0045," 1,861.44 ", 292.04 , 397.11 , 737.20 , 525.26 , 943.06 ," 10,690.71 "," 11,341.80 ", 431.33 , 231.12 , 473.60 , 233.55 
t0046," 1,845.64 ", 289.33 , 393.47 , 730.93 , 521.26 , 934.23 ," 10,600.19 "," 11,427.56 ", 427.69 , 228.94 , 469.20 , 231.32 
t0047," 1,822.14 ", 284.94 , 388.14 , 721.61 , 515.36 , 920.69 ," 10,465.36 "," 11,162.12 ", 421.79 , 225.61 , 462.79 , 228.04 
t0048," 1,816.40 ", 283.25 , 387.43 , 719.33 , 514.41 , 917.15 ," 10,432.56 "," 11,098.52 ", 420.18 , 224.74 , 461.95 , 226.95 
t0049," 1,871.92 ", 290.83 , 399.61 , 741.31 , 530.94 , 943.90 ," 10,751.53 "," 11,079.52 ", 431.82 , 231.29 , 476.47 , 233.36 
t0050," 1,872.97 ", 289.29 , 399.29 , 741.74 , 529.58 , 938.60 ," 10,757.29 "," 11,163.92 ", 429.08 , 229.98 , 476.10 , 231.67 
t0051," 1,876.58 ", 288.51 , 399.43 , 743.18 , 529.43 , 937.26 ," 10,777.99 "," 11,380.39 ", 427.99 , 229.64 , 476.26 , 231.07 
t0052," 1,906.27 ", 291.22 , 404.13 , 754.96 , 536.24 , 948.42 ," 10,948.16 "," 12,425.79 ", 432.17 , 232.37 , 481.83 , 233.31 
t0053," 1,951.01 ", 297.98 , 412.64 , 772.69 , 547.76 , 967.88 ," 11,204.99 "," 13,488.53 ", 441.23 , 237.13 , 491.96 , 237.79 
t0054," 1,993.44 ", 304.22 , 420.11 , 789.51 , 557.71 , 984.97 ," 11,448.37 "," 14,270.91 ", 449.98 , 241.31 , 500.84 , 241.60 
t0055," 2,013.36 ", 307.49 , 423.01 , 797.41 , 562.15 , 991.37 ," 11,562.52 "," 14,438.20 ", 453.01 , 242.88 , 504.27 , 242.85 
t0056," 2,032.23 ", 310.60 , 425.86 , 804.90 , 566.92 , 998.69 ," 11,670.81 "," 14,103.28 ", 456.57 , 244.66 , 507.64 , 244.29 
t0057," 2,045.53 ", 312.80 , 428.03 , 810.16 , 569.76 ," 1,003.59 "," 11,747.15 "," 13,446.76 ", 459.22 , 245.86 , 510.20 , 245.31 
t0058," 2,025.32 ", 310.07 , 423.50 , 802.16 , 563.09 , 993.26 ," 11,631.15 "," 12,877.92 ", 454.13 , 243.32 , 504.77 , 242.55 
t0059," 1,996.63 ", 305.57 , 417.28 , 790.79 , 553.94 , 977.46 ," 11,466.35 "," 12,164.87 ", 446.85 , 239.45 , 497.34 , 238.71 
t0060," 1,941.33 ", 296.86 , 406.12 , 768.89 , 537.20 , 948.46 ," 11,148.71 "," 11,571.34 ", 433.43 , 232.34 , 484.08 , 231.59 
t0061," 1,894.64 ", 289.59 , 397.10 , 750.41 , 524.69 , 924.46 ," 10,880.54 "," 11,174.49 ", 422.06 , 226.46 , 473.37 , 225.38 
t0062," 1,893.75 ", 289.29 , 397.27 , 750.07 , 525.42 , 921.79 ," 10,875.17 "," 10,882.93 ", 420.82 , 225.80 , 473.64 , 224.25 
t0063," 1,887.84 ", 288.86 , 396.44 , 747.74 , 524.92 , 917.75 ," 10,841.03 "," 10,605.88 ", 418.71 , 224.82 , 472.71 , 222.47 
t0064," 1,906.31 ", 292.57 , 400.46 , 755.07 , 531.43 , 927.65 ," 10,946.91 "," 10,520.85 ", 422.39 , 227.25 , 477.54 , 223.63 
t0065," 1,927.63 ", 296.14 , 404.95 , 763.53 , 538.16 , 937.22 ," 11,069.05 "," 10,599.75 ", 426.41 , 229.60 , 482.95 , 224.55 
t0066," 1,945.42 ", 299.07 , 408.88 , 770.60 , 543.91 , 944.40 ," 11,170.89 "," 10,835.18 ", 427.88 , 231.36 , 487.71 , 224.46 
t0067," 1,974.44 ", 303.30 , 414.86 , 782.12 , 552.91 , 957.11 ," 11,337.20 "," 11,183.00 ", 430.61 , 234.48 , 494.89 , 225.00 
t0068," 1,987.80 ", 305.01 , 417.79 , 787.43 , 557.28 , 963.14 ," 11,413.63 "," 11,474.08 ", 428.84 , 235.97 , 498.45 , 223.66 
t0069," 1,982.91 ", 304.27 , 416.69 , 785.50 , 556.59 , 961.37 ," 11,385.32 "," 11,501.34 ", 423.26 , 235.54 , 497.17 , 221.04 
t0070," 1,988.92 ", 304.98 , 417.36 , 787.90 , 558.22 , 964.35 ," 11,419.62 "," 11,615.91 ", 421.54 , 236.28 , 497.98 , 220.21 
t0071," 1,965.37 ", 300.92 , 411.51 , 778.59 , 550.21 , 952.58 ," 11,284.08 "," 11,370.48 ", 414.14 , 233.40 , 491.01 , 216.58 
t0072," 1,957.65 ", 299.24 , 408.54 , 775.55 , 546.64 , 947.83 ," 11,239.50 "," 11,329.60 ", 410.24 , 232.24 , 487.46 , 214.70 
t0073," 1,993.98 ", 304.16 , 414.06 , 789.97 , 554.66 , 962.86 ," 11,447.74 "," 11,332.65 ", 415.88 , 235.93 , 493.99 , 217.46 
t0074," 2,007.82 ", 305.09 , 414.10 , 795.49 , 555.07 , 963.96 ," 11,526.63 "," 11,437.43 ", 415.61 , 236.19 , 494.01 , 216.94 
t0075," 2,012.63 ", 305.31 , 414.09 , 797.42 , 554.10 , 962.97 ," 11,553.95 "," 11,671.80 ", 414.11 , 235.95 , 494.00 , 216.30 
t0076," 2,045.64 ", 309.79 , 420.01 , 810.52 , 559.99 , 975.40 ," 11,743.10 "," 12,744.86 ", 417.90 , 238.99 , 501.08 , 219.07 
t0077," 2,086.16 ", 315.86 , 427.79 , 826.59 , 568.48 , 991.74 ," 11,975.47 "," 13,842.18 ", 423.87 , 242.99 , 510.38 , 223.08 
t0078," 2,130.43 ", 322.91 , 438.01 , 844.14 , 578.38 ," 1,010.82 "," 12,229.41 "," 14,635.04 ", 431.37 , 247.67 , 522.66 , 227.68 
t0079," 2,141.87 ", 324.99 , 441.27 , 848.69 , 578.88 ," 1,013.74 "," 12,294.92 "," 14,804.82 ", 432.37 , 248.38 , 526.63 , 228.94 
t0080," 2,139.64 ", 324.72 , 441.46 , 847.82 , 575.54 ," 1,010.12 "," 12,281.85 "," 14,470.41 ", 431.20 , 247.49 , 526.94 , 228.59 
t0081," 2,107.04 ", 319.82 , 435.31 , 834.91 , 564.29 , 992.37 ," 12,094.57 "," 13,808.25 ", 424.07 , 243.14 , 519.66 , 224.99 
t0082," 2,091.18 ", 317.08 , 431.17 , 828.65 , 557.06 , 981.75 ," 12,003.27 "," 13,242.72 ", 419.61 , 240.53 , 514.73 , 222.72 
t0083," 2,067.67 ", 313.42 , 425.25 , 819.34 , 548.60 , 968.34 ," 11,868.10 "," 12,520.22 ", 413.83 , 237.24 , 507.63 , 219.30 
t0084," 2,026.45 ", 307.50 , 415.48 , 803.01 , 536.23 , 948.10 ," 11,631.51 "," 11,907.25 ", 404.81 , 232.28 , 495.91 , 214.07 
t0085," 1,989.91 ", 302.11 , 406.60 , 788.53 , 524.94 , 930.41 ," 11,421.71 "," 11,497.05 ", 397.05 , 227.95 , 485.25 , 209.42 
t0086," 1,975.70 ", 300.12 , 402.78 , 782.89 , 519.25 , 924.15 ," 11,340.20 "," 11,180.96 ", 393.33 , 226.41 , 480.63 , 207.40 
t0087," 1,965.60 ", 298.63 , 399.51 , 778.89 , 513.98 , 919.01 ," 11,282.23 "," 10,885.94 ", 390.50 , 225.15 , 476.67 , 205.87 
t0088," 1,983.19 ", 301.34 , 402.34 , 785.86 , 516.81 , 926.82 ," 11,383.32 "," 10,784.73 ", 393.66 , 227.06 , 479.99 , 207.56 
t0089," 2,001.85 ", 304.12 , 405.58 , 793.26 , 519.94 , 934.13 ," 11,490.36 "," 10,852.63 ", 396.60 , 228.85 , 483.85 , 209.53 
t0090," 2,021.14 ", 306.94 , 409.31 , 800.91 , 522.43 , 941.26 ," 11,600.92 "," 11,085.07 ", 400.84 , 230.59 , 488.31 , 211.73 
t0091," 2,031.22 ", 308.36 , 411.31 , 804.92 , 522.92 , 944.72 ," 11,658.65 "," 11,432.38 ", 404.00 , 231.44 , 490.72 , 213.39 
t0092," 2,043.99 ", 310.58 , 413.68 , 809.98 , 523.58 , 948.68 ," 11,731.74 "," 11,720.63 ", 408.00 , 232.41 , 493.57 , 215.32 
t0093," 2,026.47 ", 308.13 , 410.68 , 803.05 , 516.84 , 937.74 ," 11,631.01 "," 11,748.26 ", 405.67 , 229.72 , 490.05 , 213.89 
t0094," 2,021.70 ", 307.75 , 411.21 , 801.17 , 514.18 , 933.83 ," 11,603.57 "," 11,858.26 ", 405.11 , 228.76 , 490.78 , 213.52 
t0095," 2,018.67 ", 307.50 , 411.93 , 799.98 , 512.41 , 929.93 ," 11,586.01 "," 11,599.53 ", 404.65 , 227.80 , 491.73 , 213.07 
t0096," 2,054.57 ", 313.17 , 419.78 , 814.22 , 520.12 , 944.20 ," 11,791.91 "," 11,549.51 ", 411.52 , 231.29 , 501.16 , 216.84 
t0097," 1,962.08 ", 298.54 , 400.18 , 777.58 , 495.38 , 898.69 ," 11,260.87 "," 11,548.56 ", 392.28 , 220.14 , 477.76 , 206.94 
t0098," 1,979.43 ", 300.56 , 402.88 , 784.47 , 499.22 , 903.19 ," 11,360.15 "," 11,640.37 ", 394.72 , 221.24 , 480.99 , 208.79 
t0099," 2,004.38 ", 304.03 , 407.09 , 794.38 , 505.80 , 912.31 ," 11,503.07 "," 11,876.05 ", 398.64 , 223.48 , 486.02 , 211.56 
t0100," 2,061.31 ", 311.90 , 417.74 , 816.97 , 519.93 , 934.07 ," 11,829.35 "," 12,975.84 ", 408.25 , 228.80 , 498.78 , 217.27 
t0101," 2,134.50 ", 322.52 , 433.01 , 846.00 , 539.55 , 964.71 ," 12,249.12 "," 14,094.26 ", 422.73 , 236.31 , 517.07 , 225.07 
t0102," 2,217.44 ", 334.77 , 450.05 , 878.89 , 561.89 , 999.96 ," 12,724.85 "," 14,907.73 ", 439.80 , 244.94 , 537.47 , 234.24 
t0103," 2,270.22 ", 342.54 , 459.96 , 899.82 , 576.60 ," 1,021.48 "," 13,027.46 "," 15,082.25 ", 450.85 , 250.21 , 549.32 , 240.13 
t0104," 2,306.79 ", 347.64 , 467.13 , 914.33 , 587.44 ," 1,035.73 "," 13,237.04 "," 14,744.19 ", 458.61 , 253.70 , 557.92 , 244.31 
t0105," 2,300.65 ", 346.26 , 465.20 , 911.92 , 587.01 ," 1,030.96 "," 13,201.56 "," 14,074.75 ", 457.29 , 252.53 , 555.63 , 243.78 
t0106," 2,273.14 ", 341.65 , 458.92 , 901.04 , 580.03 ," 1,015.32 "," 13,043.25 "," 13,507.93 ", 450.71 , 248.71 , 548.17 , 240.58 
t0107," 2,221.39 ", 334.26 , 447.60 , 880.55 , 565.98 , 989.29 ," 12,746.03 "," 12,778.11 ", 439.19 , 242.33 , 534.67 , 234.90 
t0108," 2,171.16 ", 326.77 , 436.15 , 860.67 , 551.01 , 962.44 ," 12,457.40 "," 12,175.59 ", 427.42 , 235.75 , 521.00 , 229.12 
t0109," 2,117.12 ", 319.11 , 424.36 , 839.26 , 535.18 , 934.57 ," 12,146.98 "," 11,773.03 ", 414.42 , 228.91 , 506.93 , 223.19 
t0110," 2,117.45 ", 319.86 , 424.36 , 839.41 , 532.99 , 931.33 ," 12,148.62 "," 11,468.11 ", 411.93 , 228.12 , 506.98 , 223.13 
t0111," 2,087.96 ", 315.57 , 418.16 , 827.74 , 523.73 , 914.63 ," 11,979.13 "," 11,181.30 ", 404.25 , 224.02 , 499.61 , 220.33 
t0112," 2,095.05 ", 316.55 , 419.18 , 830.57 , 524.50 , 914.58 ," 12,019.49 "," 11,099.93 ", 403.91 , 224.01 , 500.87 , 221.28 
t0113," 2,115.39 ", 319.77 , 422.74 , 838.64 , 530.58 , 923.18 ," 12,136.07 "," 11,173.57 ", 407.61 , 226.12 , 505.12 , 224.23 
t0114," 2,115.23 ", 319.62 , 421.81 , 838.59 , 532.63 , 925.11 ," 12,135.10 "," 11,409.21 ", 407.99 , 226.60 , 503.98 , 225.26 
t0115," 2,126.67 ", 321.47 , 422.92 , 843.13 , 538.23 , 932.50 ," 12,200.63 "," 11,762.59 ", 411.81 , 228.42 , 505.26 , 227.74 
t0116," 2,118.03 ", 320.01 , 419.93 , 839.71 , 539.19 , 930.04 ," 12,150.96 "," 12,055.05 ", 411.86 , 227.83 , 501.65 , 228.17 
t0117," 2,086.46 ", 315.25 , 411.84 , 827.20 , 533.98 , 916.95 ," 11,969.79 "," 12,079.39 ", 408.02 , 224.62 , 491.91 , 226.12 
t0118," 2,074.59 ", 313.55 , 407.90 , 822.50 , 534.16 , 913.70 ," 11,901.63 "," 12,189.40 ", 407.65 , 223.84 , 487.13 , 226.05 
t0119," 2,054.13 ", 310.21 , 402.49 , 814.39 , 531.86 , 906.09 ," 11,784.06 "," 11,925.35 ", 405.09 , 221.98 , 480.64 , 224.96 
t0120," 2,053.36 ", 309.85 , 401.14 , 814.10 , 535.15 , 906.72 ," 11,779.53 "," 11,875.65 ", 406.40 , 222.15 , 479.00 , 225.82 
t0121," 2,060.21 ", 310.91 , 402.14 , 816.83 , 540.44 , 912.61 ," 11,818.67 "," 11,869.31 ", 409.26 , 223.60 , 480.20 , 227.72 
t0122," 2,074.92 ", 313.32 , 404.89 , 822.67 , 547.43 , 921.69 ," 11,902.96 "," 11,952.60 ", 413.97 , 225.84 , 483.49 , 230.47 
t0123," 2,097.76 ", 317.14 , 409.23 , 831.73 , 556.31 , 933.27 ," 12,033.90 "," 12,184.00 ", 420.86 , 228.69 , 488.68 , 234.09 
t0124," 2,150.64 ", 325.75 , 419.71 , 852.70 , 572.60 , 958.02 ," 12,337.11 "," 13,289.36 ", 433.24 , 234.76 , 501.23 , 240.91 
t0125," 2,225.15 ", 337.69 , 433.89 , 882.25 , 594.30 , 992.55 ," 12,764.42 "," 14,428.35 ", 450.19 , 243.23 , 518.17 , 249.93 
t0126," 2,310.17 ", 351.39 , 450.37 , 915.97 , 619.00 ," 1,033.33 "," 13,251.94 "," 15,255.96 ", 469.22 , 253.24 , 537.87 , 260.09 
t0127," 2,363.89 ", 360.20 , 461.18 , 937.28 , 635.37 ," 1,060.18 "," 13,559.91 "," 15,430.16 ", 482.22 , 259.83 , 550.84 , 266.67 
t0128," 2,398.46 ", 365.97 , 468.20 , 951.00 , 646.82 ," 1,079.47 "," 13,758.14 "," 15,072.10 ", 491.47 , 264.58 , 559.25 , 271.19 
t0129," 2,386.64 ", 364.90 , 467.00 , 946.31 , 646.91 ," 1,078.13 "," 13,690.31 "," 14,369.42 ", 491.38 , 264.26 , 557.87 , 270.73 
t0130," 2,351.57 ", 359.73 , 460.81 , 932.41 , 639.98 ," 1,062.91 "," 13,489.09 "," 13,769.42 ", 484.99 , 260.54 , 550.53 , 267.11 
t0131," 2,295.96 ", 350.86 , 450.48 , 910.37 , 627.66 ," 1,036.47 "," 13,169.90 "," 13,019.03 ", 473.87 , 254.06 , 538.24 , 260.69 
t0132," 2,237.25 ", 341.41 , 439.29 , 887.10 , 615.34 ," 1,008.24 "," 12,833.06 "," 12,384.08 ", 462.20 , 247.13 , 524.91 , 253.80 
t0133," 2,177.41 ", 331.78 , 427.41 , 863.38 , 602.53 , 978.57 ," 12,489.72 "," 11,961.88 ", 449.96 , 239.85 , 510.73 , 246.62 
t0134," 2,174.05 ", 330.92 , 426.45 , 862.05 , 605.59 , 975.31 ," 12,470.36 "," 11,640.95 ", 449.84 , 239.05 , 509.57 , 246.07 
t0135," 2,141.29 ", 325.54 , 419.63 , 849.07 , 599.80 , 958.70 ," 12,282.28 "," 11,342.51 ", 442.84 , 234.98 , 501.43 , 241.85 
t0136," 2,145.88 ", 325.95 , 420.65 , 850.90 , 603.73 , 959.71 ," 12,308.43 "," 11,252.14 ", 443.69 , 235.23 , 502.69 , 242.18 
t0137," 2,167.44 ", 329.02 , 425.22 , 859.46 , 611.59 , 970.86 ," 12,431.96 "," 11,329.03 ", 447.99 , 237.97 , 508.20 , 244.56 
t0138," 2,169.99 ", 329.09 , 425.24 , 860.49 , 613.49 , 972.16 ," 12,446.36 "," 11,576.27 ", 447.82 , 238.30 , 508.24 , 245.00 
t0139," 2,186.22 ", 331.10 , 426.89 , 866.95 , 618.36 , 979.03 ," 12,539.16 "," 11,948.95 ", 450.47 , 239.99 , 510.20 , 246.80 
t0140," 2,183.18 ", 329.84 , 424.44 , 865.76 , 617.18 , 977.31 ," 12,521.33 "," 12,264.94 ", 448.90 , 239.58 , 507.24 , 246.05 
t0141," 2,152.71 ", 324.84 , 416.49 , 853.70 , 609.10 , 965.81 ," 12,346.37 "," 12,296.55 ", 442.70 , 236.77 , 497.69 , 242.03 
t0142," 2,141.58 ", 323.03 , 412.99 , 849.29 , 606.75 , 962.99 ," 12,282.42 "," 12,412.30 ", 441.09 , 236.09 , 493.46 , 240.29 
t0143," 2,120.36 ", 319.58 , 407.38 , 840.88 , 601.03 , 954.82 ," 12,160.53 "," 12,143.24 ", 436.95 , 234.10 , 486.71 , 237.17 
t0144," 2,116.44 ", 319.20 , 405.74 , 839.33 , 600.63 , 956.08 ," 12,138.08 "," 12,082.51 ", 436.74 , 234.42 , 484.71 , 236.25 
t0145," 2,120.38 ", 320.18 , 405.46 , 840.89 , 601.77 , 960.20 ," 12,160.68 "," 12,065.99 ", 438.02 , 235.44 , 484.32 , 236.08 
t0146," 2,129.54 ", 322.49 , 406.87 , 844.51 , 605.55 , 967.47 ," 12,213.45 "," 12,131.19 ", 440.48 , 237.22 , 485.95 , 236.84 
t0147," 2,146.96 ", 325.96 , 409.34 , 851.40 , 610.91 , 977.47 ," 12,313.58 "," 12,346.25 ", 444.17 , 239.68 , 488.82 , 238.51 
t0148," 2,193.13 ", 334.15 , 417.11 , 869.69 , 624.89 ," 1,001.19 "," 12,578.64 "," 13,438.49 ", 454.08 , 245.49 , 498.00 , 243.44 
t0149," 2,260.48 ", 345.74 , 428.55 , 896.38 , 644.69 ," 1,034.05 "," 12,965.20 "," 14,558.52 ", 467.77 , 253.55 , 511.53 , 250.55 
t0150," 2,337.90 ", 359.02 , 442.60 , 927.06 , 666.72 ," 1,071.21 "," 13,409.58 "," 15,360.11 ", 482.54 , 262.66 , 528.22 , 258.74 
t0151," 2,383.14 ", 367.53 , 451.05 , 944.98 , 679.45 ," 1,093.63 "," 13,669.35 "," 15,501.67 ", 490.74 , 268.15 , 538.24 , 263.29 
t0152," 2,411.18 ", 373.41 , 455.54 , 956.08 , 686.86 ," 1,106.55 "," 13,830.44 "," 15,117.60 ", 494.98 , 271.31 , 543.51 , 265.88 
t0153," 2,391.87 ", 372.36 , 452.10 , 948.40 , 681.07 ," 1,098.60 "," 13,720.08 "," 14,387.37 ", 490.76 , 269.35 , 539.35 , 263.42 
t0154," 2,348.56 ", 367.53 , 444.25 , 931.21 , 668.97 ," 1,081.20 "," 13,471.99 "," 13,759.39 ", 482.38 , 265.08 , 529.93 , 258.73 
t0155," 2,283.81 ", 358.78 , 431.97 , 905.51 , 650.50 ," 1,053.58 "," 13,100.84 "," 12,979.78 ", 469.36 , 258.31 , 515.23 , 252.12 
t0156," 2,219.10 ", 350.13 , 419.54 , 879.84 , 631.73 ," 1,026.76 "," 12,729.87 "," 12,326.81 ", 456.62 , 251.74 , 500.35 , 245.75 
t0157," 2,155.00 ", 340.99 , 406.68 , 854.41 , 611.81 , 999.89 ," 12,362.32 "," 11,891.68 ", 444.27 , 245.16 , 484.95 , 239.39 
t0158," 2,145.55 ", 340.55 , 404.38 , 850.65 , 608.01 , 998.92 ," 12,308.36 "," 11,553.93 ", 443.69 , 244.92 , 482.13 , 239.37 
t0159," 2,104.89 ", 334.66 , 396.75 , 834.51 , 595.87 , 983.24 ," 12,075.38 "," 11,232.49 ", 436.54 , 241.08 , 472.99 , 235.74 
