hour,DH_DE_Berlin,DH_DE_Dresden,DH_DE_Gelsenkirchen,DH_DE_Hamburg,DH_DE_Mannheim,DH_DE_Muenchen,DH_DE_Rem,DH_DE_Ind,DH_DE_Neckar,DH_DE_Nuernberg,DH_DE_Ruhr,DH_DE_Saar
t1594," 1,667.97 ", 262.37 , 323.89 , 659.08 , 508.54 , 888.43 ," 9,602.12 "," 11,544.25 ", 399.76 , 217.19 , 380.51 , 196.84 
t1595," 1,549.05 ", 245.06 , 301.40 , 611.98 , 478.18 , 832.76 ," 8,919.30 "," 10,823.03 ", 375.41 , 203.56 , 353.81 , 184.82 
t1596," 1,466.20 ", 232.54 , 285.23 , 579.15 , 456.12 , 792.92 ," 8,443.72 "," 10,224.51 ", 358.35 , 193.80 , 334.56 , 176.35 
t1597," 1,390.32 ", 221.19 , 270.42 , 549.08 , 435.76 , 756.67 ," 8,008.15 "," 9,806.20 ", 342.07 , 184.91 , 316.92 , 168.61 
t1598," 1,310.68 ", 209.71 , 255.16 , 517.52 , 414.64 , 717.90 ," 7,551.08 "," 9,467.12 ", 324.72 , 175.41 , 298.76 , 160.43 
t1599," 1,261.96 ", 203.38 , 246.51 , 498.17 , 403.60 , 696.66 ," 7,272.08 "," 9,140.26 ", 315.15 , 170.19 , 288.38 , 156.07 
t1600," 1,231.04 ", 199.91 , 241.38 , 485.85 , 397.91 , 684.58 ," 7,095.62 "," 8,985.97 ", 310.21 , 167.21 , 282.13 , 153.93 
t1601," 1,245.70 ", 203.46 , 245.28 , 491.53 , 405.63 , 697.19 ," 7,181.67 "," 8,976.52 ", 315.86 , 170.26 , 286.48 , 157.26 
t1602," 1,265.21 ", 207.80 , 249.76 , 499.13 , 415.17 , 712.33 ," 7,295.60 "," 9,102.70 ", 322.28 , 173.93 , 291.49 , 160.98 
t1603," 1,269.93 ", 209.38 , 251.44 , 500.90 , 419.89 , 719.39 ," 7,324.17 "," 9,325.66 ", 325.67 , 175.63 , 293.26 , 162.64 
t1604," 1,302.71 ", 215.02 , 259.02 , 513.76 , 433.22 , 742.74 ," 7,514.42 "," 9,506.74 ", 336.41 , 181.32 , 301.96 , 167.58 
t1605," 1,311.97 ", 215.70 , 259.93 , 517.38 , 435.37 , 747.88 ," 7,568.30 "," 9,503.20 ", 338.81 , 182.56 , 302.87 , 168.50 
t1606," 1,338.67 ", 218.72 , 263.62 , 527.90 , 442.47 , 763.25 ," 7,722.42 "," 9,582.91 ", 344.72 , 186.31 , 307.03 , 171.31 
t1607," 1,316.08 ", 213.94 , 257.36 , 518.99 , 432.93 , 748.77 ," 7,592.03 "," 9,369.34 ", 337.68 , 182.77 , 299.61 , 167.63 
t1608," 1,332.34 ", 215.41 , 259.26 , 525.42 , 435.88 , 754.57 ," 7,685.64 "," 9,331.18 ", 339.76 , 184.18 , 301.76 , 168.83 
t1609," 1,274.76 ", 204.87 , 246.96 , 502.75 , 414.31 , 718.62 ," 7,353.01 "," 9,337.99 ", 322.31 , 175.40 , 287.44 , 160.44 
t1610," 1,283.42 ", 205.75 , 247.95 , 506.16 , 416.24 , 722.93 ," 7,402.89 "," 9,399.85 ", 322.92 , 176.45 , 288.55 , 161.16 
t1611," 1,305.59 ", 209.62 , 251.34 , 514.90 , 422.95 , 734.93 ," 7,530.99 "," 9,570.83 ", 327.78 , 179.37 , 292.39 , 163.91 
t1612," 1,418.67 ", 227.98 , 272.34 , 559.47 , 459.94 , 799.19 ," 8,183.62 "," 10,418.41 ", 355.68 , 195.05 , 316.69 , 178.46 
