tick,price
0,45.53
1,26.13
2,24.97
3,27.13
4,24.31
5,25
6,23.72
7,23.73
8,24.27
9,23.68
10,23.68
11,23.68
12,23.68
13,23.32
14,23.66
15,23.68
16,23.32
17,23.21
18,22.16
19,22.16
20,23.68
21,22
22,23.66
23,20.58
24,23.73
25,19.39
26,23.84
27,21.76
28,23.84
29,23.68
30,23.84
31,23.78
32,24.27
33,23.81
34,24.53
35,23.81
36,24.65
37,24.53
38,24.65
39,24.87
40,24.92
41,25.18
42,25.18
43,26.76
44,27
45,27.54
46,25.3
47,27.57
48,26.13
49,27.57
50,26.5
51,26.13
52,25.18
53,25.3
54,25.3
55,25.18
56,26.77
57,25.12
58,27.13
59,25.3
60,27.56
61,27.56
62,27.83
63,27.92
64,27.99
65,28.23
66,29.51
67,29.75
68,32.08
69,29.69
70,31.56
71,30.97
72,30.8
73,29.46
74,29.73
75,28.23
76,29.49
77,27.86
78,28.23
79,25.53
80,28.23
81,24.92
82,27.81
83,24.73
84,27.61
85,24.63
86,27
87,24.56
88,27.92
89,24.63
90,25.3
91,24.53
92,25.12
93,23.84
94,24.56
95,23.81
96,24.53
97,21.91
98,23.84
99,21.74
100,23.72
101,19.52
102,23.68
103,19.39
104,22.16
105,19.33
106,22.11
107,19.28
108,22.06
109,19.11
110,21.8
111,17.91
112,17.91
113,17.91
114,17.89
115,17.89
116,21.8
117,16.13
118,21.74
119,21.72
120,17.19
121,15.94
122,21.8
123,21.72
124,23.21
125,21.76
126,23.32
127,23.84
128,23.81
129,24.56
130,23.84
131,24.75
132,24.87
133,24.65
134,25.18
135,24.73
136,24.87
137,24.65
138,24.87
139,24.56
140,25.18
141,24.65
142,25.3
143,24.92
144,25.3
145,25.07
146,25.12
147,24.53
148,25
149,24.42
150,24.65
151,24.32
152,24.56
153,24.32
154,24.56
155,23.84
156,24.92
157,24.27
158,25
159,23.92
160,25.3
161,24.42
162,26.59
163,24.56
164,26.65
165,24.53
166,25.18
167,24.65
168,25.3
169,24.53
170,25.3
171,24.27
172,25.18
173,23.84
174,24.92
175,23.81
176,24.56
177,23.66
178,23.84
179,21.72
180,23.73
181,21.76
182,23.68
183,22.06
184,24.43
185,19.65
186,23.84
187,19.39
188,23.68
189,19.28
190,22.06
191,19.01
192,19.01
193,17.89
194,17.89
195,17.89
196,17.89
197,16.84
198,13.3
199,13.19
200,19.39
201,17.78
202,19.88
203,17.78
204,21.74
205,15.94
206,17.19
207,13.18
208,13.09
209,13.88
210,21.74
211,15.94
212,17.23
213,15.94
214,17.23
215,15.94
216,13.03
217,23.32
218,17.59
219,22.06
220,17.59
221,19.01
222,23.72
223,23.87
224,23.72
225,24.57
226,23.85
227,24.8
228,24.57
229,25.07
230,24.8
231,25
232,24.6
233,24.91
234,24.68
235,26.61
236,24.68
237,27.3
238,25
239,27.56
240,24.57
241,27.04
242,24.46
243,24.91
244,24.31
245,24.37
246,24.2
247,23.87
248,24.57
249,23.87
250,24.27
251,23.87
252,24.31
253,24.31
254,24.32
255,24.31
256,24.57
257,24.65
258,24.88
259,24.95
260,26.42
261,25.18
262,25.3
263,25.18
264,25.18
265,25.12
266,25.12
267,25
268,25.17
269,24.65
270,24.57
271,24.6
272,24.68
273,23.87
274,24.57
275,23.71
276,24.95
277,23.68
278,24.57
279,23.73
280,27.39
281,23.68
282,24.57
283,21.74
284,24.46
285,19.63
286,23.87
287,19.39
288,23.68
289,20.58
290,22.16
291,19.38
292,22.11
293,19.33
294,22.06
295,19.28
296,19.28
297,21.74
298,18.94
299,22
300,18.94
301,23.21
302,19.33
303,23.32
304,23.66
305,23.73
306,23.73
307,24.02
308,24.62
309,24.73
310,24.95
311,25.12
312,27.79
313,28.46
314,28.46
315,31.54
316,34.34
317,35.13
318,38.36
319,38.21
320,38.95
321,39.47
322,38.57
323,39.47
324,40.38
325,39.47
326,37.54
327,34.46
328,34.43
329,36.03
330,36.03
331,38.36
332,36.03
333,40.81
334,38.36
335,40.81
336,38.36
337,39.47
338,39.47
339,39.72
340,40.81
341,38.36
342,38.57
343,37.71
344,38.36
345,34.49
346,37.04
347,37.54
348,38.21
349,35.13
350,37.04
351,37.54
352,37.04
353,37.88
354,40.58
355,41.53
356,42.05
357,41.18
358,41.53
359,41.28
360,41.18
361,40.81
362,41.18
363,40.81
364,39.73
365,38.36
366,37.04
367,33.85
368,34.34
369,29.97
370,29.94
371,29.55
372,29.92
373,29.28
374,29.28
375,28.58
376,29.43
377,28.46
378,28.04
379,28.03
380,27.97
381,27.47
382,27.79
383,25.18
384,26.77
385,29.84
386,25.53
387,28.28
388,25.86
389,27.89
390,25.18
391,27.87
392,25.07
393,27.45
394,25.02
395,27.88
396,25.02
397,27.24
398,25.17
399,27.3
400,25.18
401,26.77
402,25.19
403,25.3
404,28.12
405,27.6
406,28.31
407,27.99
408,31.91
409,32.94
410,37.04
411,36.15
412,37.04
413,34.56
414,37.83
415,40.58
416,39.47
417,40.58
418,40.81
419,39.91
420,40.81
421,39.47
422,40.81
423,40.81
424,40.81
425,40.81
426,41.18
427,41.18
428,41.18
429,41.18
430,41.71
431,39.92
432,41.26
433,38.7
434,41.18
435,39.47
436,41.26
437,38.36
438,40.81
439,37.89
440,41.18
441,38.36
442,42.05
443,38.36
444,41.96
445,39.47
446,42.2
447,39.47
448,42.05
449,40.81
450,43.77
451,42.29
452,42.75
453,43.77
454,43.03
455,43.77
456,42.75
457,42.85
458,42.29
459,42.05
460,42.05
461,40.81
462,40.81
463,38.92
464,37.83
465,32.33
466,31.35
467,30.06
468,30.06
469,29.84
470,29.34
471,29.28
472,29.69
473,28.55
474,28.28
475,28.08
476,28.08
477,27.92
478,27.56
479,27.6
480,27.22
481,27.59
482,27.22
483,25.4
484,25.3
485,26.42
486,25.12
487,25.18
488,25.07
489,25.13
490,25.17
491,25.3
492,24.88
493,25.3
494,24.97
495,25.18
496,25.13
497,25.17
498,25.18
499,25.13
500,27.8
501,25.13
502,27.92
503,25.18
504,29.77
505,28.07
506,33.97
507,31.11
508,34.49
509,37.32
510,34.49
511,38.71
512,38.85
513,38.71
514,38.85
515,37.57
516,38.85
517,38.85
518,39.84
519,39.99
520,37.57
521,41.12
522,38.85
523,41.72
524,38.85
525,41.72
526,41.72
527,41.35
528,40.25
529,41.75
530,40.23
531,41.35
532,38.85
533,39.99
534,37.74
535,38.85
536,38.6
537,41.35
538,37.74
539,40.41
540,38.85
541,39.99
542,38.85
543,41.35
544,39.99
545,42.25
546,40.41
547,41.35
548,41.72
549,41.35
550,44.35
551,44.73
552,44.35
553,43.6
554,42.6
555,41.35
556,42.07
557,39.81
558,38.85
559,38.38
560,33.86
561,32.26
562,31.2
563,29.94
564,31.57
565,29.72
566,30.02
567,29.28
568,31.17
569,29.02
570,29.26
571,28.36
572,28.58
573,28.24
574,27.99
575,27.95
576,27.65
577,27.79
578,25.3
579,27.39
580,25.18
581,26.14
582,25.12
583,25.3
584,24.65
585,26.77
586,24.93
587,24.93
588,24.78
589,25
590,24.65
591,25.12
592,25
593,26.14
594,24.78
595,27.31
596,26.14
597,27.58
598,27.79
599,27.92
600,32.08
601,33.4
602,37.44
603,42.13
604,40.38
605,42.3
606,41.76
607,43.25
608,43.26
609,43.26
610,41.76
611,39.24
612,38.29
613,33.4
614,32.26
615,32.63
616,31.69
617,33.39
618,30.02
619,31.32
620,31.45
621,33.39
622,32.83
623,32.83
624,32.08
625,32
626,33.39
627,32.26
628,33.4
629,31.69
630,31.69
631,31.58
632,32.08
633,31.45
634,31.58
635,31.31
636,31.19
637,29.71
638,29.71
639,29.71
640,29.54
641,30.74
642,29.94
643,31.31
644,32.08
645,31.69
646,31.69
647,31.43
648,31.32
649,29.94
650,29.94
651,29.51
652,29.51
653,28.25
654,27.95
655,27.85
656,27.84
657,27.28
658,27.31
659,25.18
660,26.77
661,24.9
662,24.93
663,24.37
664,26.14
665,23.86
666,24.65
667,23.81
668,24.45
669,23.68
670,23.68
671,20.73
672,23.68
673,20.54
674,22
675,20.54
676,21.8
677,19.18
678,21.8
679,17.91
680,16.02
681,19.81
682,15.81
683,17.11
684,15.81
685,17.11
686,21.8
687,17.11
688,21.8
689,21.76
690,22
691,19
692,22.16
693,21.72
694,23.32
695,23.72
696,24.8
697,25.07
698,27.63
699,27.68
700,29.06
701,27.89
702,30.65
703,27.99
704,29.54
705,28.71
706,29.17
707,28.03
708,27.79
709,27.59
710,27.55
711,25.18
712,25.12
713,24.64
714,24.65
715,24.31
716,24.41
717,24.45
718,24.32
719,24.41
720,24.45
721,24.65
722,24.54
723,25.07
724,26.65
725,24.88
726,25.86
727,25.18
728,27.47
729,27.61
730,27.86
731,27.86
732,29.17
733,29.61
734,31.83
735,31.41
736,32.43
737,33.21
738,33.21
739,37.36
740,38.08
741,39.74
742,37.23
743,39.59
744,34.08
745,34.68
746,34.68
747,33.9
748,33.9
749,32.08
750,31.41
751,30.69
752,29.38
753,28.58
754,28.58
755,27.97
756,28.48
757,27.86
758,27.63
759,27.86
760,27.86
761,27.92
762,27.68
763,27.63
764,26.87
765,27.22
766,26.66
767,26
768,25.93
769,25
770,25.18
771,25.07
772,26.8
773,25
774,25.93
775,24.73
776,25.12
777,24.57
778,26.8
779,24.65
780,25.18
781,24.73
782,25.93
783,24.56
784,25.12
785,24.58
786,25.18
787,24.65
788,26.8
789,24.56
790,25.12
791,24.37
792,25.12
793,24.36
794,25.12
795,24.37
796,26.94
797,25
798,27.41
799,25.93
800,27.61
801,26.77
802,27.72
803,27.22
804,27.89
805,27.57
806,27.57
807,27.57
808,27.22
809,27.61
810,27.54
811,27.72
812,27.57
813,27.79
814,27.57
815,27.79
816,27.76
817,27.76
818,27.57
819,27.61
820,27.57
821,27.72
822,27.61
823,27.61
824,27.79
825,27.57
826,27.99
827,27.57
828,28.03
829,27.57
830,28.03
831,27.43
832,29.3
833,27.57
834,29.47
835,27.92
836,33.15
837,27.99
838,31.82
839,28.03
840,31.34
841,27.99
842,28.99
843,27.9
844,28.28
845,27.57
846,27.62
847,27.57
848,27.48
849,26.42
850,25.12
851,25
852,25.12
853,24.65
854,24.46
855,24.46
856,24.65
857,21.74
858,24.27
859,23.64
860,24.25
861,21.72
862,23.32
863,21.76
864,22.06
865,20.35
866,20.61
867,19.02
868,19.02
869,18.95
870,21.74
871,17.91
872,17.91
873,16.89
874,16.89
875,14.99
876,16.85
877,17.26
878,18.73
879,17.26
880,21.74
881,15.99
882,16.04
883,14.81
884,18.27
885,13.42
886,13.18
887,13.03
888,13.03
889,13.03
890,13.03
891,13.03
892,22.06
893,13.03
894,23.32
895,23.32
896,23.72
897,23.72
898,24.65
899,23.59
900,27.09
901,24.17
902,40.63
903,24.42
904,27.99
905,26.92
906,27.92
907,26.85
908,27.7
909,27.22
910,27.8
911,27.09
912,26.91
913,27
914,27.09
915,24.38
916,24.37
917,24.31
918,24.31
919,24.27
920,24.31
921,24.39
922,24.65
923,25
924,25
925,25.18
926,26.85
927,25.17
928,25.82
929,26.72
930,27.3
931,29.2
932,30.48
933,29.2
934,29.06
935,33.02
936,29.42
937,29.2
938,28.75
939,28.75
940,27.94
941,27.21
942,27.46
943,26.72
944,25.3
945,25.17
946,25.82
947,25.12
948,25.85
949,25.07
950,26.85
951,25.07
952,29.2
953,25.1
954,27.28
955,24.91
956,25.18
957,24.24
958,25
959,23.92
960,24.52
961,24.07
962,24.27
963,24.18
964,24.07
965,24.21
966,23.73
967,24.08
968,24.18
969,23.72
970,24.18
971,24.07
972,24.39
973,24.18
974,24.56
975,24.21
976,25.12
977,24.56
978,26.61
979,26.5
980,28.78
981,27.53
982,30.84
983,32.48
984,38.6
985,40.58
986,41.59
987,42.71
988,43.79
989,44.37
990,44.21
991,48.4
992,52.01
993,48.4
994,45.99
995,46.21
996,44.21
997,95.45
998,38.26
999,43.17
1000,35.26
1001,43.17
1002,34.4
1003,43.47
1004,38.26
1005,43.86
1006,29.69
1007,43.47
1008,30.47
1009,42.46
1010,31.59
1011,41.23
1012,31.51
1013,38.74
1014,31.51
1015,32.89
1016,31.76
1017,32.33
1018,31.59
1019,31.51
1020,31.62
1021,31.05
1022,31.05
1023,31.04
1024,31.59
1025,31.05
1026,31.51
1027,31.51
1028,32.14
1029,31.59
1030,32.14
1031,31.59
1032,31.59
1033,31.51
1034,31.51
1035,31.04
1036,31.51
1037,29.29
1038,30.84
1039,29.29
1040,29.1
1041,28.08
1042,28.58
1043,27.7
1044,28.2
1045,27.83
1046,27.83
1047,27.37
1048,28.08
1049,27.53
1050,27.37
1051,26.13
1052,27.22
1053,25.12
1054,25.55
1055,24.82
1056,25
1057,24.3
1058,24.42
1059,24.18
1060,24.2
1061,24.37
1062,24.18
1063,24.29
1064,24.28
1065,24.2
1066,24.37
1067,24.27
1068,24.27
1069,24.3
1070,24.32
1071,24.18
1072,24.37
1073,24.27
1074,24.46
1075,24.37
1076,25.3
1077,24.37
1078,27.06
1079,25.18
1080,30.2
1081,27.99
1082,31.49
1083,30.98
1084,40.85
1085,32.75
1086,34.26
1087,37.07
1088,36.55
1089,38.24
1090,33.31
1091,32.75
1092,32.4
1093,32.01
1094,32.75
1095,30.93
1096,31.46
1097,30.59
1098,32.01
1099,29.17
1100,32.01
1101,29.17
1102,31.46
1103,29.17
1104,30.72
1105,28.94
1106,30.78
1107,28.94
1108,30.72
1109,28.94
1110,29.94
1111,28.94
1112,29.17
1113,29.17
1114,29.28
1115,30.4
1116,30.33
1117,29.28
1118,30.34
1119,29.28
1120,31.46
1121,29.28
1122,32.01
1123,30.93
1124,32.75
1125,31.46
1126,36.72
1127,32.01
1128,32.75
1129,30.98
1130,32.01
1131,30.78
1132,31.46
1133,29.94
1134,29.33
1135,28.94
1136,28.58
1137,27.34
1138,27.55
1139,27.26
1140,27.34
1141,26.75
1142,27.22
1143,25.18
1144,27.32
1145,24.46
1146,27.22
1147,24.31
1148,25.64
1149,24.27
1150,24.46
1151,23.92
1152,24.15
1153,23.92
1154,23.96
1155,23.72
1156,23.73
1157,23.38
1158,23.68
1159,23.66
1160,23.68
1161,22
1162,23.68
1163,23.36
1164,23.32
1165,22.06
1166,23.38
1167,22.06
1168,23.68
1169,22.06
1170,23.78
1171,23.36
1172,24.4
1173,22.06
1174,24.43
1175,24.07
1176,27.08
1177,26.82
1178,28.94
1179,27.99
1180,33.41
1181,32.72
1182,37.48
1183,36.68
1184,40.63
1185,31.36
1186,31.36
1187,30.9
1188,30.21
1189,30.69
1190,30.9
1191,29.88
1192,31.78
1193,28.94
1194,31.51
1195,29.28
1196,30.9
1197,30.9
1198,29.28
1199,31.99
1200,28.91
1201,30.69
1202,28.9
1203,29.28
1204,29.15
1205,28.94
1206,28.89
1207,28.58
1208,28.64
1209,29.15
1210,29.12
1211,29.94
1212,29.15
1213,30.9
1214,30.9
1215,31.44
1216,30.9
1217,31.36
1218,32.73
1219,33.41
1220,37.7
1221,37.84
1222,40.26
1223,40.63
1224,40.26
1225,40.26
1226,40.63
1227,40.03
1228,40.26
1229,37.7
1230,37.84
1231,34.07
1232,32.73
1233,30.9
1234,30.9
