hour,21,22,23,24,25,26,41,42,71,72,73,74,75,76,81,82,83,84
t0037,0.138,0.107,0.107,0.019,0.014,0.014,0.013,0.013,0.061,0.061,0.061,0.061,0.061,0.061,0.038,0.038,0.038,0.038
t0038,0.120,0.095,0.095,0.024,0.010,0.010,0.010,0.010,0.073,0.073,0.073,0.073,0.073,0.073,0.053,0.053,0.053,0.053
t0039,0.074,0.057,0.057,0.027,0.006,0.006,0.006,0.006,0.057,0.057,0.057,0.057,0.057,0.057,0.037,0.037,0.037,0.037
t0040,0.019,0.022,0.022,0.019,0.002,0.002,0.003,0.003,0.023,0.023,0.023,0.023,0.023,0.023,0.012,0.012,0.012,0.012
t0041,0.002,0.003,0.003,0.004,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
t0042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0057,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.003
t0058,0.005,0.008,0.008,0.006,0.015,0.015,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.009,0.030,0.030,0.030,0.030
t0059,0.013,0.022,0.022,0.019,0.027,0.027,0.030,0.030,0.022,0.022,0.022,0.022,0.022,0.022,0.058,0.058,0.058,0.058
t0060,0.021,0.028,0.028,0.026,0.044,0.044,0.037,0.037,0.032,0.032,0.032,0.032,0.032,0.032,0.068,0.068,0.068,0.068
t0061,0.024,0.037,0.037,0.021,0.049,0.049,0.025,0.025,0.030,0.030,0.030,0.030,0.030,0.030,0.061,0.061,0.061,0.061
t0062,0.025,0.043,0.043,0.017,0.033,0.033,0.012,0.012,0.024,0.024,0.024,0.024,0.024,0.024,0.039,0.039,0.039,0.039
t0063,0.018,0.025,0.025,0.016,0.014,0.014,0.005,0.005,0.012,0.012,0.012,0.012,0.012,0.012,0.018,0.018,0.018,0.018
t0064,0.008,0.008,0.008,0.007,0.004,0.004,0.002,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
t0065,0.001,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
