prod_opt_7
50.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
400.0
400.0
50.0
50.0
50.0
400.0
50.0
