,nextBatch,powerBatch,production,shutDown,SOC,discharge,el_consumption,slag
175,1.000000000000027,400.00000000001086,400.0,-0.0,374.99999999998903,1.0,400.0,0.0
176,0.0,0.0,400.0,-0.0,399.99999999998914,1.0,400.0,0.0
177,0.0,0.0,400.0,-0.0,424.99999999998914,1.0,400.0,0.0
178,-0.0,0.0,400.00000000001086,-0.0,450.0,1.0,400.00000000001086,0.0
179,1.0,400.0,400.0,-0.0,475.0,1.0,400.0,0.0
180,-0.0,0.0,400.0,-0.0,500.0,1.0,400.0,0.0
181,-0.0,0.0,400.0,-0.0,525.0,1.0,400.0,0.0
182,0.0,0.0,400.0,-0.0,550.0,1.0,400.0,0.0
183,1.0,400.0,400.0,-0.0,575.0,1.0,400.0,0.0
184,0.0,0.0,400.0,-0.0,600.0,1.0,400.0,0.0
185,-0.0,0.0,400.0,-0.0,625.0,1.0,400.0,0.0
186,-0.0,0.0,400.0,-0.0,650.0,1.0,400.0,0.0
187,1.0,400.0,400.0,-0.0,675.0,1.0,400.0,0.0
188,0.0,0.0,400.0,-0.0,700.0,1.0,400.0,0.0
189,0.0,0.0,400.0,-0.0,725.0,1.0,400.0,0.0
190,0.0,0.0,400.0,-0.0,750.0,1.0,400.0,0.0
191,0.0,0.0,0.0,-0.0,375.0,1.0,0.0,0.0
