prod_opt_6
400.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
400.0
400.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
400.0
400.0
50.0
50.0
50.0
400.0
50.0
