,nextBatch,powerBatch,production,shutDown,SOC,discharge,slag
0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
3,1.0,400.0,400.0,-0.0,25.0,1.0,0.0
4,0.0,0.0,400.0,-0.0,50.0,1.0,0.0
5,-0.0,0.0,400.0,-0.0,75.0,1.0,0.0
6,0.0,0.0,400.0,-0.0,100.0,1.0,0.0
7,1.0,400.0,400.0,-0.0,125.0,1.0,0.0
8,0.0,0.0,400.0,-0.0,150.0,1.0,0.0
9,0.0,0.0,400.0,0.0,175.0,1.0,0.0
10,0.0,0.0,400.0,0.0,200.0,1.0,0.0
11,1.0,400.0,400.0,0.0,225.0,1.0,0.0
12,0.0,0.0,400.0,-0.0,250.0,1.0,0.0
13,0.0,0.0,400.0,0.0,275.0,1.0,0.0
14,0.0,0.0,400.0,0.0,300.0,1.0,0.0
15,1.0000000000000002,400.0000000000001,400.0000000000001,-0.0,325.0000000000001,1.0,0.0
16,0.0,0.0,400.0000000000001,-0.0,350.0000000000002,1.0,0.0
17,-0.0,0.0,400.0000000000001,-0.0,375.00000000000034,1.0,0.0
18,0.0,0.0,400.0000000000001,-0.0,400.00000000000045,1.0,0.0
19,1.0000000000000002,400.0000000000001,400.0000000000001,-0.0,425.00000000000057,1.0,0.0
20,-0.0,0.0,400.0000000000001,-0.0,450.0000000000007,1.0,0.0
21,0.0,0.0,400.0000000000001,-0.0,475.0000000000008,1.0,0.0
22,0.0,0.0,400.0000000000001,-0.0,500.0000000000009,1.0,0.0
23,1.0,400.0,400.0,-0.0,525.0000000000009,1.0,0.0
24,0.0,0.0,400.0,-0.0,550.0000000000009,1.0,0.0
25,-0.0,0.0,400.0,-0.0,575.0000000000009,1.0,0.0
26,-0.0,0.0,400.0,-0.0,600.0000000000009,1.0,0.0
27,0.0,0.0,0.0,-0.0,225.0000000000009,1.0,0.0
28,1.0,400.0,400.0,0.0,250.0000000000009,1.0000000000000002,0.0
29,0.0,0.0,400.0,-0.0,275.0000000000009,1.0,0.0
30,0.0,0.0,400.0,-0.0,300.0000000000009,1.0,0.0
31,0.0,0.0,400.0,-0.0,325.0000000000009,1.0,0.0
