prod_opt_4
400.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
400.0
50.0
400.0
400.0
400.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
50.0
50.0
400.0
50.0
400.0
50.0
400.0
50.0
400.0
50.0
400.0
50.0
400.0
50.0
400.0
400.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
400.0
400.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
50.0
50.0
50.0
50.0
400.0
50.0
400.0
400.0
50.0
50.0
50.0
400.0
50.0
