,1,2
0,0.257,0.394
1,0.26475,0.4
2,0.2725,0.406
3,0.28025,0.412
4,0.288,0.418
5,0.288,0.41925
6,0.288,0.4205
7,0.288,0.42175
8,0.288,0.423
9,0.2875,0.42225
10,0.287,0.4215
11,0.2865,0.42075
12,0.286,0.42
13,0.28625,0.41525
14,0.2865,0.4105
15,0.28675,0.40575
16,0.287,0.401
17,0.28625,0.3985
18,0.2855,0.396
19,0.28475,0.3935
20,0.284,0.391
21,0.29675,0.39525
22,0.3095,0.3995
23,0.32225,0.40375
24,0.335,0.408
25,0.342,0.41575
26,0.349,0.4235
27,0.356,0.43125
28,0.363,0.439
29,0.36625,0.444
30,0.3695,0.449
31,0.37275,0.454
32,0.376,0.459
33,0.379,0.46575
34,0.382,0.4725
35,0.385,0.47925
36,0.388,0.486
37,0.383,0.489
38,0.378,0.492
39,0.373,0.495
40,0.368,0.498
41,0.362,0.494
42,0.356,0.49
43,0.35,0.486
44,0.344,0.482
45,0.35875,0.484
46,0.3735,0.486
47,0.38825,0.488
48,0.403,0.49
49,0.40475,0.49625
50,0.4065,0.5025
51,0.40825,0.50875
52,0.41,0.515
53,0.409,0.5145
54,0.408,0.514
55,0.407,0.5135
56,0.406,0.513
57,0.41475,0.51375
58,0.4235,0.5145
59,0.43225,0.51525
60,0.441,0.516
61,0.44975,0.52125
62,0.4585,0.5265
63,0.46725,0.53175
64,0.476,0.537
65,0.48225,0.5445
66,0.4885,0.552
67,0.49475,0.5595
68,0.501,0.567
69,0.51075,0.5775
70,0.5205,0.588
71,0.53025,0.5985
72,0.54,0.609
73,0.55425,0.62025
74,0.5685,0.6315
75,0.58275,0.64275
76,0.597,0.654
77,0.61275,0.67
78,0.6285,0.686
79,0.64425,0.702
80,0.66,0.718
81,0.66925,0.73575
82,0.6785,0.7535
83,0.68775,0.77125
84,0.697,0.789
85,0.70725,0.789
86,0.7175,0.789
87,0.72775,0.789
88,0.738,0.789
89,0.7445,0.789
90,0.751,0.789
91,0.7575,0.789
92,0.764,0.789
93,0.77025,0.789
94,0.7765,0.789
95,0.78275,0.789
96,0.789,0.789
97,0.789,0.789
98,0.789,0.789
99,0.789,0.789
100,0.789,0.789
101,0.789,0.789
102,0.789,0.789
103,0.789,0.789
104,0.789,0.789
105,0.789,0.789
106,0.789,0.789
107,0.789,0.789
108,0.789,0.789
109,0.789,0.789
110,0.789,0.789
111,0.789,0.789
112,0.789,0.789
113,0.789,0.789
114,0.789,0.789
115,0.789,0.789
116,0.789,0.789
117,0.789,0.789
118,0.789,0.789
119,0.789,0.789
120,0.789,0.789
121,0.78225,0.789
122,0.7755,0.789
123,0.76875,0.789
124,0.762,0.789
125,0.756,0.789
126,0.75,0.789
127,0.744,0.789
128,0.738,0.789
129,0.73425,0.789
130,0.7305,0.789
131,0.72675,0.789
132,0.723,0.789
133,0.71725,0.789
134,0.7115,0.789
135,0.70575,0.789
136,0.7,0.789
137,0.6965,0.789
138,0.693,0.789
139,0.6895,0.789
140,0.686,0.789
141,0.685,0.789
142,0.684,0.789
143,0.683,0.789
144,0.682,0.789
